title,description,content,sourceLink,sourcePublishedAt,author,sourceMedia
Dynamic K-Pop Idol Running in a Flower Field,"A structured prompt designed to generate a photorealistic image of a cute young Asian female with a K-pop idol aesthetic. The subject has long, wavy pastel pink hair and is captured in a dynamic running pose through a field of cosmos flowers, emphasizing soft natural lighting, a pastel palette, and a dreamy atmosphere.","{
  ""prompt_data"": {
    ""subject"": {
      ""basics"": ""1girl, solo"",
      ""demographics"": ""Cute young Asian female, K-pop idol aesthetic"",
      ""hair"": ""Long wavy pastel pink hair, windblown, dynamic motion"",
      ""eyes"": ""Bright brown eyes, soft gaze"",
      ""skin"": ""Fair skin, glowing complexion"",
      ""expression"": ""Happy beaming smile, energetic, looking at viewer""
    },
    ""attire"": {
      ""main_outfit"": {
        ""item"": ""Haze blue and oatmeal casual spring outfit"",
        ""details"": [
          ""Haze blue off-shoulder loose sweatshirt"",
          ""Oatmeal tank top strap visible"",
          ""Haze blue and oatmeal plaid pleated mini skirt"",
          ""Oatmeal chunky lace-up combat boots""
        ],
        ""branding"": """"
      },
      ""legwear"": [
        ""Bare legs""
      ]
    },
    ""accessories"": {
      ""style"": ""Trendy cute accessories"",
      ""items"": [
        ""Small oatmeal leather waist bag/pouch"",
        ""Oatmeal belt"",
        ""Small hoop earrings"",
        ""Delicate silver necklace""
      ]
    },
    ""pose_and_action"": {
      ""posture"": ""Dynamic running pose, mid-stride, side profile body turning to front"",
      ""interaction"": ""Running joyfully through a flower field, hair and clothes flowing in wind""
    },
    ""environment"": {
      ""setting"": ""Outdoor spring meadow during the day"",
      ""background_elements"": ""Field of colorful cosmos flowers (yellow, pink, white), grassy ground, strong depth of field (bokeh background)""
    },
    ""style_and_technical"": [
      ""Soft natural lighting"",
      ""Muted pastel color palette"",
      ""Dreamy atmosphere"",
      ""Photorealistic"",
      ""Sharp focus on subject"",
      ""High quality"",
      ""8k"",
      ""3:4""
    ]
  }
}",https://x.com/BeautyVerse_Lab/status/2013820460014936437,2026-01-21T03:46:27.000Z,"{""name"":""BeautyVerse"",""link"":""https://x.com/BeautyVerse_Lab""}","[""https://pbs.twimg.com/media/G_KHB7DaoAEXwjr.jpg"",""https://pbs.twimg.com/media/G_KHB7lXwAAohFa.jpg""]"
Candid iPhone Photo in Fluorescent Convenience Store,"A detailed JSON prompt for Nano Banana Pro generating an ultra-photorealistic, raw iPhone-style image of a curvy woman in a white tank top and denim shorts standing sideways at a fridge in a late-night convenience store. The prompt focuses on realistic body proportions, natural skin texture, fluorescent lighting, and an imperfect, handheld framing to achieve a social media realism aesthetic.","{
  ""meta"": {
    ""quality"": ""ultra photorealistic"",
    ""resolution"": ""8k"",
    ""camera"": ""iPhone 15 Pro"",
    ""lens"": ""24mm wide"",
    ""aspect_ratio"": ""9:16"",
    ""style"": ""raw iphone realism, natural skin texture, slight grain, imperfect handheld framing""
  },

  ""scene"": {
    ""location"": ""late-night convenience store"",
    ""time"": ""night"",
    ""atmosphere"": ""quiet, fluorescent-lit, slightly voyeuristic""
  },

  ""subjects"": [
    {
      ""gender"": ""female"",
      ""age"": ""early 20s (clearly adult)"",
      ""ethnicity"": ""european blonde"",

      ""body"": {
        ""type"": ""curvy hourglass"",
        ""waist"": ""tight"",
        ""hips"": ""round and full"",
        ""chest"": ""full, natural"",
        ""legs"": ""thick thighs, soft inner curves""
      },

      ""skin"": {
        ""tone"": ""fair with warm indoor glow"",
        ""texture"": ""real pores, slight natural sheen""
      },

      ""hair"": {
        ""color"": ""light blonde"",
        ""style"": ""loose messy waves, unstyled""
      },

      ""face"": {
        ""expression"": ""calm confident stare"",
        ""eyes"": ""looking directly at camera"",
        ""lips"": ""slightly parted"",
        ""makeup"": ""minimal, glossy lips""
      },

      ""outfit"": {
        ""top"": {
          ""type"": ""thin ribbed tank top"",
          ""color"": ""white"",
          ""fit"": ""tight"",
          ""underwear"": ""no bra"",
          ""fabric_behavior"": ""slightly stretched by posture""
        },
        ""bottom"": {
          ""type"": ""low-rise denim shorts"",
          ""color"": ""washed blue"",
          ""fit"": ""snug on hips""
        }
      },

      ""pose"": {
        ""stance"": ""standing sideways at fridge door"",
        ""hips"": ""pushed slightly back"",
        ""torso"": ""subtle arch"",
        ""arms"": {
          ""one_hand"": ""holding fridge handle"",
          ""other_hand"": ""resting on upper thigh""
        },
        ""head"": {
          ""angle"": ""chin slightly down"",
          ""gaze"": ""upward into lens""
        }
      }
    }
  ],

  ""lighting"": {
    ""type"": ""fluorescent store lighting"",
    ""effect"": ""cool highlights, realistic shadows, true iphone exposure""
  },

  ""photography_rules"": {
    ""iphone_only_look"": true,
    ""no_male_presence"": true,
    ""no_heavy_retouching"": true,
    ""social_media_realism"": true
  }
}",https://x.com/bananababydoll/status/2013734532063666372,2026-01-20T22:05:00.000Z,"{""name"":""babydoll"",""link"":""https://x.com/bananababydoll""}","[""https://pbs.twimg.com/media/G_I4vdeWQAAClUh.jpg""]"
Hyper-Realistic High-Fashion Portrait in Ivory Lace Minidress,"This Nano Banana Prompt is designed for hyper-realistic, photogrammetric image generation, focusing on high-fidelity texture rendering (pore-level skin detail, fine hair strands). It specifies a subject in an ivory lace minidress, seated in a high-fashion studio setting with professional lighting, emphasizing the length of the legs and metallic gold accessories.","{
  ""project_metadata"": {
    ""version"": ""2.0"",
    ""target_quality"": ""Hyper-Realistic / Photogrammetric"",
    ""aspect_ratio"": ""3:4"",
    ""reference_parameters"": {
      ""identity_preservation"": ""High (Strictly maintain facial geometry and hairstyle from reference image)"",
      ""facial_integrity"": ""Unmodified facial features, zero distortion""
    }
  },
  ""subject_details"": {
    ""human_attributes"": {
      ""physique"": ""Curvy, well-defined silhouette"",
      ""skin_texture"": ""Pore-level detail, natural skin sheen, realistic subsurface scattering"",
      ""gaze"": ""Direct eye contact with camera, engaging and confident expression""
    },
    ""hair_specification"": {
      ""style"": ""Exact match to attached photo"",
      ""texture"": ""Fine strands, realistic sheen, high-fidelity fiber rendering"",
      ""interaction"": ""Naturally draped based on the seated pose""
    },
    ""pose_composition"": {
      ""action"": ""Seated on a minimalist surface"",
      ""orientation"": ""Torso leaning slightly forward toward the lens"",
      ""lower_body"": ""Legs crossed and elevated/raised to foreground"",
      ""focal_emphasis"": ""Emphasis on leg length and high-heeled footwear""
    }
  },
  ""wardrobe_and_styling"": {
    ""primary_garment"": {
      ""item"": ""Minidress"",
      ""color"": ""Ivory / Off-white"",
      ""material"": ""Silk or satin base with intricate lace overlay"",
      ""design_elements"": [
        ""Delicate spaghetti straps"",
        ""Subtle 3D floral embroidery"",
        ""Fine lace scalloped edges"",
        ""Form-fitting curvy silhouette""
      ]
    },
    ""footwear"": {
      ""type"": ""Stiletto high-heeled sandals"",
      ""finish"": ""Metallic gold, reflective"",
      ""fastening"": ""Delicate ankle straps with micro-buckle detail"",
      ""presentation"": ""Polished, catching the studio light""
    },
    ""accessories"": {
      ""earrings"": ""Small minimalist gold studs or hoops"",
      ""jewelry_tone"": ""Warm metallic gold""
    }
  },
  ""environment_and_lighting"": {
    ""setting"": ""High-end minimalist studio or neutral architectural background"",
    ""lighting_setup"": {
      ""primary"": ""Softbox key light for even skin tones"",
      ""secondary"": ""Subtle rim lighting to define the body curves and hair texture"",
      ""ambience"": ""Clean, sophisticated, high-fashion editorial aesthetic""
    },
    ""color_palette"": [
      ""Ivory"",
      ""Warm Gold"",
      ""Neutral Skin Tones"",
      ""Soft Muted Background""
    ]
  },
  ""technical_render_specs"": {
    ""camera"": {
      ""lens"": ""85mm prime lens (portrait specialty)"",
      ""aperture"": ""f/2.8 for sharp subject focus and soft background blur"",
      ""sensor"": ""Full-frame CMOS"",
      ""shot_type"": ""Full body / Medium shot""
    },
    ""resolution_quality"": [
      ""8k UHD"",
      ""Highly detailed textures"",
      ""Ray-traced reflections on metallic surfaces"",
      ""Masterpiece quality""
    ]
  }
}",https://x.com/Adam38363368936/status/2013595805534335052,2026-01-20T12:53:45.000Z,"{""name"":""Adam也叫吉米"",""link"":""https://x.com/Adam38363368936""}","[""https://pbs.twimg.com/media/G_G6p3_WIAAar_K.jpg"",""https://pbs.twimg.com/media/G_G6rsrXUAAJ7gg.jpg""]"
New Technical Book: Nano Banana & Photoshop AI Design Ideas,"This tweet announces a new technical book titled 'Nano Banana & Photoshop: Generative AI Design Ideas.' The book likely explores creative design workflows combining the capabilities of Nano Banana (a generative AI tool) and Photoshop, offering inspiration and techniques for engineers and designers interested in AI-driven design.",Nano Banana & Photoshop　生成AIデザインアイデア,https://x.com/conpass0912/status/2013601811723116770,2026-01-20T13:17:37.000Z,"{""name"":""テックナビ@おすすめ技術書紹介📚"",""link"":""https://x.com/conpass0912""}","[""https://pbs.twimg.com/media/G_HALYEWoAA1HT1.jpg""]"
Seductive Office Lady in High-End Corporate Setting Prompt,"A structured JSON prompt for Nano Banana Pro to generate a photorealistic image of a stunning Asian female model in a seductive Office Lady uniform (tight white shirt, micro-miniskirt, sheer dark blue floral lace thigh-high stockings). The scene is set in a modern high-end corporate office with a blurred city skyline background, emphasizing cinematic soft lighting and highly detailed features.","{
  ""prompt_data"": {
    ""subject"": {
      ""basics"": ""1girl, solo"",
      ""demographics"": ""Stunning 20s Asian female idol style, tall fashion model proportions"",
      ""hair"": ""Very long straight black hair with full bangs"",
      ""eyes"": ""Large, round, piercing eyes"",
      ""skin"": ""Flawless pale skin"",
      ""expression"": ""Cute yet seductive expression looking at viewer""
    },
    ""attire"": {
      ""main_outfit"": {
        ""item"": ""Seductive Office Lady uniform"",
        ""details"": [
          ""Tight white button-up shirt"",
          ""Black micro-miniskirt"",
          ""Skirt hem cut extremely high"",
          ""Professional yet alluring silhouette""
        ],
        ""branding"": ""None""
      },
      ""legwear"": [
        ""Sheer dark blue thigh-high stockings"",
        ""Intricate floral lace pattern on stockings"",
        ""Dark blue lace garter belt with suspenders""
      ]
    },
    ""accessories"": {
      ""style"": ""Luxurious gold accessories"",
      ""items"": [
        ""Slim gold watch"",
        ""Delicate gold chain necklace with ruby pendant"",
        ""Long gold chain earrings""
      ]
    },
    ""pose_and_action"": {
      ""posture"": ""Sitting gracefully on the edge of an office desk"",
      ""interaction"": ""Legs crossed elegantly""
    },
    ""environment"": {
      ""setting"": ""Modern high-end corporate office interior"",
      ""background_elements"": ""Blurred city skyline through floor-to-ceiling glass windows, sleek office furniture""
    },
    ""style_and_technical"": [
      ""Subtle shadows"",
      ""Cinematic soft lighting"",
      ""Highly detailed face and eyes"",
      ""Realistic materials"",
      ""Photorealistic"",
      ""Sharp focus"",
      ""8k"",
      ""3:4""
    ]
  }
}",https://x.com/BeautyVerse_Lab/status/2013787423134884005,2026-01-21T01:35:10.000Z,"{""name"":""BeautyVerse"",""link"":""https://x.com/BeautyVerse_Lab""}","[""https://pbs.twimg.com/media/G_Jo-4maoAUligr.jpg""]"
Hyper-Realistic Studio Shoot of Woman in Lace Minidress,"A highly technical and structured prompt for generating a hyper-realistic, photogrammetric studio image. It features a curvy woman in an ivory lace minidress and metallic gold stiletto sandals, seated with legs crossed and elevated. The prompt demands high identity preservation from a reference image, pore-level skin detail, and professional studio lighting setup (softbox key light, rim lighting) using an 85mm portrait lens.","{
  ""project_metadata"": {
    ""version"": ""2.0"",
    ""target_quality"": ""Hyper-Realistic / Photogrammetric"",
    ""aspect_ratio"": ""3:4"",
    ""reference_parameters"": {
      ""identity_preservation"": ""High (Strictly maintain facial geometry and hairstyle from reference image)"",
      ""facial_integrity"": ""Unmodified facial features, zero distortion""
    }
  },
  ""subject_details"": {
    ""human_attributes"": {
      ""physique"": ""Curvy, well-defined silhouette"",
      ""skin_texture"": ""Pore-level detail, natural skin sheen, realistic subsurface scattering"",
      ""gaze"": ""Direct eye contact with camera, engaging and confident expression""
    },
    ""hair_specification"": {
      ""style"": ""Exact match to attached photo"",
      ""texture"": ""Fine strands, realistic sheen, high-fidelity fiber rendering"",
      ""interaction"": ""Naturally draped based on the seated pose""
    },
    ""pose_composition"": {
      ""action"": ""Seated on a minimalist surface"",
      ""orientation"": ""Torso leaning slightly forward toward the lens"",
      ""lower_body"": ""Legs crossed and elevated/raised to foreground"",
      ""focal_emphasis"": ""Emphasis on leg length and high-heeled footwear""
    }
  },
  ""wardrobe_and_styling"": {
    ""primary_garment"": {
      ""item"": ""Minidress"",
      ""color"": ""{argument name=""dress color"" default=""Ivory / Off-white""}"",
      ""material"": ""Silk or satin base with intricate lace overlay"",
      ""design_elements"": [
        ""Delicate spaghetti straps"",
        ""Subtle 3D floral embroidery"",
        ""Fine lace scalloped edges"",
        ""Form-fitting curvy silhouette""
      ]
    },
    ""footwear"": {
      ""type"": ""Stiletto high-heeled sandals"",
      ""finish"": ""Metallic gold, reflective"",
      ""fastening"": ""Delicate ankle straps with micro-buckle detail"",
      ""presentation"": ""Polished, catching the studio light""
    },
    ""accessories"": {
      ""earrings"": ""Small minimalist gold studs or hoops"",
      ""jewelry_tone"": ""Warm metallic gold""
    }
  },
  ""environment_and_lighting"": {
    ""setting"": ""High-end minimalist studio or neutral architectural background"",
    ""lighting_setup"": {
      ""primary"": ""Softbox key light for even skin tones"",
      ""secondary"": ""Subtle rim lighting to define the body curves and hair texture"",
      ""ambience"": ""Clean, sophisticated, high-fashion editorial aesthetic""
    },
    ""color_palette"": [
      ""Ivory"",
      ""Warm Gold"",
      ""Neutral Skin Tones"",
      ""Soft Muted Background""
    ]
  },
  ""technical_render_specs"": {
    ""camera"": {
      ""lens"": ""85mm prime lens (portrait specialty)"",
      ""aperture"": ""f/2.8 for sharp subject focus and soft background blur"",
      ""sensor"": ""Full-frame CMOS"",
      ""shot_type"": ""Full body / Medium shot""
    },
    ""resolution_quality"": [
      ""8k UHD"",
      ""Highly detailed textures"",
      ""Ray-traced reflections on metallic surfaces"",
      ""Masterpiece quality""
    ]
  }
}",https://x.com/miilesus/status/2013683192985772304,2026-01-20T18:41:00.000Z,"{""name"":""Melis✨"",""link"":""https://x.com/miilesus""}","[""https://pbs.twimg.com/media/G_IJ7k9W8AAIn05.jpg""]"
Luxury Fashion Editorial of Sydney Sweeney with Emerald Green Sports Car,"A highly detailed, structured prompt for generating an ultra-realistic fashion editorial photograph of Sydney Sweeney. She is sitting on the door sill of an emerald green convertible sports car on a prestigious Paris street during golden hour. The prompt specifies detailed wardrobe (emerald green mini dress), lighting (golden hour, rim lighting), and technical camera settings (85mm lens, f/1.8) for a glamorous, sophisticated luxury vibe.","{
  ""prompt"": ""Ultra-realistic professional fashion editorial photograph of {argument name=""subject name"" default=""Sydney Sweeney""}, 27-year-old beautiful American actress with long wavy golden blonde hair, fair skin, striking blue eyes, full lips, natural makeup with glossy lips and subtle eyeliner, seductive confident expression looking directly at camera, sitting on the open driver's door sill of a luxurious emerald green convertible sports car (Aston Martin style), vibrant glossy metallic British racing green paint reflecting sunlight, black leather interior visible, car parked on a prestigious elegant Paris street in golden hour late afternoon sunlight, luxurious historic Haussmannian architecture with cream stone buildings, arched windows, wrought-iron balconies, luxury boutiques like Louboutin (LOUITLANE storefront signage visible), crowded upscale street with blurred background of expensive cars (black SUVs, white sedans, silver convertibles), fashionable pedestrians in suits and dresses walking by, warm golden sunlight casting soft shadows and highlights, cinematic depth of field, shallow focus on subject with creamy bokeh background, Sydney Sweeney wearing tight form-fitting emerald green mini dress with deep plunging V-neckline showing deep cleavage, sleeveless, bodycon silhouette hugging curves, high hem above mid-thigh, sitting with legs crossed elegantly, one hand resting on car door, green pointed-toe stiletto high heels matching dress color, delicate gold earrings, glamorous sophisticated sexy vibe, high fashion luxury lifestyle editorial, shot on Canon EOS R5, 85mm lens at f/1.8, sharp details, vibrant rich colors, photorealistic skin texture, natural skin pores and subtle freckles, 8k resolution, masterpiece, best quality"",
  ""negative_prompt"": ""deformed, ugly, blurry, low resolution, bad anatomy, extra limbs, mutated hands, poorly drawn face, bad proportions, watermark, text, logo, signature, overexposed, underexposed, cartoon, anime, illustration, painting, sketch, plastic skin, doll-like, uncanny valley, extra fingers, fused fingers, missing fingers, long neck, asymmetrical eyes, cross-eyed, cropped, out of frame, jpeg artifacts, compression artifacts"",
  ""parameters"": {
    ""aspect_ratio"": ""3:4"",
    ""style"": ""photorealistic fashion photography"",
    ""lighting"": ""golden hour natural sunlight, warm tones, rim lighting, soft shadows"",
    ""camera_settings"": ""85mm prime lens, f/1.8, ISO 100, shallow depth of field"",
    ""quality_tags"": ""masterpiece, best quality, ultra detailed, 8k, highly detailed skin, realistic textures"",
    ""seed"": null,
    ""steps"": 40,
    ""cfg_scale"": 7.5
  },
  ""key_elements_breakdown"": {
    ""subject"": ""Sydney Sweeney lookalike – long wavy blonde hair, blue eyes, seductive gaze, deep cleavage, confident pose"",
    ""outfit"": ""Emerald green deep V-neck mini dress, tight bodycon fit, matching green high heels"",
    ""pose"": ""Seated on open car door, legs crossed, one hand o",https://x.com/TAB_TAB_HH/status/2013557142402277695,2026-01-20T10:20:07.000Z,"{""name"":""TJ"",""link"":""https://x.com/TAB_TAB_HH""}","[""https://pbs.twimg.com/media/G_GXio5XcAADi52.jpg"",""https://pbs.twimg.com/media/G_GXi0OWkAA5l_8.jpg"",""https://pbs.twimg.com/media/G_GXi82X0AADST-.jpg""]"
High-Fashion Editorial of Sydney Sweeney in a Candy Shop,"A complex, structured prompt for generating a high-fashion editorial image of Sydney Sweeney for a fragrance campaign. The scene is a whimsical pastel red candy shop, where she is climbing a rustic wooden ladder, wearing a red and black houndstooth tweed blazer and miniskirt, emphasizing a coquettish, candy-core aesthetic with 4K photorealistic quality.","{
  ""prompt"": {
    ""subject"": {
      ""name"": ""{argument name=""subject name"" default=""Sydney Sweeney""}"",
      ""appearance"": {
        ""hair"": ""Long, flowing honey-blonde straight hair style"",
        ""expression"": ""Playful, alluring gaze with mouth slightly open"",
        ""makeup"": ""Soft glam, rosy cheeks, red glossy lips, defined lashes""
      },
      ""outfit"": {
        ""top"": ""Red and black checkered/houndstooth tweed cropped blazer with long sleeves and three large pearl buttons"",
        ""bottom"": ""Matching red and black checkered/houndstooth high-waisted tweed adherent miniskirt and black fishnets"",
        ""footwear"": ""Light red patent leather pointed-toe stiletto pumps with signature red soles (Christian Louboutin)""
      },
      ""pose"": ""Climbing a wooden ladder, body turned sideways to the camera, looking back over the left shoulder, left leg straight on a lower rung, right leg bent with foot placed on a higher rung, left hand holding the ladder side, right hand reaching out towards a shelf""
    },
    ""environment"": {
      ""setting"": ""Whimsical pastel red candy shop"",
      ""background_elements"": {
        ""shelving"": ""White arched built-in shelves filled with different little bottles of perfumes,
        ""branding"": ""Gold script text on the wall reading 'Passion BY SYDNEY' and 'EAU DE PARFUM'"",
        ""furniture"": ""Red cabinetry with gold handles"",
        ""flooring"": ""red and black checkered tile floor"",
        ""props"": ""Rustic wooden ladder leaning against the shelves""
      }
    },
    ""photography_style"": {
      ""quality"": ""4K Ultra HD, highly detailed, photorealistic"",
      ""lighting"": ""Soft, diffuse studio lighting, pastel color grading, bright and airy atmosphere"",
      ""composition"": ""Full-body shot, low angle perspective looking slightly up, depth of field"",
      ""aesthetic"": ""High-fashion editorial, commercial fragrance campaign, coquettish, feminine, playful, candy-core""
    }
  }
}",https://x.com/KeorUnreal/status/2013683690463772771,2026-01-20T18:42:58.000Z,"{""name"":""KeorUnreal"",""link"":""https://x.com/KeorUnreal""}","[""https://pbs.twimg.com/media/G_IKotuXMAApFT0.jpg"",""https://pbs.twimg.com/media/G_IKozjX0AACdW-.jpg""]"
Ana de Armas Latex Bodysuit Cinematic Prompt,"An extremely detailed, JSON-formatted prompt for generating an 8K photorealistic cinematic image of Ana de Armas (requiring 100% likeness match), lying on a black sofa in a glossy latex bodysuit, emphasizing enhanced physique, specific lighting, and shallow depth of field.","{
  ""prompt_configuration"": {
    ""version"": ""2.0_EXTENDED"",
    ""global_settings"": {
      ""aspect_ratio"": ""3:4"",
      ""resolution_target"": ""8K UHD"",
      ""render_style"": ""Photorealistic Cinematic"",
      ""engine_hints"": [""High-fidelity textures"", ""Subsurface scattering"", ""Ray-traced reflections""]
    },
    ""subject"": {
      ""identity"": {
        ""base_model"": ""{argument name=""celebrity name"" default=""Ana de Armas""}"",
        ""likeness_strength"": 1.0,
        ""consistency_check"": ""100% face and body match""
      },
      ""anatomy"": {
        ""build"": ""Soft athletic"",
        ""proportions"": {
          ""bust_size"": ""Enhanced/Large"",
          ""waist"": ""Tapered"",
          ""posture"": ""Leaning forward""
        },
        ""skin"": {
          ""texture"": ""Cinematic skin pores"",
          ""features"": [""Light freckles across nose bridge""],
          ""finish"": ""Subtle dewy glow"",
          ""shading"": ""Soft micro-shadows""
        }
      },
      ""head_details"": {
        ""hair"": {
          ""color"": ""Blonde"",
          ""treatment"": ""Sun-kissed highlights"",
          ""style"": ""Long, voluminous, wavy"",
          ""physics"": ""Natural flow over shoulders""
        },
        ""eyes"": {
          ""color"": ""Striking brown"",
          ""focus"": ""Off-camera left"",
          ""detail_level"": ""Sharp iris patterns""
        },
        ""expression"": {
          ""primary"": ""Calm"",
          ""secondary"": ""Thoughtful"",
          ""mouth"": ""Gentle enigmatic smile""
        }
      }
    },
    ""composition_and_pose"": {
      ""setting"": ""Sitting on black sofa"",
      ""body_language"": {
        ""torso"": ""Lying on back"",
        ""arms"": ""Up on sofa"",
        ""hand_placement"": ""Hands behind her head""
      },
      ""framing"": {
        ""shot_type"": ""Full body "",
        ""eye_level"": ""Level with subject""
      }
    },
    ""wardrobe_and_styling"": {
      ""apparel"": {
        ""item"": ""Long-sleeved bodysuit"",
        ""color"": ""{argument name=""bodysuit color"" default=""White""},
        ""fabric"": ""Glossy latex"",
        ""design_elements"": {
          ""neckline"": ""Deep V-neck"",
          ""chest_detail"": ""Subtle ruched stitching"",
          ""fit"": ""Form-fitting""
          ""musculature"": [
          ""Defined abdominal muscles"",
         ""Toned arms"",
        ""Firm thighs"",
        }
      },
      ""accessories"": [
        {
          ""type"": ""Earrings"",
          ""style"": ""Small hoops"",
          ""material"": ""Polished gold""
        },
        {
          ""type"": ""Bracelet"",
          ""style"": ""Chunky chain-link"",
          ""material"": ""18k gold"",
          ""placement"": ""Wrist""
        }
      ]
    },
    ""environment_and_optics"": {
      ""background"": {
        ""location"": ""Indoor room"",
        ""palette"": ""Warm wooden tones"",
        ""blur_quality"": ""Creamy bokeh"",
        ""depth_distance"": ""Deep background separation""
      },
      ""camera_specs"": {
        ""lens"": ""85mm Prime"",
        ""aperture"": ""f/1.8"",
        ""focal_plane"": ""Focus on eyes"",
        ""depth_of_field"": ""Shallow""
      }",https://x.com/KeorUnreal/status/2013727614297379234,2026-01-20T21:37:31.000Z,"{""name"":""KeorUnreal"",""link"":""https://x.com/KeorUnreal""}","[""https://pbs.twimg.com/media/G_IylkxW4AAhrBV.jpg"",""https://pbs.twimg.com/media/G_IylmnW4AEYvq3.jpg""]"
Playful Kawaii Mirror Selfie Prompt,"A highly detailed, JSON-structured prompt for generating a playful, kawaii-style mirror selfie of a young woman wearing a pink brocade corset, gingham mini skirt, and cat ears headband, set in a modern apartment with floor-to-ceiling windows.","{
  ""image_generation_prompt"": {
    ""subject"": {
      ""demographics"": {
        ""gender"": ""female"",
        ""age_group"": ""young adult"",
        ""skin_tone"": ""fair""
      },
      ""hair"": {
        ""color"": ""blonde"",
        ""length"": ""long"",
        ""style"": ""straight/wavy"",
        ""accessory"": ""white fluffy cat ears headband""
      },
      ""face"": {
        ""expression"": {
          ""mood"": ""playful"",
          ""mouth"": ""tongue sticking out, slight smile"",
          ""gaze"": ""looking up and to the left""
        },
        ""makeup"": {
          ""eyes"": ""light makeup with winged liner"",
          ""lips"": ""pink color"",
          ""cheeks"": ""rosy"",
          ""features"": ""defined nose""
        }
      },
      ""wardrobe"": {
        ""upper_body"": {
          ""item"": ""corset"",
          ""material"": ""brocade"",
          ""color"": ""{argument name=""corset color"" default=""pink""}"",
          ""details"": [""front lacing"", ""trim""]
        },
        ""lower_body"": {
          ""item"": ""mini skirt"",
          ""pattern"": ""gingham"",
          ""color"": ""pink"",
          ""details"": [""ruffled layers"", ""white lace trim""]
        },
        ""leg_wear"": {
          ""item"": ""thigh-high socks"",
          ""color"": ""white"",
          ""details"": ""pink stripes at the top""
        },
        ""accessories"": {
          ""neck"": ""pink collar choker with small silver bell"",
          ""ears"": ""small stud earrings"",
          ""wrist"": ""delicate gold bracelet""
        }
      },
      ""pose"": {
        ""action"": ""taking mirror selfie"",
        ""hand_position"": ""holding phone in right hand"",
        ""posture"": ""standing""
      }
    },
    ""scene"": {
      ""environment"": {
        ""location"": ""modern apartment interior"",
        ""flooring"": ""grey wood plank"",
        ""walls"": ""grey tiled section""
      },
      ""lighting"": {
        ""source"": ""natural daylight"",
        ""direction"": ""from floor-to-ceiling windows"",
        ""quality"": ""bright""
      },
      ""background_elements"": {
        ""windows"": ""large floor-to-ceiling, showing bright daytime cityscape and sky"",
        ""furniture"": {
          ""left"": ""large brown teddy bear leaning against wall"",
          ""right"": [
            ""white upholstered armchair"",
            ""wooden side table"",
            ""clear glass vase on shelf""
          ]
        }
      },
      ""foreground_elements"": {
        ""props"": ""green artificial ivy plant hanging"",
        ""overlays"": {
          ""text_content"": ""{argument name=""overlay text"" default=""HIII""}"",
          ""text_color"": ""white"",
          ""position"": ""overlaying background near the chair""
        }
      }
    },
    ""technical_specifications"": {
      ""medium"": ""photography"",
      ""sub_genre"": ""mirror selfie"",
      ""device_prop"": ""white iPhone"",
      ""composition"": ""reflection showing subject and room context"",
      ""aspect_ratio"": ""2:3""
    }
  }
}",https://x.com/lexx_aura/status/2013570221596913975,2026-01-20T11:12:05.000Z,"{""name"":""Lex"",""link"":""https://x.com/lexx_aura""}","[""https://pbs.twimg.com/media/G_GjaJcWIAAUI6s.jpg""]"
