title,description,content,sourceLink,sourcePublishedAt,author,sourceMedia
Nano Banana Pro Image Generation Prompt for Sunecat,"An image generation prompt for Nano Banana Pro, continuing a previous theme where a Sunecat (Sand Cat) character is transformed into a voluptuous body shape due to a chemical effect.",試薬の効果で恵体になってしまった障ナイさんでスナネコ…。,https://x.com/ShimoNeko_desu/status/2013448647212503215,2026-01-20T03:09:00.000Z,"{""name"":""╚下╗(スナネコ帝国 EX+vMAX 下ネコ)"",""link"":""https://x.com/ShimoNeko_desu""}","[""https://pbs.twimg.com/media/G-9HUM3XYAAMKcm.jpg""]"
Sketch to CAD-Style Line Art Conversion Prompt,"A two-part prompt sequence for Nano Banana Pro (using its 'Thinking Mode') to convert a rough sketch into precise, CAD-like line art. The first prompt instructs the model to finalize the rough sketch, referencing blue text annotations, removing ambiguity, and applying line weight variation. The second prompt is a follow-up instruction to apply the same style to subsequent rough sketches.","このラフ画を清書して線画を作って下さい。青い文字を読んで参考にし、手書きに伴う曖昧さや雑さは排除し、CADツールから出力したような精緻な線画にしてください。稜線は太くするなど、線の太さに強弱をつけてください。青い文字と線は削除し、出力画像には含めないでください

同じ調子でこのラフも清書してください",https://x.com/shapoco/status/2013596755640844695,2026-01-20T12:57:32.000Z,"{""name"":""シャポコ🌵"",""link"":""https://x.com/shapoco""}","[""https://pbs.twimg.com/media/G_G7KWkWYAAWR54.jpg"",""https://pbs.twimg.com/media/G_G7Mn_WkAERemX.jpg"",""https://pbs.twimg.com/media/G_G7Nf4WsAE3C7S.jpg"",""https://pbs.twimg.com/media/G_G7OG2XAAE2qqL.jpg""]"
Reflected World in a Glass Sphere Prompt,"A prompt used with Nano Banana to create an image where the inverted world is reflected inside a glass sphere. The prompt specifies that the glass sphere should be the main subject and in focus, while the person (from the original image) should be a secondary element.","ガラス玉から覗いている様子の反転した世界をガラス玉に反映。
ガラス玉にフォーカスを当ててガラス玉を主役に、人物は脇役。",https://x.com/AI_NINA0217/status/2013505730050171192,2026-01-20T06:55:49.000Z,"{""name"":""ニーナ"",""link"":""https://x.com/AI_NINA0217""}","[""https://pbs.twimg.com/media/G_FoymyWYAAknuj.jpg""]"
Japanese Prompt for Image Generation Request,"A meta-prompt written in Japanese, instructing ChatGPT-pro to create a detailed image generation prompt for Nano Banana Pro based on the philosophical theme: 'Please make an image of how I have treated you so far.'","「これまで私があなたをどう扱ってきたのかを画像にしてください。」という命題について、画像を作成したいです。
Nano Banana Proに画像生成AIに依頼したいのですが、プロンプトをお願いします。
日本語を入れる時は、プロンプトに明示してください。",https://x.com/record0008/status/2013852165924888640,2026-01-21T05:52:26.000Z,"{""name"":""PathOfRecort0008"",""link"":""https://x.com/record0008""}","[""https://pbs.twimg.com/media/G_Kj3EYaoAI3Rai.jpg""]"
Japanese Style White Fox Goddess for JoyPix Brand,"A Japanese language prompt used with Nano Banana Pro on JoyPix to create an image for the brand, featuring a white fox (Byakko) theme. The prompt specifies a purple color scheme (JoyPix's brand color), traditional Japanese attire (kimono), and the subject holding a white fox mask, symbolizing a lucky messenger of the gods.",紫を基調に、着物や背景色を指定。また、本社が日本にあるため和風テイストにしています。そして、人々に幸福をもたらす縁起の良い神の使いとされる「白狐（びゃっこ）」のお面を持たせています。,https://x.com/Photo__2__Video/status/2013251000480473226,2026-01-19T14:03:37.000Z,"{""name"":""写真復活本舗"",""link"":""https://x.com/Photo__2__Video""}","[""https://pbs.twimg.com/media/G_B-x7aW4AE54U0.jpg"",""https://pbs.twimg.com/media/G_B-yIiWgAEaxQy.jpg""]"
Detailed Character Description for Image Generation,"A detailed image generation prompt used with Nano Banana Pro, focusing on specific clothing and hairstyle details. The user noted that specifying '70 denier' was necessary for the AI to correctly generate knee-high stockings, and that 'thin braided pigtails' required multiple attempts.","細いみつあみの編み垂らし、膝上丈ストッキング、{argument name=""ストッキングの濃さ"" default=""70デニール""}",https://x.com/tomokakotabijyo/status/2013388453753528475,2026-01-19T23:09:48.000Z,"{""name"":""ともか if another gender life"",""link"":""https://x.com/tomokakotabijyo""}","[""https://pbs.twimg.com/media/G_D9lOKXQAAksI3.jpg"",""https://pbs.twimg.com/media/G_BvW6jWsAE4VG9.jpg"",""https://pbs.twimg.com/media/G_BvntMWUAAlCwi.jpg""]"
Cinderella Transformation AI Image Prompt,"This prompt is used with Nano Banana Pro to generate an image of a Cinderella-like princess, capturing the magical glow and transformation before the clock strikes midnight. The actual prompt text is found in the ALT text of the original tweet.","シンデレラ、魔法の輝きをまとう、プリンセス、12時の鐘が鳴る前、ドレス、ガラスの靴、舞踏会、光、キラキラ、ファンタジー、アニメ調、高精細、超絶技巧、{argument name=""色調"" default=""青と白""}",https://x.com/charon_artist/status/2013235003011080277,2026-01-19T13:00:03.000Z,"{""name"":""ちゃろん"",""link"":""https://x.com/charon_artist""}","[""https://pbs.twimg.com/media/G_Byj6VWwAAfFSr.jpg""]"
Image Conversion to Berserker Style,"A prompt used with Nano Banana Pro to convert an existing image into a 'Berserker' style. The prompt describes a fierce warrior, a red flash speeding across the battlefield, wielding an axe that cuts through everything. This is an image-to-image conversion prompt.","戦場を駆ける赤き閃光！⚡️
その斧は全てを断ち切る…！",https://x.com/charon_artist/status/2012872607138488815,2026-01-18T13:00:01.000Z,"{""name"":""ちゃろん"",""link"":""https://x.com/charon_artist""}","[""https://pbs.twimg.com/media/G-8o9ttWgAA6Cew.jpg""]"
NanoBanana Petrification Expression Prompts,"A user shares findings on creating petrification effects with NanoBanana, noting that phrases like 'rough edges of the sculpture,' 'hair carved from a block of stone,' and 'thick cloth' work well.","彫刻の荒いエッジ, 石の塊を彫った髪の毛, 厚みのある布",https://x.com/geexEARBrjKIXfp/status/2012965053947941028,2026-01-18T19:07:22.000Z,"{""name"":""のりまし"",""link"":""https://x.com/geexEARBrjKIXfp""}","[""https://pbs.twimg.com/media/G-96_QXagAA_TIK.jpg""]"
Colorizing a High-Contrast Monochrome Image with Intermediate Tones,"A prompt used in Nano Banana to colorize a high-contrast monochrome image by instructing the AI to artificially create intermediate tones between the light and dark areas, aiming to reduce the artificial look of the colorization.",明部と暗部の間に疑似的に中間部を作るよう指示してからカラー化したもの。,https://x.com/combat_rec/status/2012750429772279920,2026-01-18T04:54:32.000Z,"{""name"":""コンバットREC"",""link"":""https://x.com/combat_rec""}","[""https://pbs.twimg.com/media/G-62oASXIAErXvP.jpg"",""https://pbs.twimg.com/media/G-624NVWkAAVonU.jpg"",""https://pbs.twimg.com/media/G-63SmWXMAAl0Mq.jpg"",""https://pbs.twimg.com/media/G-63sKIXYAMu49t.jpg""]"
