title,description,content,sourceLink,sourcePublishedAt,author,sourceMedia
Luxury Editorial Paparazzi Style Image Editing Prompt for Nano Banana Pro,"A highly specific image editing prompt for Nano Banana Pro, intended to transform an existing image into a luxury editorial, paparazzi-style photograph. The prompt requires strict preservation of the original facial identity while adding specific high-fashion elements: a light gray pinstriped double-breasted suit, dark sunglasses, luxury accessories (wristwatch, chain bracelet), and props (cigar). The scene is set at a sophisticated outdoor café.","{
  ""type"": ""image_editing_prompt"",
  ""language"": ""English"",
  ""style"": ""luxury editorial, paparazzi-style street photography"",
  ""aspect_ratio"": ""4:5"",
  ""identity_preservation"": {
    ""use_reference_image"": true,
    ""strict_identity_lock"": true,
    ""notes"": ""Preserve 100% of the original facial identity, structure, proportions, skin texture, and expression from the uploaded reference image. No facial alterations.""
  },
  ""subject"": {
    ""gender"": ""female"",
    ""expression"": ""confident, serious, mysterious"",
    ""appearance"": {
      ""eyewear"": ""dark, thick-rimmed sunglasses concealing the eyes"",
      ""hair"": ""unchanged from reference image""
    },
    ""clothing"": {
      ""suit"": {
        ""color"": ""light gray / silver"",
        ""pattern"": ""fine vertical pinstripes"",
        ""jacket"": ""double-breasted with two rows of dark buttons"",
        ""trousers"": ""matching gray pinstriped fabric""
      },
      ""shirt"": ""white dress shirt"",
      ""tie"": ""dark red tie"",
      ""pocket_square"": ""dark red, neatly folded""
    },
    ""accessories"": [
      ""oversized luxury wristwatch with gold bezel on left wrist"",
      ""wide heavy gold chain bracelet on left wrist"",
      ""ring on the ring finger of the right hand""
    ],
    ""props"": {
      ""right_hand"": ""holding a thick cigar between the fingers"",
      ""left_hand"": ""holding a small white object (possibly a lighter)""
    },
    ""pose"": {
      ""position"": ""seated on a woven rattan/wicker café chair"",
      ""body_language"": ""leaning slightly forward"",
      ""elbow_position"": ""right elbow resting on a small round table""
    }
  },
  ""shot"": {
    ""type"": ""close-up to medium close-up"",
    ""framing"": ""chest level and above"",
    ""focus"": ""subject is the absolute focal point""
  },
  ""environment"": {
    ""setting"": ""sophisticated outdoor café or restaurant terrace""",https://x.com/l_w_lorenzen/status/2013639683927167453,2026-01-20T15:48:06.000Z,"{""name"":""Lore"",""link"":""https://x.com/l_w_lorenzen""}","[""https://pbs.twimg.com/media/G_Hif1SWYAAC-7i.jpg"",""https://pbs.twimg.com/media/G_E_6ufX0AAsVDt.jpg""]"
Elegant Autumn City Park Editorial Scene,"A descriptive prompt for creating a refined, cinematic editorial image set in a quiet city park during late autumn. The prompt focuses on the mood (calm, elegant, introspective), the subject's styling (black long-sleeve mini dress with floral embroidery, sheer tights, classic heels), and the environment (overcast sky, scattered fallen leaves, minimalist metal bench). It specifies a shallow depth of field and cool, neutral color grading for a Parisian-inspired aesthetic.","""Create a refined editorial-style scene set in a quiet city park during {argument name=""season"" default=""late autumn""}. The subject is seated sideways on a minimalist metal bench, posture relaxed yet intentional, one leg extended and the other gently bent, heels resting on textured stone paving. Fallen leaves scatter around the ground, bare tree branches framing the background under a soft, overcast sky. The subject’s head is turned slightly away from the camera, suggesting introspection, with one hand resting near the bench edge and the other subtly adjusting hair or holding a small structured handbag. The overall mood is calm, elegant, and cinematic, with muted natural tones and a shallow depth of field that keeps focus on the subject while softly blurring the park surroundings.

Style the subject in a fitted black long-sleeve mini dress with delicate cream floral embroidery, sheer black tights, and classic black pointed heels. Hair is long, dark, and softly flowing, catching a light breeze. Makeup is natural with defined eyes, enhancing a timeless, Parisian-inspired elegance. The color grading leans cool and neutral, emphasizing contrast between the dark outfit and pale autumn leaves, evoking quiet confidence and femininity.""",https://x.com/bananaprompts/status/2013682129465397388,2026-01-20T18:36:46.000Z,"{""name"":""Banana Prompts"",""link"":""https://x.com/bananaprompts""}","[""https://pbs.twimg.com/media/G_IIVMPWEAA0R--.jpg""]"
Renaissance Anatomical Study of a Flamingo,"A concise prompt for generating an image in the style of a Renaissance anatomical study. It specifies the subject as a flamingo standing on one leg, rendered using fine graphite and ink cross-hatching, with transparent tissue overlays showing bone and muscle structure, all on yellowing parchment paper. It includes strict negative prompts to ensure the subject is drawn only once and is complete.","Composition: {argument name=""subject"" default=""flamingo, standing on 1 leg""}

Art style: A Renaissance anatomical study
- illustrated with fine graphite and ink cross-hatching
- layered with transparent tissue overlays showing bone and muscle
- on yellowing/ greying parchment paper

Avoid:
- Do not draw the subject twice - *only once*
- Do not skip some body parts - be complete
- No text at all

Aspect ratio: 3:4",https://x.com/bguiz/status/2013469317548134903,2026-01-20T04:31:08.000Z,"{""name"":""Brendan Graetz 🥷"",""link"":""https://x.com/bguiz""}","[""https://pbs.twimg.com/media/G_FG87xXEAAnMEK.jpg"",""https://pbs.twimg.com/media/G7OgKJAaMAAUKqv.jpg""]"
Modernized Dorothy Gale Aesthetic with Direct Flash,"A highly detailed, photorealistic prompt generating a full-body image of a young woman in a modernized Dorothy Gale costume (blue gingham mini dress, ruby red glitter pumps). The scene is set in a semi-outdoor courtyard at night, utilizing direct on-camera flash photography to create hard lighting, high contrast, and a distinct shadow on the wall behind the subject.","{
  ""prompt_structure"": {
    ""subject"": {
      ""demographics"": ""Young female adult with a slender, fit physique"",
      ""hair"": ""Long dark brown hair styled in two playful braids (pigtails) resting on shoulders"",
      ""face"": ""Soft, attractive features with a slight smile, gazing upwards to the right, wearing bright red lipstick and subtle eye makeup""
    },
    ""outfit"": {
      ""costume_theme"": ""Modernized Dorothy Gale from Wizard of Oz aesthetic"",
      ""dress"": ""Blue and white gingham check mini dress featuring a corset-style bodice with vertical boning, sweetheart neckline, and white lace ruffle trim at the hem and neckline"",
      ""legwear"": ""Opaque white knee-high stockings featuring large light blue satin bows at the top cuffs"",
      ""footwear"": ""Sparkling ruby red glitter pumps (heels) with ankle straps (Mary Jane style)""
    },
    ""accessories"": {
      ""hair"": ""Red satin ribbons tied into bows at the base of each braid"",
      ""handheld"": ""Holding a beige woven straw tote bag/basket in the right hand""
    },
    ""pose_and_action"": {
      ""stance"": ""Full-body standing pose, legs crossed at the ankles in a playful manner"",
      ""arms"": ""Right arm extended down holding the bag, left arm slightly bent and extended back as if balancing or leaning"",
      ""expression"": ""Charming, confident, and whimsical mood""
    },
    ""environment"": {
      ""setting"": ""Semi-outdoor patio or courtyard entrance at night"",
      ""architecture"": ""Large wooden double doors with glass panels in the background, white stucco walls, dark wooden support pillar in the foreground"",
      ""details"": ""Terracotta tiled flooring, faint glimpse of a railing and indoor plants in the background, a large mirror frame visible on the far left edge""
    },
    ""lighting"": {
      ""style"": ""Direct on-camera flash photography"",
      ""characteristics"": ""Hard lighting creating a distinct shadow of the subject on the wall behind, high contrast between the illuminated subject and the dimmer background, capturing the sparkle of the shoes and sheen of the fabric""
    },
    ""camera_technical"": {
      ""perspective"": ""Eye-level to slightly low angle full shot"",
      ""focal_length"": ""35mm for a lifestyle snapshot feel"",
      ""quality"": ""Ultra photorealistic, 8K resolution, sharp focus on subject"",
      ""textures"": ""Detailed fabric weave on the gingham, realistic glitter texture on shoes, skin texture visibility""
    }
  }
}",https://x.com/l_w_lorenzen/status/2013609477782806545,2026-01-20T13:48:05.000Z,"{""name"":""Lore"",""link"":""https://x.com/l_w_lorenzen""}","[""https://pbs.twimg.com/media/G_HHH0iWYAAbhhq.jpg"",""https://pbs.twimg.com/media/G_AihfGXQAA5J6l.jpg""]"
Four-Panel Lifestyle Fashion Collage,"A structured prompt for generating a four-panel grid collage in a photorealistic lifestyle fashion photography style. It features a fit blonde woman in a white cropped top and mint green shorts, posing confidently in a modern minimalist kitchen. The prompt specifies various poses, lighting conditions, and camera settings suitable for fashion marketing or social media content.","{
  ""type"": ""image_prompt"",
  ""style"": ""photorealistic lifestyle fashion photography"",
  ""composition"": ""four-panel grid collage"",
  ""subject"": {
    ""description"": ""fit blonde woman posing confidently indoors"",
    ""poses"": [
      ""leaning forward on kitchen counter smiling"",
      ""side profile pose emphasizing posture"",
      ""back-facing pose with head turned toward camera"",
      ""front-facing pose with hands on hips""
    ],
    ""expression"": ""confident, friendly, relaxed"",
    ""appearance"": {
      ""hair"": ""long blonde hair worn down with soft waves"",
      ""outfit"": {
        ""top"": ""white cropped short-sleeve top with chest cutout"",
        ""bottom"": ""mint green high-waisted fitted shorts""
      }
    }
  },
  ""environment"": {
    ""location"": ""modern minimalist kitchen"",
    ""features"": [
      ""light stone countertop"",
      ""neutral cabinetry"",
      ""clean contemporary layout""
    ]
  },
  ""lighting"": {
    ""type"": ""soft indoor lighting"",
    ""source"": ""overhead ceiling lights"",
    ""mood"": ""clean, warm, flattering""
  },
  ""camera"": {
    ""angle"": ""eye-level"",
    ""framing"": ""mid-body to upper-leg framing"",
    ""lens"": ""35mm"",
    ""depth_of_field"": ""sharp subject with lightly softened background""
  },
  ""color_palette"": {
    ""dominant"": [""white"", ""beige"", ""neutral tones""],
    ""accent"": [""mint green""]
  },
  ""quality"": {
    ""resolution"": ""high"",
    ""sharpness"": ""crisp"",
    ""realism"": ""high""
  },
  ""use_case"": [
    ""fashion marketing"",
    ""social media content"",
    ""fitness lifestyle branding"",
    ""UGC-style promotion""
  ]
}",https://x.com/xmliisu/status/2013633634557689871,2026-01-20T15:24:04.000Z,"{""name"":""Melisa♡"",""link"":""https://x.com/xmliisu""}","[""https://pbs.twimg.com/media/G_HdFrWWwAA53uo.jpg"",""https://pbs.twimg.com/media/G_HdFrcXYAAcg2-.jpg"",""https://pbs.twimg.com/media/G_HXe8gWMAIs8K7.jpg""]"
Dynamic K-Pop Idol Running in a Flower Field,"A structured prompt designed to generate a photorealistic image of a cute young Asian female with a K-pop idol aesthetic. The subject has long, wavy pastel pink hair and is captured in a dynamic running pose through a field of cosmos flowers, emphasizing soft natural lighting, a pastel palette, and a dreamy atmosphere.","{
  ""prompt_data"": {
    ""subject"": {
      ""basics"": ""1girl, solo"",
      ""demographics"": ""Cute young Asian female, K-pop idol aesthetic"",
      ""hair"": ""Long wavy pastel pink hair, windblown, dynamic motion"",
      ""eyes"": ""Bright brown eyes, soft gaze"",
      ""skin"": ""Fair skin, glowing complexion"",
      ""expression"": ""Happy beaming smile, energetic, looking at viewer""
    },
    ""attire"": {
      ""main_outfit"": {
        ""item"": ""Haze blue and oatmeal casual spring outfit"",
        ""details"": [
          ""Haze blue off-shoulder loose sweatshirt"",
          ""Oatmeal tank top strap visible"",
          ""Haze blue and oatmeal plaid pleated mini skirt"",
          ""Oatmeal chunky lace-up combat boots""
        ],
        ""branding"": """"
      },
      ""legwear"": [
        ""Bare legs""
      ]
    },
    ""accessories"": {
      ""style"": ""Trendy cute accessories"",
      ""items"": [
        ""Small oatmeal leather waist bag/pouch"",
        ""Oatmeal belt"",
        ""Small hoop earrings"",
        ""Delicate silver necklace""
      ]
    },
    ""pose_and_action"": {
      ""posture"": ""Dynamic running pose, mid-stride, side profile body turning to front"",
      ""interaction"": ""Running joyfully through a flower field, hair and clothes flowing in wind""
    },
    ""environment"": {
      ""setting"": ""Outdoor spring meadow during the day"",
      ""background_elements"": ""Field of colorful cosmos flowers (yellow, pink, white), grassy ground, strong depth of field (bokeh background)""
    },
    ""style_and_technical"": [
      ""Soft natural lighting"",
      ""Muted pastel color palette"",
      ""Dreamy atmosphere"",
      ""Photorealistic"",
      ""Sharp focus on subject"",
      ""High quality"",
      ""8k"",
      ""3:4""
    ]
  }
}",https://x.com/BeautyVerse_Lab/status/2013820460014936437,2026-01-21T03:46:27.000Z,"{""name"":""BeautyVerse"",""link"":""https://x.com/BeautyVerse_Lab""}","[""https://pbs.twimg.com/media/G_KHB7DaoAEXwjr.jpg"",""https://pbs.twimg.com/media/G_KHB7lXwAAohFa.jpg""]"
YAML Template for Web Manga Creation using Gemini (Nano Banana Pro),"A comprehensive YAML-based prompt template designed for Gemini (referred to as Nano Banana Pro) to generate a four-tier web manga strip. It includes strict adherence rules for character consistency, detailed style guides (lighting, background, dialogue bubbles, visual effects), and a structured storyboard format for defining scenes and dialogue in each panel.","STRICT ADHERENCE REQUIRED:
  - Follow this YAML specification precisely. Do NOT deviate, add unauthorized elements, or make 'creative' interpretations.
  - Character identity consistency from reference images (if provided) is PARAMOUNT.
  - Thorough image analysis is mandatory to maintain this consistency. Any result that fails character identity checks is unacceptable.

Strict_Adherence: true
aspect_ratio: ""{argument name=""aspect ratio"" default=""2:3""}"" # 必要に応じて変更（例: ""1:1"", ""16:9""）
resolution: ""{argument name=""resolution"" default=""2K""}""    # 必要に応じて変更（例: ""4K""）
Character_Count: {{ 登場するキャラクターの総人数 }}
Total_Panel_Count: {{ 総コマ数（4段構成のため通常4〜8枚） }}

Summary: >
  {argument name=""summary"" default=""物語の全体要約。プロットの流れ、舞台設定、主な出来事、結末を簡潔に記述。""}

Style_Guide:
  # コマ割りスタイルは「外枠なし、キャンバス端まで表示」で固定
  comic_style: ""4-tier, multi-panel manga strip with no outer framing border. The panels should extend to the very edge of the canvas, separated only by the inner white dividing lines.""
  lighting: ""{{ ライティングの指定。時間帯（昼/夜）、光源（太陽光/電灯/月明かり）、雰囲気（明るい/暗い/劇的な影）など。 }}""
  background_elements: ""{{ 主な舞台設定、場所の具体的な描写、配置されている重要な小物や環境要素。 }}""
  dialogue_bubbles: ""Standard white bubbles for speech, thought clouds for internal thoughts, dashed bubbles for whispers, and rectangular boxes for narration/monologue. {{ 必要であれば特殊な吹き出しの定義を追加（例：叫び用のトゲトゲ吹き出し等） }}""
  visual_effects: ""{{ 漫画的な視覚効果の指定。漫符（汗、血管、キラキラ）、エフェクト線（集中線、スピード線、震え線）、擬音の視覚化など。 }}""

Characters:
  # キャラクターの定義。IDは英数字推奨。
  {{ キャラクターID_1 }}:
    description: ""{{ 外見、髪型、色、服装、特徴的なアイテム、性格や表情の傾向。参照画像がある場合はファイル名をここに記述（例：image_0.png参照）。 }}""
  {{ キャラクターID_2 }}:
    description: ""{{ 二人目のキャラクター詳細... 人数分記述する。 }}""
  # 必要に応じて追加...

Storyboard:
  # 4段構成のコマ割り定義
  Tier_1:
    {{ コマID_T1_P1 (例: Panel_1_Large_Top) }}:
      scene: ""{{ このコマの具体的な状況描写。誰が、どこで、何をしているか。構図やカメラワークの指定も可能。 }}""
      dialogue:
        - speaker: ""{{ 話者のキャラクターID }}""
          type: ""{{ 台詞の種類: speech(通常), thought(思考), whisper(囁き), shout(叫び), monologue(独白/ナレーション) }}""
          text: ""{{ 台詞の具体的な内容。改行が必要な場合は \n を使用。 }}""
        # 同じコマ内で複数の台詞がある場合はリストを追加
        # - speaker: ""...""
        #   type: ""...""
        #   text: ""...""
    # Tier_1にコマを追加する場合はここに記述
  Tier_2:
    {{ コマID_T2_P1 }}:
      scene: ""{{ シーン詳細 }}""
      dialogue:
        - speaker: ""{{ 話者ID }}""
          type: ""{{ 種類 }}""
          text: ""{{ 内容 }}""
    # 必要に応じてコマを追加
  Tier_3:
    {{ コマID_T3_P1 }}:
      scene: ""{{ シーン詳細 }}""
      dialogue:
        - speaker: ""{{ 話者ID }}""
          type: ""{{ 種類 }}""
          text: ""{{ 内容 }}""
    # 必要に応じてコマを追加
  Tier_4:
    {{ コマID_T4_P1 }}:
      scene: ""{{ シーン詳細 }}""
      dialogue:
        - speaker: ""{{ 話者ID }}""
          type: ""{{ 種類 }}""
          text: ""{{ 内容 }}""
    # 必要に応じてコマを追加",https://x.com/Dakiny/status/2013569080490652069,2026-01-20T11:07:33.000Z,"{""name"":""Dakiny"",""link"":""https://x.com/Dakiny""}","[""https://pbs.twimg.com/media/G_DtU8TXkAAmnA7.jpg""]"
Hardcore Engineering Infographic Style,"A concise Nano Banana Pro instruction set for creating technical, hard-edge infographics. The process involves selecting an object, ensuring realistic clarity, and overlaying black, hand-drawn engineering annotations (labels, dimensions, materials, cross-sections, arrows) to achieve an 'Engineering Manual + Exhibition Plaque' texture.","1️⃣选 OBJECT
2️⃣写实图保持清晰可见
3️⃣叠黑色手绘工程标注（标签、尺寸、材质、剖面、箭头）",https://x.com/kuaijierun/status/2013477972104147411,2026-01-20T05:05:31.000Z,"{""name"":""Dean"",""link"":""https://x.com/kuaijierun""}","[""https://pbs.twimg.com/media/G_FOxEhWAAA-KpM.jpg"",""https://pbs.twimg.com/media/G_FPHprXoAEw3bb.jpg"",""https://pbs.twimg.com/media/G_FPIhZXoAAWNO9.jpg"",""https://pbs.twimg.com/media/G_FPbWLXEAAeA6k.jpg""]"
Seductive Office Lady in High-End Corporate Setting Prompt,"A structured JSON prompt for Nano Banana Pro to generate a photorealistic image of a stunning Asian female model in a seductive Office Lady uniform (tight white shirt, micro-miniskirt, sheer dark blue floral lace thigh-high stockings). The scene is set in a modern high-end corporate office with a blurred city skyline background, emphasizing cinematic soft lighting and highly detailed features.","{
  ""prompt_data"": {
    ""subject"": {
      ""basics"": ""1girl, solo"",
      ""demographics"": ""Stunning 20s Asian female idol style, tall fashion model proportions"",
      ""hair"": ""Very long straight black hair with full bangs"",
      ""eyes"": ""Large, round, piercing eyes"",
      ""skin"": ""Flawless pale skin"",
      ""expression"": ""Cute yet seductive expression looking at viewer""
    },
    ""attire"": {
      ""main_outfit"": {
        ""item"": ""Seductive Office Lady uniform"",
        ""details"": [
          ""Tight white button-up shirt"",
          ""Black micro-miniskirt"",
          ""Skirt hem cut extremely high"",
          ""Professional yet alluring silhouette""
        ],
        ""branding"": ""None""
      },
      ""legwear"": [
        ""Sheer dark blue thigh-high stockings"",
        ""Intricate floral lace pattern on stockings"",
        ""Dark blue lace garter belt with suspenders""
      ]
    },
    ""accessories"": {
      ""style"": ""Luxurious gold accessories"",
      ""items"": [
        ""Slim gold watch"",
        ""Delicate gold chain necklace with ruby pendant"",
        ""Long gold chain earrings""
      ]
    },
    ""pose_and_action"": {
      ""posture"": ""Sitting gracefully on the edge of an office desk"",
      ""interaction"": ""Legs crossed elegantly""
    },
    ""environment"": {
      ""setting"": ""Modern high-end corporate office interior"",
      ""background_elements"": ""Blurred city skyline through floor-to-ceiling glass windows, sleek office furniture""
    },
    ""style_and_technical"": [
      ""Subtle shadows"",
      ""Cinematic soft lighting"",
      ""Highly detailed face and eyes"",
      ""Realistic materials"",
      ""Photorealistic"",
      ""Sharp focus"",
      ""8k"",
      ""3:4""
    ]
  }
}",https://x.com/BeautyVerse_Lab/status/2013787423134884005,2026-01-21T01:35:10.000Z,"{""name"":""BeautyVerse"",""link"":""https://x.com/BeautyVerse_Lab""}","[""https://pbs.twimg.com/media/G_Jo-4maoAUligr.jpg""]"
Epic Chinese Fantasy Zodiac Deities Prompt (12 Characters),"An extremely detailed, structured prompt for Nano Banana Pro designed to generate an epic, ultra-realistic cinematic scroll of the 12 Chinese Zodiac deities (in human form) assembled in a grand celestial realm (Hongmeng Immortal Realm). The prompt specifies a unified world view, 8K resolution, film texture, and details how each zodiac sign is represented by a high-value human form accompanied by a massive, translucent 'Beast Spirit/Martial Soul' light projection behind them, detailing the specific appearance, attire, and location of all 12 characters.","真人本体+背后灵光虚像

全局风格与品质
视觉风格： 顶级写实修仙画卷，超现实电影级商业大片，硬核东方玄幻美学。
核心参数： 8K极高解析度，胶片质感，真实皮肤纹理（拒绝塑料感/二次元感）。
物理规则： 真实光影模拟，强调角色在特定环境下的重力与物理反馈。
构图策略： 超宽水平构图。十二位生肖化身处于同一片宏大的仙境时空中，从左至右错落排布，无视觉死角。
统一世界观： 场景设定在统一的“鸿蒙仙境”之中。环境从左侧的混沌灵脉逐渐过渡到右侧的云海仙踪。所有角色共享同一套大气光影，严禁生肖动物本体出现。

核心视觉特征
• 角色形态： 所有人均为极高颜值的真人形态，保留人类五官与肤质。
• 生肖体现： 通过角色的服饰剪裁、配色细节、随身法宝，以及角色背后由纯粹灵光构成的、宏大的“兽灵/武魂”虚像来体现生肖特征。
• 兽灵表现： 兽灵呈半透明光态或虚影态，完全由流动的灵气与辉光交织而成，不具备实体质感，如神迹般笼罩在角色后上方，充满神性。

摄影与光影
• 设备： 佳能 EOS R5, 35mm 定焦镜头。
• 光影设计： 统一受“仙境晨曦”照射，光线从画面一侧射入，形成丁达尔效应。
• 环境光补： 角色背后的兽灵光影散发着柔和的本命灵光，与仙境中的云雾、剑气相互折射。

角色分布与细节描述
1. 子鼠（水）： 极右侧云海。真人形态为灵动少年，墨色劲装，背后悬浮着如光般通透的硕大子鼠虚像，眼神机警。
2. 丑牛（土）： 沉稳壮汉，身披暗铜重甲。身后耸立着如山岳般的青牛光影虚像，展现力拔山河之势。
3. 寅虎（木）： 霸气统帅，黑金虎纹长袍。背后是一尊光影流转、似要下山的猛虎灵光虚像。
4. 卯兔（木）： 清冷仙子，月白流仙裙。身后伴有通体由白光凝聚、散发柔光的玉兔虚像，氛围空灵。
5. 辰龙（金）： 位居高位，玄色龙鳞袍，尊贵非凡。背后盘绕着延绵百丈、威严神圣的巨龙灵光虚像。
6. 巳蛇（火）： 魅惑秘术师，紫色蛇纹缎面袍。身后游走着细长深邃、由紫色流光构成的灵蛇虚像。
7. 午马（火）： 飒爽剑修，朱红劲装。身后是四蹄踏火、正欲奔腾的烈马光影虚像。
8. 未羊（土）： 温婉医修，米白棉麻仙裙。身后显现着神态祥和、如瑞云般朦胧的白羊光态虚像。
9. 申猴（金）： 桀骜斗战真人，战损金甲。身后是手持神兵、傲视天地的灵猴光影虚像。
10. 酉鸡（金）： 晨曦守望者，羽状剪裁战袍。身后双翼展开，现出流金溢彩、宛如虚像的锦凰光影。
11. 戌狗（土）： 忠诚将领，皮革金属轻铠。背后是昂首挺立、充满守护感的灵犬光影虚像。
12. 亥猪（水）： 极左侧灵泉旁。悠闲散仙，青色宽大袍服。身后萦绕着福泽深厚、由浑厚气韵构成的灵猪虚像。

最终愿景
这不再是孤立的个体，而是十二位生肖神祇在统一仙境中的史诗集结。通过“真人本体+背后灵光虚像”的视觉结构，完美平衡人的情感美感与生肖的神话底蕴，构建出极致的东方玄幻宇宙。",https://x.com/ttmouse/status/2013686330279240138,2026-01-20T18:53:28.000Z,"{""name"":""ttmouse - 豆爸"",""link"":""https://x.com/ttmouse""}","[""https://pbs.twimg.com/media/G_IMtjBWQAAb32X.jpg""]"
