title,description,content,sourceLink,sourcePublishedAt,author,sourceMedia
Elegant Autumn City Park Editorial Scene,"A descriptive prompt for creating a refined, cinematic editorial image set in a quiet city park during late autumn. The prompt focuses on the mood (calm, elegant, introspective), the subject's styling (black long-sleeve mini dress with floral embroidery, sheer tights, classic heels), and the environment (overcast sky, scattered fallen leaves, minimalist metal bench). It specifies a shallow depth of field and cool, neutral color grading for a Parisian-inspired aesthetic.","""Create a refined editorial-style scene set in a quiet city park during {argument name=""season"" default=""late autumn""}. The subject is seated sideways on a minimalist metal bench, posture relaxed yet intentional, one leg extended and the other gently bent, heels resting on textured stone paving. Fallen leaves scatter around the ground, bare tree branches framing the background under a soft, overcast sky. The subject’s head is turned slightly away from the camera, suggesting introspection, with one hand resting near the bench edge and the other subtly adjusting hair or holding a small structured handbag. The overall mood is calm, elegant, and cinematic, with muted natural tones and a shallow depth of field that keeps focus on the subject while softly blurring the park surroundings.

Style the subject in a fitted black long-sleeve mini dress with delicate cream floral embroidery, sheer black tights, and classic black pointed heels. Hair is long, dark, and softly flowing, catching a light breeze. Makeup is natural with defined eyes, enhancing a timeless, Parisian-inspired elegance. The color grading leans cool and neutral, emphasizing contrast between the dark outfit and pale autumn leaves, evoking quiet confidence and femininity.""",https://x.com/bananaprompts/status/2013682129465397388,2026-01-20T18:36:46.000Z,"{""name"":""Banana Prompts"",""link"":""https://x.com/bananaprompts""}","[""https://pbs.twimg.com/media/G_IIVMPWEAA0R--.jpg""]"
Kawaii E-Girl Mirror Selfie Prompt,"A detailed JSON prompt for generating a photorealistic image of a woman taking a mirror selfie in a kawaii, e-girl, soft grunge, and coquette aesthetic. It specifies the subject's appearance, outfit (including a corset with an anime print), pose, environment, and desired high-definition quality.","{
  ""prompt_description"": {
    ""subject"": {
      ""type"": ""woman"",
      ""hair"": ""long, straight, platinum blonde"",
      ""features"": ""light skin tone, soft makeup, finger resting on lip"",
      ""tattoos"": ""small text tattoo on chest, '{argument name=""wrist tattoo"" default=""XXX""}' tattoo on wrist""
    },
    ""outfit"": {
      ""top"": ""{argument name=""top garment"" default=""white satin corset""} with pink cartoon/anime print (My Melody style), lace trim, ribbon tie front"",
      ""bottom"": ""black pleated mini skirt, raw hem"",
      ""accessories"": ""black lace-top thigh-high stockings, fishnet tights"",
      ""phone_case"": ""graphic black and white anime style illustration""
    },
    ""pose"": {
      ""type"": ""mirror selfie"",
      ""stance"": ""standing, one hip popped"",
      ""hand_position"": ""holding phone with right hand, left hand touching lip""
    },
    ""environment"": {
      ""location"": ""indoor hallway or bedroom"",
      ""background"": ""white walls, grey tiled floor, framed posters on wall"",
      ""lighting"": ""warm golden hour sunlight, soft shadows"",
      ""decor"": ""minimalist, potted plant in background""
    },
    ""style"": {
      ""aesthetic"": ""e-girl, soft grunge, coquette, trendy"",
      ""camera_angle"": ""eye level, reflection"",
      ""quality"": ""high definition, photorealistic, vivid colors""
    }
  }
}",https://x.com/l_w_lorenzen/status/2013544997258437024,2026-01-20T09:31:51.000Z,"{""name"":""Lore"",""link"":""https://x.com/l_w_lorenzen""}","[""https://pbs.twimg.com/media/G_GMUbmXMAAg9el.jpg"",""https://pbs.twimg.com/media/G-_zv_DXYAAIGDC.jpg""]"
Four-Panel Lifestyle Fashion Collage,"A structured prompt for generating a four-panel grid collage in a photorealistic lifestyle fashion photography style. It features a fit blonde woman in a white cropped top and mint green shorts, posing confidently in a modern minimalist kitchen. The prompt specifies various poses, lighting conditions, and camera settings suitable for fashion marketing or social media content.","{
  ""type"": ""image_prompt"",
  ""style"": ""photorealistic lifestyle fashion photography"",
  ""composition"": ""four-panel grid collage"",
  ""subject"": {
    ""description"": ""fit blonde woman posing confidently indoors"",
    ""poses"": [
      ""leaning forward on kitchen counter smiling"",
      ""side profile pose emphasizing posture"",
      ""back-facing pose with head turned toward camera"",
      ""front-facing pose with hands on hips""
    ],
    ""expression"": ""confident, friendly, relaxed"",
    ""appearance"": {
      ""hair"": ""long blonde hair worn down with soft waves"",
      ""outfit"": {
        ""top"": ""white cropped short-sleeve top with chest cutout"",
        ""bottom"": ""mint green high-waisted fitted shorts""
      }
    }
  },
  ""environment"": {
    ""location"": ""modern minimalist kitchen"",
    ""features"": [
      ""light stone countertop"",
      ""neutral cabinetry"",
      ""clean contemporary layout""
    ]
  },
  ""lighting"": {
    ""type"": ""soft indoor lighting"",
    ""source"": ""overhead ceiling lights"",
    ""mood"": ""clean, warm, flattering""
  },
  ""camera"": {
    ""angle"": ""eye-level"",
    ""framing"": ""mid-body to upper-leg framing"",
    ""lens"": ""35mm"",
    ""depth_of_field"": ""sharp subject with lightly softened background""
  },
  ""color_palette"": {
    ""dominant"": [""white"", ""beige"", ""neutral tones""],
    ""accent"": [""mint green""]
  },
  ""quality"": {
    ""resolution"": ""high"",
    ""sharpness"": ""crisp"",
    ""realism"": ""high""
  },
  ""use_case"": [
    ""fashion marketing"",
    ""social media content"",
    ""fitness lifestyle branding"",
    ""UGC-style promotion""
  ]
}",https://x.com/xmliisu/status/2013633634557689871,2026-01-20T15:24:04.000Z,"{""name"":""Melisa♡"",""link"":""https://x.com/xmliisu""}","[""https://pbs.twimg.com/media/G_HdFrWWwAA53uo.jpg"",""https://pbs.twimg.com/media/G_HdFrcXYAAcg2-.jpg"",""https://pbs.twimg.com/media/G_HXe8gWMAIs8K7.jpg""]"
Dynamic K-Pop Idol Running in a Flower Field,"A structured prompt designed to generate a photorealistic image of a cute young Asian female with a K-pop idol aesthetic. The subject has long, wavy pastel pink hair and is captured in a dynamic running pose through a field of cosmos flowers, emphasizing soft natural lighting, a pastel palette, and a dreamy atmosphere.","{
  ""prompt_data"": {
    ""subject"": {
      ""basics"": ""1girl, solo"",
      ""demographics"": ""Cute young Asian female, K-pop idol aesthetic"",
      ""hair"": ""Long wavy pastel pink hair, windblown, dynamic motion"",
      ""eyes"": ""Bright brown eyes, soft gaze"",
      ""skin"": ""Fair skin, glowing complexion"",
      ""expression"": ""Happy beaming smile, energetic, looking at viewer""
    },
    ""attire"": {
      ""main_outfit"": {
        ""item"": ""Haze blue and oatmeal casual spring outfit"",
        ""details"": [
          ""Haze blue off-shoulder loose sweatshirt"",
          ""Oatmeal tank top strap visible"",
          ""Haze blue and oatmeal plaid pleated mini skirt"",
          ""Oatmeal chunky lace-up combat boots""
        ],
        ""branding"": """"
      },
      ""legwear"": [
        ""Bare legs""
      ]
    },
    ""accessories"": {
      ""style"": ""Trendy cute accessories"",
      ""items"": [
        ""Small oatmeal leather waist bag/pouch"",
        ""Oatmeal belt"",
        ""Small hoop earrings"",
        ""Delicate silver necklace""
      ]
    },
    ""pose_and_action"": {
      ""posture"": ""Dynamic running pose, mid-stride, side profile body turning to front"",
      ""interaction"": ""Running joyfully through a flower field, hair and clothes flowing in wind""
    },
    ""environment"": {
      ""setting"": ""Outdoor spring meadow during the day"",
      ""background_elements"": ""Field of colorful cosmos flowers (yellow, pink, white), grassy ground, strong depth of field (bokeh background)""
    },
    ""style_and_technical"": [
      ""Soft natural lighting"",
      ""Muted pastel color palette"",
      ""Dreamy atmosphere"",
      ""Photorealistic"",
      ""Sharp focus on subject"",
      ""High quality"",
      ""8k"",
      ""3:4""
    ]
  }
}",https://x.com/BeautyVerse_Lab/status/2013820460014936437,2026-01-21T03:46:27.000Z,"{""name"":""BeautyVerse"",""link"":""https://x.com/BeautyVerse_Lab""}","[""https://pbs.twimg.com/media/G_KHB7DaoAEXwjr.jpg"",""https://pbs.twimg.com/media/G_KHB7lXwAAohFa.jpg""]"
Candid iPhone Photo in Fluorescent Convenience Store,"A detailed JSON prompt for Nano Banana Pro generating an ultra-photorealistic, raw iPhone-style image of a curvy woman in a white tank top and denim shorts standing sideways at a fridge in a late-night convenience store. The prompt focuses on realistic body proportions, natural skin texture, fluorescent lighting, and an imperfect, handheld framing to achieve a social media realism aesthetic.","{
  ""meta"": {
    ""quality"": ""ultra photorealistic"",
    ""resolution"": ""8k"",
    ""camera"": ""iPhone 15 Pro"",
    ""lens"": ""24mm wide"",
    ""aspect_ratio"": ""9:16"",
    ""style"": ""raw iphone realism, natural skin texture, slight grain, imperfect handheld framing""
  },

  ""scene"": {
    ""location"": ""late-night convenience store"",
    ""time"": ""night"",
    ""atmosphere"": ""quiet, fluorescent-lit, slightly voyeuristic""
  },

  ""subjects"": [
    {
      ""gender"": ""female"",
      ""age"": ""early 20s (clearly adult)"",
      ""ethnicity"": ""european blonde"",

      ""body"": {
        ""type"": ""curvy hourglass"",
        ""waist"": ""tight"",
        ""hips"": ""round and full"",
        ""chest"": ""full, natural"",
        ""legs"": ""thick thighs, soft inner curves""
      },

      ""skin"": {
        ""tone"": ""fair with warm indoor glow"",
        ""texture"": ""real pores, slight natural sheen""
      },

      ""hair"": {
        ""color"": ""light blonde"",
        ""style"": ""loose messy waves, unstyled""
      },

      ""face"": {
        ""expression"": ""calm confident stare"",
        ""eyes"": ""looking directly at camera"",
        ""lips"": ""slightly parted"",
        ""makeup"": ""minimal, glossy lips""
      },

      ""outfit"": {
        ""top"": {
          ""type"": ""thin ribbed tank top"",
          ""color"": ""white"",
          ""fit"": ""tight"",
          ""underwear"": ""no bra"",
          ""fabric_behavior"": ""slightly stretched by posture""
        },
        ""bottom"": {
          ""type"": ""low-rise denim shorts"",
          ""color"": ""washed blue"",
          ""fit"": ""snug on hips""
        }
      },

      ""pose"": {
        ""stance"": ""standing sideways at fridge door"",
        ""hips"": ""pushed slightly back"",
        ""torso"": ""subtle arch"",
        ""arms"": {
          ""one_hand"": ""holding fridge handle"",
          ""other_hand"": ""resting on upper thigh""
        },
        ""head"": {
          ""angle"": ""chin slightly down"",
          ""gaze"": ""upward into lens""
        }
      }
    }
  ],

  ""lighting"": {
    ""type"": ""fluorescent store lighting"",
    ""effect"": ""cool highlights, realistic shadows, true iphone exposure""
  },

  ""photography_rules"": {
    ""iphone_only_look"": true,
    ""no_male_presence"": true,
    ""no_heavy_retouching"": true,
    ""social_media_realism"": true
  }
}",https://x.com/bananababydoll/status/2013734532063666372,2026-01-20T22:05:00.000Z,"{""name"":""babydoll"",""link"":""https://x.com/bananababydoll""}","[""https://pbs.twimg.com/media/G_I4vdeWQAAClUh.jpg""]"
YAML Template for Web Manga Creation using Gemini (Nano Banana Pro),"A comprehensive YAML-based prompt template designed for Gemini (referred to as Nano Banana Pro) to generate a four-tier web manga strip. It includes strict adherence rules for character consistency, detailed style guides (lighting, background, dialogue bubbles, visual effects), and a structured storyboard format for defining scenes and dialogue in each panel.","STRICT ADHERENCE REQUIRED:
  - Follow this YAML specification precisely. Do NOT deviate, add unauthorized elements, or make 'creative' interpretations.
  - Character identity consistency from reference images (if provided) is PARAMOUNT.
  - Thorough image analysis is mandatory to maintain this consistency. Any result that fails character identity checks is unacceptable.

Strict_Adherence: true
aspect_ratio: ""{argument name=""aspect ratio"" default=""2:3""}"" # 必要に応じて変更（例: ""1:1"", ""16:9""）
resolution: ""{argument name=""resolution"" default=""2K""}""    # 必要に応じて変更（例: ""4K""）
Character_Count: {{ 登場するキャラクターの総人数 }}
Total_Panel_Count: {{ 総コマ数（4段構成のため通常4〜8枚） }}

Summary: >
  {argument name=""summary"" default=""物語の全体要約。プロットの流れ、舞台設定、主な出来事、結末を簡潔に記述。""}

Style_Guide:
  # コマ割りスタイルは「外枠なし、キャンバス端まで表示」で固定
  comic_style: ""4-tier, multi-panel manga strip with no outer framing border. The panels should extend to the very edge of the canvas, separated only by the inner white dividing lines.""
  lighting: ""{{ ライティングの指定。時間帯（昼/夜）、光源（太陽光/電灯/月明かり）、雰囲気（明るい/暗い/劇的な影）など。 }}""
  background_elements: ""{{ 主な舞台設定、場所の具体的な描写、配置されている重要な小物や環境要素。 }}""
  dialogue_bubbles: ""Standard white bubbles for speech, thought clouds for internal thoughts, dashed bubbles for whispers, and rectangular boxes for narration/monologue. {{ 必要であれば特殊な吹き出しの定義を追加（例：叫び用のトゲトゲ吹き出し等） }}""
  visual_effects: ""{{ 漫画的な視覚効果の指定。漫符（汗、血管、キラキラ）、エフェクト線（集中線、スピード線、震え線）、擬音の視覚化など。 }}""

Characters:
  # キャラクターの定義。IDは英数字推奨。
  {{ キャラクターID_1 }}:
    description: ""{{ 外見、髪型、色、服装、特徴的なアイテム、性格や表情の傾向。参照画像がある場合はファイル名をここに記述（例：image_0.png参照）。 }}""
  {{ キャラクターID_2 }}:
    description: ""{{ 二人目のキャラクター詳細... 人数分記述する。 }}""
  # 必要に応じて追加...

Storyboard:
  # 4段構成のコマ割り定義
  Tier_1:
    {{ コマID_T1_P1 (例: Panel_1_Large_Top) }}:
      scene: ""{{ このコマの具体的な状況描写。誰が、どこで、何をしているか。構図やカメラワークの指定も可能。 }}""
      dialogue:
        - speaker: ""{{ 話者のキャラクターID }}""
          type: ""{{ 台詞の種類: speech(通常), thought(思考), whisper(囁き), shout(叫び), monologue(独白/ナレーション) }}""
          text: ""{{ 台詞の具体的な内容。改行が必要な場合は \n を使用。 }}""
        # 同じコマ内で複数の台詞がある場合はリストを追加
        # - speaker: ""...""
        #   type: ""...""
        #   text: ""...""
    # Tier_1にコマを追加する場合はここに記述
  Tier_2:
    {{ コマID_T2_P1 }}:
      scene: ""{{ シーン詳細 }}""
      dialogue:
        - speaker: ""{{ 話者ID }}""
          type: ""{{ 種類 }}""
          text: ""{{ 内容 }}""
    # 必要に応じてコマを追加
  Tier_3:
    {{ コマID_T3_P1 }}:
      scene: ""{{ シーン詳細 }}""
      dialogue:
        - speaker: ""{{ 話者ID }}""
          type: ""{{ 種類 }}""
          text: ""{{ 内容 }}""
    # 必要に応じてコマを追加
  Tier_4:
    {{ コマID_T4_P1 }}:
      scene: ""{{ シーン詳細 }}""
      dialogue:
        - speaker: ""{{ 話者ID }}""
          type: ""{{ 種類 }}""
          text: ""{{ 内容 }}""
    # 必要に応じてコマを追加",https://x.com/Dakiny/status/2013569080490652069,2026-01-20T11:07:33.000Z,"{""name"":""Dakiny"",""link"":""https://x.com/Dakiny""}","[""https://pbs.twimg.com/media/G_DtU8TXkAAmnA7.jpg""]"
Seductive Office Lady in High-End Corporate Setting Prompt,"A structured JSON prompt for Nano Banana Pro to generate a photorealistic image of a stunning Asian female model in a seductive Office Lady uniform (tight white shirt, micro-miniskirt, sheer dark blue floral lace thigh-high stockings). The scene is set in a modern high-end corporate office with a blurred city skyline background, emphasizing cinematic soft lighting and highly detailed features.","{
  ""prompt_data"": {
    ""subject"": {
      ""basics"": ""1girl, solo"",
      ""demographics"": ""Stunning 20s Asian female idol style, tall fashion model proportions"",
      ""hair"": ""Very long straight black hair with full bangs"",
      ""eyes"": ""Large, round, piercing eyes"",
      ""skin"": ""Flawless pale skin"",
      ""expression"": ""Cute yet seductive expression looking at viewer""
    },
    ""attire"": {
      ""main_outfit"": {
        ""item"": ""Seductive Office Lady uniform"",
        ""details"": [
          ""Tight white button-up shirt"",
          ""Black micro-miniskirt"",
          ""Skirt hem cut extremely high"",
          ""Professional yet alluring silhouette""
        ],
        ""branding"": ""None""
      },
      ""legwear"": [
        ""Sheer dark blue thigh-high stockings"",
        ""Intricate floral lace pattern on stockings"",
        ""Dark blue lace garter belt with suspenders""
      ]
    },
    ""accessories"": {
      ""style"": ""Luxurious gold accessories"",
      ""items"": [
        ""Slim gold watch"",
        ""Delicate gold chain necklace with ruby pendant"",
        ""Long gold chain earrings""
      ]
    },
    ""pose_and_action"": {
      ""posture"": ""Sitting gracefully on the edge of an office desk"",
      ""interaction"": ""Legs crossed elegantly""
    },
    ""environment"": {
      ""setting"": ""Modern high-end corporate office interior"",
      ""background_elements"": ""Blurred city skyline through floor-to-ceiling glass windows, sleek office furniture""
    },
    ""style_and_technical"": [
      ""Subtle shadows"",
      ""Cinematic soft lighting"",
      ""Highly detailed face and eyes"",
      ""Realistic materials"",
      ""Photorealistic"",
      ""Sharp focus"",
      ""8k"",
      ""3:4""
    ]
  }
}",https://x.com/BeautyVerse_Lab/status/2013787423134884005,2026-01-21T01:35:10.000Z,"{""name"":""BeautyVerse"",""link"":""https://x.com/BeautyVerse_Lab""}","[""https://pbs.twimg.com/media/G_Jo-4maoAUligr.jpg""]"
Quiet Luxury Travel Photography on the Amalfi Coast,"A detailed prompt for generating a photorealistic travel influencer aesthetic image, capturing a young elegant woman leaning on a white stone railing on the Amalfi Coast. The scene emphasizes quiet luxury through her outfit (maroon knit top, beige tailored trousers) and the background details of Positano, using bright natural sunlight and high-resolution 8K quality.","{
  ""image_generation_prompt"": {
    ""subject"": {
      ""main"": ""Young elegant woman with long dark wavy hair"",
      ""features"": ""Symmetrical face, natural skin texture, confident expression, wearing oversized dark gradient sunglasses"",
      ""jewelry"": ""Delicate gold pendant necklace, thin gold bracelet on wrist""
    },
    ""outfit"": {
      ""top"": ""Maroon burgundy ribbed knit short-sleeve button-down top, v-neck style, tucked in"",
      ""bottom"": ""Beige high-waisted tailored trousers, pleated front, wide leg"",
      ""accessories"": ""Matching beige belt with a rectangular gold buckle, white structured leather handbag with gold hardware""
    },
    ""pose_and_action"": {
      ""stance"": ""Standing casually leaning against a white stone balcony railing"",
      ""framing"": ""Medium shot to knee-level crop"",
      ""interaction"": ""One hand resting on the railing, relaxed posture""
    },
    ""environment"": {
      ""location"": ""{argument name=""location"" default=""Amalfi Coast, Positano, Italy""}"",
      ""background_details"": ""Scenic cliffside village with colorful pastel buildings, steep coastline, distant mountains"",
      ""water"": ""Deep blue Mediterranean sea, small white boats and yachts in the distance"",
      ""lighting"": ""Bright natural sunlight, summer afternoon, clear sky, soft shadows""
    },
    ""technical_specs"": {
      ""style"": ""Lifestyle photography, travel influencer aesthetic, quiet luxury, photorealistic"",
      ""camera"": ""Shot on 35mm DSLR, 50mm lens, f/2.8 for slight depth of field"",
      ""resolution"": ""8k, ultra-detailed, sharp focus, high dynamic range (HDR)"",
      ""aspect_ratio"": ""--ar 9:16"",
      ""size_setting"": ""--stylize 750 --quality 2""
    }
  }
}",https://x.com/Inshi0123/status/2013529716746076452,2026-01-20T08:31:08.000Z,"{""name"":""Inshi 🌼"",""link"":""https://x.com/Inshi0123""}","[""https://pbs.twimg.com/media/G_F-mkHXkAAq3nZ.jpg"",""https://pbs.twimg.com/media/G_F-meWWsAAJITe.jpg"",""https://pbs.twimg.com/media/G_F-memXoAAvY7T.jpg"",""https://pbs.twimg.com/media/G_F-mjvXIAADSNh.jpg""]"
8K 3D Illustration of Anthropomorphic Bees (Gym and Relaxing),"A complex prompt structured into two modules for generating 8K, high-end AI-generated 3D illustrations of anthropomorphic bees. The first module depicts a bee lifting weights in a natural setting, and the second shows a relaxed bee in sunglasses holding a Pepsi can on a lounge chair, emphasizing physically based rendering and extreme detail clarity.","{
  ""master_prompt"": {
    ""global_settings"": {
      ""resolution"": ""8K"",
      ""aspect_ratio"": ""3:4"",
      ""render_style"": ""high-end AI-generated 3D illustration"",
      ""image_quality"": ""ultra-sharp, cinematic depth, physically based rendering"",
      ""lighting_quality"": ""soft global illumination with realistic shadows"",
      ""focus"": ""extreme detail clarity, shallow depth of field where applicable""
    },

    ""module_1"": {
      ""scene_identity"": ""Bee lifting weights in nature"",
      ""subject"": {
        ""type"": ""anthropomorphic bee"",
        ""body"": ""fuzzy yellow and black striped body"",
        ""eyes"": ""large glossy black eyes"",
        ""antennae"": ""two thin black curved antennae"",
        ""wings"": ""semi-transparent wings with visible vein patterns"",
        ""expression"": ""neutral to slightly cheerful""
      },
      ""pose_action"": {
        ""stance"": ""standing upright on two legs"",
        ""arms"": ""both arms raised holding a barbell"",
        ""object_interaction"": ""holding a metal barbell with circular weight plates on both ends""
      },
      ""environment"": {
        ""setting"": ""outdoor natural environment"",
        ""ground"": ""small dirt path or rock surface"",
        ""surroundings"": ""flowers on both sides"",
        ""background"": ""blurred trees and foliage""
      },
      ""lighting"": {
        ""type"": ""soft natural daylight"",
        ""direction"": ""top-center glow"",
        ""effects"": ""light haze and floating particles""
      },
      ""color_palette"": {
        ""dominant_colors"": [""yellow"", ""black"", ""green"", ""orange""],
        ""accent_colors"": [""soft pink"", ""warm brown""]
      },
      ""camera"": {
        ""angle"": ""eye-level"",
        ""framing"": ""full body centered"",
        ""depth_of_field"": ""foreground sharp, background softly blurred""
      }
    },

    ""module_2"": {
      ""scene_identity"": ""Relaxed bee on chair with soda can"",
      ""subject"": {
        ""type"": ""anthropomorphic bee"",
        ""body"": ""dense fuzzy yellow and black stripes"",
        ""eyes"": ""hidden behind oversized black sunglasses"",
        ""antennae"": ""two black antennae extending upward""
      },
      ""pose_action"": {
        ""posture"": ""reclining"",
        ""legs"": ""one leg crossed over the other"",
        ""arms"": ""one arm resting on chair, other holding a can""
      },
      ""objects"": {
        ""chair"": ""wooden lounge chair with yellow fabric seat and backrest"",
        ""drink_can"": ""blue soda can with visible {argument name=""drink brand"" default=""Pepsi""} logo"",
        ""sunglasses"": ""large glossy black frames""
      },
      ""environment"": {
        ""setting"": ""studio-style minimal background"",
        ""background_color"": ""light neutral gray"",
        ""surface"": ""smooth floor""
      },
      ""lighting"": {
        ""type"": ""soft studio lighting"",
        ""shadow"": ""subtle shadow beneath chair""
      },
      ""color_palette"": {
        ""dominant_colors"": [""yellow"", ""blue"", ""black"", ""wood brown""]",https://x.com/meng_dagg695/status/2013431470610882809,2026-01-20T02:00:44.000Z,"{""name"":""ShaHid WaNii"",""link"":""https://x.com/meng_dagg695""}","[""https://pbs.twimg.com/media/G_ElPOQXIAA4-w8.jpg"",""https://pbs.twimg.com/media/G_ElPO4acAA1vGX.jpg"",""https://pbs.twimg.com/media/G_ElPZ3WQAAPeiS.jpg"",""https://pbs.twimg.com/media/G_ElPjpW4AA6I9h.jpg""]"
Hyper-Stylized Close-up with Watermelon and Futuristic Sunglasses,"A prompt for generating a hyper-stylized, high-contrast close-up shot focused on a woman with wet, slicked-back hair, bold red lips, and oversized futuristic black sunglasses. The central prop is a large slice of watermelon held sensually near her mouth, set against a high-key white studio background with strong directional lighting.","{
  ""shot"": {
    ""composition"": ""Hyper-stylized close-up, 85mm lens, shallow depth of field, shot on RED Komodo 6K"",
    ""camera_motion"": ""static"",
    ""frame_rate"": ""24fps"",
    ""film_grain"": ""digital clean with gloss post-grade""
  },
  ""subject"": {
    ""description"": ""A woman with wet slicked-back hair, bold glossy red lips, wearing oversized black futuristic sunglasses"",
    ""wardrobe"": ""bare shoulders, likely nude or minimal to enhance focus on face and accessories"",
    ""props"": ""large slice of juicy {argument name=""fruit"" default=""watermelon""} held in front of her mouth""
  },
  ""scene"": {
    ""location"": ""high-key white background studio with strong directional light"",
    ""time_of_day"": ""midday impression (stylized lighting)"",
    ""environment"": ""wet gloss aesthetic with moisture drops on skin""
  },
  ""visual_details"": {
    ""action"": ""she holds the watermelon close to her mouth, lips parted sensually"",
    ""lighting_effects"": ""hard light reflections on sunglasses, wet skin and watermelon surface""",https://x.com/xmliisu/status/2013464328301609196,2026-01-20T04:11:18.000Z,"{""name"":""Melisa♡"",""link"":""https://x.com/xmliisu""}","[""https://pbs.twimg.com/media/G_FDIRVXkAAZLWS.jpg"",""https://pbs.twimg.com/media/G_FDIRVWIAAGUke.jpg"",""https://pbs.twimg.com/media/G_FDIRUXUAA0lNi.jpg""]"
