title,description,content,sourceLink,sourcePublishedAt,author,sourceMedia
Retro-Futuristic Roller Disco Aesthetic Portrait,"A detailed prompt for generating a masterpiece-quality, ultra-detailed image of a confident young woman in a retro-futuristic, 80s roller disco aesthetic, featuring glossy leather attire, dramatic hair, and a low-angle shot.","{
  ""subject"": ""Beautiful young woman"",
  ""hair"": {
    ""color"": ""blonde"",
    ""style"": ""long wavy hair with dramatic flowing locks""
  },
  ""face"": {
    ""eyes"": ""big expressive eyes with heavy eyeliner and long lashes"",
    ""lips"": ""full lips"",
    ""skin_tone"": ""fair"",
    ""expression"": ""confident and seductive"",
    ""detail_level"": ""highly detailed face and eyes""
  },
  ""outfit"": {
    ""top"": ""shiny glossy brown leather shirt with deep V-neck collar unbuttoned"",
    ""bottom"": ""tight brown leather miniskirt"",
    ""belt"": ""wide black belt with large buckle"",
    ""accessories"": [
      ""black choker necklace"",
      ""black fingerless leather gloves with studs"",
      ""large hoop earrings""
    ]
  },
  ""footwear"": {
    ""type"": ""retro roller skates"",
    ""boots"": ""brown boots"",
    ""wheels"": ""brown wheels""
  },
  ""body"": {
    ""legs"": ""long athletic legs"",
    ""stance"": ""powerful confident stance"",
    ""pose"": ""full body pose skating forward""
  },
  ""camera"": {
    ""angle"": ""low shot"",
    ""perspective"": ""looking up"",
    ""focus"": ""sharp focus""
  },
  ""lighting"": {
    ""mood"": ""vibrant yet warm"",
    ""shadows"": ""soft shadows"",
    ""surface_effects"": ""glossy leather reflections, smooth skin texture""
  },
  ""style"": {
    ""vibe"": ""retro-futuristic mixed with 80s roller disco aesthetic""
  },
  ""quality"": {
    ""rating"": ""masterpiece"",
    ""detail"": ""ultra detailed"",
    ""render_quality"": ""best quality""
  },
  ""artist"": ""Buffhan""
}",https://x.com/Just_sharon7/status/2013648208497463652,2026-01-20T16:21:59.000Z,"{""name"":""Sharon Riley"",""link"":""https://x.com/Just_sharon7""}","[""https://pbs.twimg.com/media/G_HqX28XEAAMcoA.jpg""]"
Sydney Sweeney Vintage Film Portrait Prompt,"A highly constrained prompt for generating a cinematic, vintage-style outdoor portrait of Sydney Sweeney, demanding maximum identity preservation and prohibiting any alteration or beautification of her features. The prompt requires varying the pose naturally while maintaining the same prop (a red lollipop) and applying a strong analog film aesthetic with heavy grain, dust, and a warm brown-orange color cast.","{
  ""prompt"": ""Use the uploaded reference image as the absolute identity anchor. Preserve the subject’s facial features, facial proportions, bone structure, eyes, nose, lips, skin tone, hairline, hair texture, body shape, and overall likeness with maximum fidelity. Do not beautify, idealize, or alter the person in any way. A cinematic, vintage-style outdoor portrait of the same person. For each generation, vary the subject’s pose naturally (e.g., slight body angle changes, subtle lean, head tilt, arm positioning) while keeping the same prop: a bright {argument name=""prop color"" default=""red""} lollipop held near the lips or face. Maintain a calm, confident expression. The subject wears a white strapless bandeau top and high-waisted light-blue distressed denim shorts. Lighting is soft, warm, and natural during golden hour. The image has a strong analog film aesthetic with heavy grain, dust, scratches, subtle fading, and a warm brown-orange color cast, resembling an old 35mm photograph. Background is softly blurred with shallow depth of field. Framing remains cinematic and consistent."",
  ""identity_preservation"": {
    ""face_likeness"": ""maximum"",
    ""body_proportions"": ""exact_match"",
    ""hair"": ""match_reference""
  },
  ""pose_variation"": {
    ""enabled"": true,
    ""mode"": ""random_per_generation"",
    ""constraints"": [
      ""natural human poses only"",
      ""no extreme or distorted angles"",
      ""no change to body shape or identity""
    ]
  },
  ""prop"": {
    ""name"": ""{argument name=""prop name"" default=""red lollipop""}"",
    ""consistency"": ""same_prop_every_generation""
  },
  ""style_keywords"": [
    ""vintage film photography"",
    ""analog grain"",
    ""cinematic portrait"",
    ""retro aesthetic"",
    ""natural light"",
    ""shallow depth of field"",
    ""realistic skin texture""
  ],
  ""camera_settings"": {
    ""lens"": ""35mm"",
    ""aperture"": ""f/1.8"",
    ""iso"": 800,
    ""film_grain"": ""heavy"",
    ""vignette"": ""light""
  },
  ""negative_prompt"": [
    ""face change"",
    ""different person"",
    ""altered identity"",
    ""idealized beauty"",
    ""smooth plastic skin"",
    ""CGI"",
    ""illustration"",
    ""digital HDR look"",
    ""modern studio lighting"",
    ""missing prop"",
    ""changed prop""
  ],
  ""generation_settings"": {
    ""image_weight"": ""1.5–2.0"",
    ""face_consistency"": ""max"",
    ""denoising_strength"": ""0.2–0.35"",
    ""cfg_scale"": ""low_to_medium"",
    ""aspect_ratio"": ""16:9""
  }
}",https://x.com/23rd_Pulikesi/status/2013538250422624430,2026-01-20T09:05:03.000Z,"{""name"":""✨ Pulikesi✨"",""link"":""https://x.com/23rd_Pulikesi""}","[""https://pbs.twimg.com/media/G_GGXKCXYAAbzPr.jpg"",""https://pbs.twimg.com/media/G_GGXKxXwAAppo2.jpg"",""https://pbs.twimg.com/media/G_GGXTlXoAEnaap.jpg"",""https://pbs.twimg.com/media/G_GGXdcXIAAZw-N.jpg""]"
Hyper-Detailed Gal Gadot Editorial Portrait Prompt,"An extremely technical and detailed JSON prompt for generating an exact replica of Gal Gadot in a high-fashion editorial portrait. The prompt specifies precise camera settings (85mm f/1.4, 8K resolution), complex lighting (Mood Editorial setup with deep red key light), and includes instructions for simulating camera defects like film grain, chromatic aberration, and sensor bleed for maximum realism and aesthetic control.","{ ""camera"": { ""device_examples"": [ ""Full-frame mirrorless: Sony A7R IV (61MP CMOS)"" ], ""sensor_type"": ""full-frame 35mm CMOS"", ""lens"": ""85mm f/1.4 G-Master prime"" }, ""resolution_and_output"": { ""resolution"": ""8k (7680×4320)"", ""aspect_ratio"": ""2:3 (editorial vertical)"", ""file_format"": ""TIFF 16-bit"" }, ""camera_defects_and_artifacts"": [ ""extremely_fine_film_grain (ISO 100 emulation)"", ""subtle_chromatic_aberration on jewelry highlights"", ""high-frequency_sharpness_variation (center focus sharp, slight edge fall-off)"", ""vignetting: -0.8 stops"", ""micro-scratches on background velvet"", ""dust specks (3-4 tiny particles on lens)"", ""coma on off-axis bokeh"", ""sensor_bleed in deep reds"", ""color_banding avoidance with tonal noise"", ""highlight bloom on skin highlights (0.05 strength)"" ], ""composition"": { ""style"": ""editorial high-fashion portrait"", ""directions"": [ ""Centered subject with negative space at the top"", ""Medium close-up framing from chest up"", ""Layered depth with dark red velvet curtain background"" ], ""camera_settings_suggestion"": { ""shutter_speed"": ""1/160s"", ""aperture"": ""f/2.0 (for depth while keeping face sharp)"", ""iso"": ""ISO 100"", ""white_balance"": ""5400K (neutral/warm)"" } }, ""pose_and_model_direction"": { ""precision_required"": ""high"", ""pose_library"": [ ""Hand near mouth, index finger lightly touching bottom lip"", ""Shoulders rotated 15°"", ""Long, slender finger articulation with red pointed nails"" ], ""facial_expression"": ""smoldering, neutral gaze, slightly parted lips"" }, ""celebrity_identity_control"": { ""celebrity_reference"": ""{argument name=""celebrity name"" default=""Gal Gadot""}"", ""instructions"": ""Exact replica of Gal Gadot. Exact facial structure, jawline, and eye shape. 100% likeness."" }, ""body_proportions_and_anatomy_control"": { ""fields"": { ""height_cm"": ""178"", ""body_type"": ""slim-athletic"", ""measurements_cm"": { ""bust"": ""86"", ""waist"": ""58"", ""hips"": ""86"" }, ""muscle_definition_level"": ""light (collarbone emphasis)"", ""pose_emphasis"": ""decolletage and shoulder line"" }, ""anatomical_precision"": ""Visible skin pores, natural neck tendons, realistic finger joints"" }, ""ethnicity_and_age"": { ""ethnicity_description"": ""Mediterranean, light olive skin tone"", ""age_approx"": ""38 years (adult)"" }, ""lighting_and_shadows"": { ""lighting_setups"": [ { ""name"": ""Mood Editorial"", ""description"": ""Deep red key light from 45° right, soft top-down fill, heavy shadow fall-off on the left side of the frame"", ""shadow_profile"": ""Deep blacks in the velvet folds, soft penumbra on the skin"" } ], ""light_temperature_kelvin"": { ""key"": 3200, ""fill"": 3000 } }, ""color_grading_and_filters"": { ""LUT_examples"": [""Kodak 2383 film emulation""], ""cinematic_filter"": { ""style"": ""Deep Red/Bordeaux tonal shift"", ""strength"": 0.4 }, ""contrast_and_tone"": { ""global_contrast"": ""+12"", ""midtone_shift"": ""-5"" } }, ""processing_and_post"": { ""sharpness_profile"": ""microcontrast +15 in eyes and lips"", ""retouching_level"": ""editorial_minimal (preserve all skin texture and moles)"", ""noise_and_grain"": ""ultra-fine grain_stren",https://x.com/AIRevSpot/status/2013691255394554172,2026-01-20T19:13:02.000Z,"{""name"":""QuestGlitch"",""link"":""https://x.com/AIRevSpot""}","[""https://pbs.twimg.com/media/G_IRg0vWwAASLm8.jpg""]"
Coquette Y2K Bunny Girl Flash Photo,"A detailed JSON prompt for generating a photorealistic image in a 'Coquette, Y2K party vibe' aesthetic, mimicking candid flash photography. The subject is a young woman wearing a bunny ear headband and a lace corset top, posed indoors with a vintage digital camera timestamp overlay.","{
  ""image_generation_prompt"": {
    ""subject_details"": {
      ""appearance"": ""Young woman with long, voluminous wavy blonde hair, fair skin, and soft glam makeup featuring rosy cheeks and glossy pink lips."",
      ""pose"": ""Standing facing forward, hands placed behind back, slight head tilt to the left, direct eye contact with the camera.""
    },
    ""outfit_and_accessories"": {
      ""headwear"": ""Large, fluffy white faux-fur bunny ears with pink inner lining."",
      ""upper_body"": ""White floral lace corset top featuring a sweetheart neckline, vertical boning, and pink ribbon bows down the center placket."",
      ""lower_body"": ""Solid light pink mini skirt."",
      ""legwear"": ""White fishnet stockings paired with pink ribbon thigh garters featuring small bows."",
      ""jewelry"": ""A delicate gold necklace with a pink heart pendant.""
    },
    ""environment_and_background"": {
      ""setting"": ""Indoor bedroom or apartment interior."",
      ""left_side"": ""Floor-to-ceiling white drapes/curtains."",
      ""right_side"": ""Wood-paneled wall featuring a framed 'PRADA MARFA' poster and a tall artificial green plant."",
      ""foreground"": ""Corner of a bed with a grey textured duvet visible in the bottom right.""
    },
    ""technical_and_style"": {
      ""aesthetic"": ""Coquette, Y2K party vibe, candid flash photography style."",
      ""lighting"": ""Harsh direct camera flash creating a distinct shadow behind the subject against the curtains."",
      ""resolution"": ""4k, HD, photorealistic, highly detailed textures (lace, hair, fur)."",
      ""overlays"": ""Vintage digital camera timestamp '20/01/2026 01:39' in orange pixelated font in the bottom right corner.""
    }
  }
}",https://x.com/xIrissy/status/2013531915643691177,2026-01-20T08:39:52.000Z,"{""name"":""Iris"",""link"":""https://x.com/xIrissy""}","[""https://pbs.twimg.com/media/G_GAl3RW4AAHzx2.jpg""]"
Early 2000s Video Game Render Style Transfer,"A text prompt designed to transform a given image into the aesthetic of an early 2000s video game render, specifically mimicking the look of Maya 4.0 rendering. It focuses on low-poly geometry, low-resolution textures, and atmospheric effects like fogging distant objects, while explicitly avoiding pixel art or voxel styles.","Low poly, low res textures
- Distant objects get simplified and fogged out
- Avoids gotchas like pixel art and voxels
- Based on Maya 4.0 rendering",https://x.com/fofrAI/status/2013250137661817194,2026-01-19T14:00:11.000Z,"{""name"":""fofr"",""link"":""https://x.com/fofrAI""}","[""https://pbs.twimg.com/media/G_B_Z9fXAAAZLep.jpg"",""https://pbs.twimg.com/media/G_B_hMaW8AAjgyt.jpg""]"
Cozy Retro Loungewear with Shaggy Faux Fur,"A prompt for Nano Banana Pro focused on generating an image of 'ultimate loungewear' with a cozy, fashion magazine aesthetic. The key technique is layering the terms 'Shaggy faux fur' and 'Long pile' to achieve maximum fluffiness, combined with retro furniture for a stylish, comfortable atmosphere.","「究極の部屋着」を生成してみました✨

ポイントは ""{argument name=""素材1"" default=""Shaggy faux fur""}"" と ""{argument name=""素材2"" default=""Long pile""}"" を重ねて、このモフモフ感を出すこと。レトロな家具との組み合わせで、ファッション誌っぽいCozyな雰囲気に仕上がりました🧶✨",https://x.com/ai_buty/status/2013392950676594917,2026-01-19T23:27:41.000Z,"{""name"":""はると@AIクリエイター"",""link"":""https://x.com/ai_buty""}","[""https://pbs.twimg.com/media/G_ECNkPWoAAexds.jpg"",""https://pbs.twimg.com/media/G_ECNjraoAIhBrg.jpg"",""https://pbs.twimg.com/media/G_ECNkPWQAAKPLn.jpg""]"
Vintage Casino Glamour Portrait with Direct Flash Aesthetic,"This Nano Banana prompt generates a vintage and elegant portrait with a strong, high-contrast aesthetic, mimicking an early 2000s digital compact camera using direct on-camera flash. It emphasizes strict facial preservation from a reference image and details a specific pose, outfit (black satin mini slip dress), and a retro Las Vegas casino environment.","{
  ""image_generation_request"": {
    ""meta_settings"": {
      ""aspect_ratio"": ""9:16"",
      ""model_version"": ""v6.0"",
      ""stylize_value"": 250,
      ""quality"": ""High""
    },
    ""subject_definition"": {
      ""identity_source"": {
        ""method"": ""Image Reference"",
        ""instruction"": ""Strictly preserve facial features and hair from the uploaded reference image.""
      },
      ""body_language"": {
        ""pose"": ""Seated on a high stool, body angled 30 degrees to the left, legs elegantly crossed at the knee to elongate the silhouette."",
        ""hands"": ""Resting casually on the upper thighs, fingers relaxed, showcasing rings."",
        ""gaze"": ""Looking slightly down towards the camera lens or directly into the flash.""
      }
    },
    ""fashion_and_styling"": {
      ""garment_main"": {
        ""item"": ""Black mini slip dress"",
        ""fabric"": ""Satin or high-sheen silk blend"",
        ""fit"": ""Skin-tight, fitted bodycon silhouette"",
        ""details"": [
          ""Spaghetti straps made of glittering rhinestones"",
          ""Deep scoop neckline"",
          ""Mini hemline exposing legs""
        ]
      },
      ""footwear"": {
        ""item"": ""Platform sandals"",
        ""style"": ""Chunky block heel, 1990s/Y2K inspired"",
        ""material"": ""Black patent leather or satin"",
        ""details"": ""Silver buckle ankle strap, open toe""
      },
      ""jewelry"": {
        ""ears"": ""Oversized sterling silver hoop earrings"",
        ""hands"": ""Multiple delicate silver stacking rings""
      }
    },
    ""environmental_context"": {
      ""location"": ""Vintage Casino Floor"",
      ""flooring"": {
        ""type"": ""Patterned carpeting"",
        ""texture"": ""Worn nylon"",
        ""design"": ""Psychedelic swirls in teal, burnt orange, and royal blue"",
        ""vibe"": ""Retro Las Vegas aesthetic""
      },
      ""furniture"": {
        ""item"": ""Casino bar stool"",
        ""material"": ""Tufted red faux leather seat"",
        ""base"": ""Tarnished bronze or gold metal pedestal with footrest""
      },
      ""props_and_background"": {
        ""primary_prop"": ""Slot machine"",
        ""prop_details"": ""Illuminated marquee reading 'TRIPLE JACKPOT GEMS', glowing buttons, glass screen reflections"",
        ""atmosphere"": ""Smoky, crowded, dimly lit background with bokeh lights from other machines""
      }
    },
    ""photography_technical"": {
      ""camera_simulation"": ""Early 2000s Digital Compact Camera (e.g., Sony Cybershot or Canon PowerShot)"",
      ""lighting_style"": {
        ""type"": ""Direct On-Camera Flash"",
        ""characteristics"": [
          ""Harsh shadows directly behind the subject"",
          ""High contrast"",
          ""Overexposed specular highlights on skin and fabric"",
          ""Vignetted corners""
        ]
      },
      ""composition"": {
        ""angle"": ""Extreme low angle (Worm's-eye view)"",
        ""focus"": ""Sharp focus on subject, slight blur on background"",
        ""framing"": ""Full body shot emphasizin""
      }
    }
  }
}",https://x.com/Adam38363368936/status/2013406753770119423,2026-01-20T00:22:32.000Z,"{""name"":""Adam也叫吉米"",""link"":""https://x.com/Adam38363368936""}","[""https://pbs.twimg.com/media/G_EOXDUXMAARheL.jpg""]"
Gen Z Selfie in Purple LED Lighting,"A highly detailed JSON prompt for Gemini Nano Banana Pro, designed to simulate a casual, low-light smartphone selfie in a Gen Z bedroom setting. It specifies a subject with freckles wearing a holiday sweater, sitting with knees drawn up, under dominant purple/violet LED ambient lighting. The prompt demands ultra-photorealistic details, including visible pores, fabric texture, and authentic digital noise/grain from high ISO simulation.","{
  ""prompt_structure"": {
    ""subject_details"": {
      ""demographics"": ""Young female, fair skin tone, natural appearance with distinct freckles across nose and cheeks"",
      ""facial_features"": ""Soft facial structure, neutral to soft expression, gaze directed down at phone"",
      ""hair"": ""Long, dark brown, loose wavy texture, center part, draping over shoulders"",
      ""clothing"": {
        ""top"": ""Red crewneck holiday sweater featuring a large cartoon reindeer face"",
        ""bottom"": ""Plaid pajama shorts (only small section visible at upper thigh)""
      },
      ""pose"": ""Sitting upright on a bed, body angled slightly to viewer's left. Both legs are bent sharply at the knees and drawn up tightly against the torso. The shins are prominent, and feet are tucked near the buttocks. Right hand holds a smartphone with a black case up in front of the body to take a selfie.""
    },
    ""environment_context"": {
      ""setting"": ""Gen Z bedroom / dorm room context"",
      ""background_elements"": [
        ""White floating shelves packed with diverse colorful books"",
        ""Anime posters on white walls ({argument name=""anime poster"" default=""My Hero Academia""} clearly visible)"",
        ""LED strip lights running vertically along the wall corner"",
        ""Messy unmade bed with white textured duvet or blanket"",
        ""Crumpled red fleece throw blanket in background on bed""
      ]
    },
    ""lighting_atmosphere"": {
      ""primary_source"": ""Dominant Purple/Violet LED ambient lighting originating from corner strip"",
      ""quality"": ""Dim, soft, moody, atmospheric, strong colored purple cast on skin, clothing, and surroundings"",
      ""shadows"": ""Soft, diffused shadows created by the ambient colored light""
    },
    ""camera_technical"": {
      ""style"": ""Casual Smartphone Selfie, Candid shot"",
      ""simulation"": ""Smartphone Main Sensor Simulation"",
      ""angle"": ""Slightly low angle, looking slightly up at the subject"",
      ""focal_length"": ""Approx 24-28mm wide angle (phone lens equivalent)"",
      ""aperture"": ""f/1.7 wide open"",
      ""iso"": ""High ISO (approx 800-1600) resulting in visible fine digital noise/grain"",
      ""focus"": ""Sharp focus on subject's face and knees, slight depth of field blur on background bookshelf""
    },
    ""quality_modifiers"": {
      ""engine"": ""Nano Banana Pro"",
      ""details"": ""Ultra Photorealistic, 8k resolution, raw photo style, realistic skin texture with highly visible pores and freckles underneath purple light, tangible fabric texture details on sweater and blanket, authentic low-light smartphone digital noise grain.""
    },
    ""negative_prompt"": ""cartoon, illustration, anime, painting, 3D render, drawing, sketch, abstract, low quality, blurry, pixelated, unnatural skin, doll-like, oversaturated, flat lighting, stylized, idealized, unrealistic, smooth skin, denoised""
  }
}",https://x.com/Vishnudxe/status/2013261188625555511,2026-01-19T14:44:06.000Z,"{""name"":""Artificial intelligence (Ai),Open Ai"",""link"":""https://x.com/Vishnudxe""}","[""https://pbs.twimg.com/media/G_CKYW4b0AA3Fb4.jpg""]"
Y2K Surveillance Footage Style Portrait,"A highly specific JSON prompt for Gemini Nano Banana Pro, aiming to generate an ultra-photorealistic image with a Y2K/Indie Sleaze aesthetic, simulating surveillance footage or a digital camcorder shot. It features a young woman with a sassy expression leaning over a cluttered convenience store counter, utilizing a fisheye lens, harsh fluorescent lighting, and post-processing effects like VHS glitch lines and a digital timestamp.","{
  ""image_generation_prompt"": {
    ""subject"": {
      ""demographics"": ""Young woman, light complexion, long wavy dark blonde/light brown hair"",
      ""styling"": {
        ""hair"": ""Center-parted, beach waves, textured, slightly messy"",
        ""clothing"": ""Olive green sleeveless fitted tank top"",
        ""accessories"": ""Oversized black rectangular sunglasses, small silver hoop earrings, thin gold chain necklace""
      },
      ""pose"": ""Leaning forward over a glass counter, hands placed on hips with elbows jutting out, tongue playfully sticking out, direct engagement with the camera lens"",
      ""expression"": ""Sassy, playful, rebellious, confident""
    },
    ""environment"": {
      ""location"": ""Cluttered convenience store or souvenir shop interior"",
      ""background"": ""Shelves densely packed with merchandise (mugs, plates, souvenirs, boxes), overhead fluorescent tube light"",
      ""foreground"": ""Glass display counter, scattered receipts and papers, white shopping bag with red rope handles"",
      ""atmosphere"": ""Chaotic, busy, urban retail setting""
    },
    ""camera_and_technical"": {
      ""camera_type"": ""Digital camcorder or CCTV security camera emulation"",
      ""lens"": ""15mm Fisheye wide-angle lens"",
      ""perspective"": ""High-angle, distorted barrel distortion effect"",
      ""lighting"": ""Harsh overhead fluorescent lighting, cool color temperature, mixed with flash reflection on glass"",
      ""aesthetic"": ""Y2K visuals, surveillance footage style, lo-fi digital texture"",
      ""post_processing"": {
        ""effects"": ""VHS glitch lines overlay, chromatic aberration, film grain, digital datestamp '{argument name=""date stamp"" default=""DEC 29 2025 11:31:33""}' in bottom right corner"",
        ""quality"": ""Ultra photorealistic textures but with intentional stylistic degradation (noise, artifacts)""
      }
    },
    ""mood"": {
      ""vibe"": ""Edgy, candid, paparazzi-style, raw, energetic"",
      ""keywords"": [
        ""Urban exploration"",
        ""Late night shopping"",
        ""Indie sleaze"",
        ""Retro-modern""
      ]
    }
  }
}",https://x.com/Vishnudxe/status/2013229737368584211,2026-01-19T12:39:08.000Z,"{""name"":""Artificial intelligence (Ai),Open Ai"",""link"":""https://x.com/Vishnudxe""}","[""https://pbs.twimg.com/media/G_BtxpmWkAAr30W.jpg""]"
Ana de Armas Vintage Casino Flash Photo (Duplicate),"A structured prompt for generating a full-body image of Ana de Armas in a vintage casino setting. It specifies a black mini slip dress, Y2K platform sandals, and uses a simulated 'Early 2000s Digital Compact Camera' aesthetic with harsh on-camera flash, high contrast, and an extreme low angle. (Duplicate of 2013248633748050216)","{
  ""image_generation_request"": {
    ""meta_settings"": {
      ""aspect_ratio"": ""9:16"",
      ""model_version"": ""v6.0"",
      ""stylize_value"": 250,
      ""quality"": ""High""
    },
    ""subject_definition"": {
      ""identity_source"": {
        ""method"": ""Image Reference"",
        ""instruction"": ""Strictly preserve facial features and hair from the uploaded reference image.""
      },
      ""body_language"": {
        ""pose"": ""Seated on a high stool, body angled 30 degrees to the left, legs elegantly crossed at the knee to elongate the silhouette."",
        ""hands"": ""Resting casually on the upper thighs, fingers relaxed, showcasing rings."",
        ""gaze"": ""Looking slightly down towards the camera lens or directly into the flash.""
      }
    },
    ""fashion_and_styling"": {
      ""garment_main"": {
        ""item"": ""Black mini slip dress"",
        ""fabric"": ""Satin or high-sheen silk blend"",
        ""fit"": ""Skin-tight, fitted bodycon silhouette"",
        ""details"": [
          ""Spaghetti straps made of glittering rhinestones"",
          ""Deep scoop neckline"",
          ""Mini hemline exposing legs""
        ]
      },
      ""footwear"": {
        ""item"": ""Platform sandals"",
        ""style"": ""Chunky block heel, 1990s/Y2K inspired"",
        ""material"": ""Black patent leather or satin"",
        ""details"": ""Silver buckle ankle strap, open toe""
      },
      ""jewelry"": {
        ""ears"": ""Oversized sterling silver hoop earrings"",
        ""hands"": ""Multiple delicate silver stacking rings""
      }
    },
    ""environmental_context"": {
      ""location"": ""Vintage Casino Floor"",
      ""flooring"": {
        ""type"": ""Patterned carpeting"",
        ""texture"": ""Worn nylon"",
        ""design"": ""Psychedelic swirls in teal, burnt orange, and royal blue"",
        ""vibe"": ""Retro Las Vegas aesthetic""
      },
      ""furniture"": {
        ""item"": ""Casino bar stool"",
        ""material"": ""Tufted red faux leather seat"",
        ""base"": ""Tarnished bronze or gold metal pedestal with footrest""
      },
      ""props_and_background"": {
        ""primary_prop"": ""Slot machine"",
        ""prop_details"": ""Illuminated marquee reading 'TRIPLE JACKPOT GEMS', glowing buttons, glass screen reflections"",
        ""atmosphere"": ""Smoky, crowded, dimly lit background with bokeh lights from other machines""
      }
    },
    ""photography_technical"": {
      ""camera_simulation"": ""Early 2000s Digital Compact Camera (e.g., Sony Cybershot or Canon PowerShot)"",
      ""lighting_style"": {
        ""type"": ""Direct On-Camera Flash"",
        ""characteristics"": [
          ""Harsh shadows directly behind the subject"",
          ""High contrast"",
          ""Overexposed specular highlights on skin and fabric"",
          ""Vignetted corners""
        ]
      },
      ""composition"": {
        ""angle"": ""Extreme low angle (Worm's-eye view)"",
        ""focus"": ""Sharp focus on subject, slight blur on background"",
        ""framing"": ""Full body shot emphasi""
      }
    }
  }
}",https://x.com/chatgptpaglu/status/2013274752228503644,2026-01-19T15:38:00.000Z,"{""name"":""yusra."",""link"":""https://x.com/chatgptpaglu""}","[""https://pbs.twimg.com/media/G_CWtMcXwAEmy74.jpg"",""https://pbs.twimg.com/media/G_CWtMcXgAEia0i.jpg""]"
