id,title,description,content,sourceMedia,author,sourceLink,keywords
7,Sơ đồ 'Đầm lầy' Phát triển AI Agent,"Một lời nhắc dựa trên JSON chi tiết dành cho Nano Banana Pro để tạo ra sơ đồ 'Swamp' (một định dạng meme phổ biến trên internet) minh họa tính chất tuần hoàn của việc bị mắc kẹt trong quá trình phát triển AI Agent. Lời nhắc xác định cấu trúc, phong cách (đơn giản, minh họa dễ thương), bố cục (đường dẫn giới thiệu thẳng dẫn vào một vòng lặp theo chiều kim đồng hồ) và các nút cụ thể với nhân vật, hình ảnh và thuật ngữ đối thoại/suy nghĩ của sơ đồ.","diagram:
  title: ""{argument name=""diagram title"" default=""Vòng Lặp Đầm Lầy Phát Triển AI Agent Sinh Thành""}""
  style:
    character: ""simple_editorial_cute""
    tone: ""light_like_original""
    line: ""soft_round""
    shading: ""flat_minimal""
    palette: ""muted_editorial""
    background: ""light_beige_or_white""

  rule:
    first_character_only: ""Chỉ người đầu tiên là khác""
    others_same_character: ""Tất cả những người khác đều là một""
    anxiety_requires_tech_terms: true
    dialogue_tone: ""Giữ nguyên cách diễn đạt ngắn gọn, nhẹ nhàng của sơ đồ gốc""

layout:
  intro_track: ""Phần trên là một đường thẳng (từ trái sang phải), sau đó rẽ xuống để nối vào vòng lặp""
  loop_track: ""Sắp xếp thành một vòng lặp (hình tròn), với các mũi tên cong theo chiều kim đồng hồ dọc theo chu vi""

nodes:
  # ===== Upper Section: Straight Introduction =====
  - id: A
    zone: ""intro""
    position: ""upper_left""
    actor: ""Người khác (Kỹ sư cấp cao)""
    visual: ""Chỉ vào máy tính xách tay""
    item: ""Màn hình Demo AI Agent""
    says: ""Nó sẽ làm bạn hạnh phúc.""
    arrow_to: { id: B, shape: ""straight"", direction: ""right"" }

  - id: B
    zone: ""intro""
    position: ""upper_center""
    actor: ""Nhân vật chính (Cùng một người)""
    visual: ""Vẫy tay nhẹ""
    says: ""Ngay cả một agent đơn giản...""
    arrow_to: { id: C, shape: ""straight"", direction: ""right"" }

  - id: C
    zone: ""intro""
    position: ""upper_right""
    actor: ""Nhân vật chính (Cùng một người)""
    visual: ""Thực thi mã mẫu""
    item: ""Mẫu LangChain / CrewAI""
    arrow_to: { id: D, shape: ""straight"", direction: ""down"" }

  # ===== D: Awakening Point =====
  - id: D
    zone: ""connector""
    position: ""right_outer_before_loop""
    actor: ""Nhân vật chính (Cùng một người)""
    visual:
      face: ""Mắt mở to (dễ thương)""
      effect: ""Vệt sáng nhỏ của sự cảm hứng""
      posture: ""Nghiêng người về phía trước""
    state: ""Thức tỉnh""
    says: ""Agent, cái này thật điên rồ...""
    micro_text: ""(Thức tỉnh ở đây)""
    arrow_to:
      id: E
      shape: ""gentle_curve""
      direction: ""down_into_ring""

  # ===== Loop Start (Must rotate from here) =====
  - id: E
    zone: ""loop""
    position: ""loop_right_upper""
    actor: ""Nhân vật chính (Cùng một người)""
    visual: ""Ôm đầu (dễ thương)""
    state: ""Bắt đầu lo lắng/khó chịu""
    says: ""Khó chịu""
    thought_terms:
      - ""Thiết kế Prompt""
      - ""Lựa chọn công cụ""
      - ""Thiết kế bộ nhớ""
    thought_text: ""Nó không hoạt động như mong đợi...""
    arrow_to: { id: F, shape: ""curved_along_ring"", direction: ""clockwise"" }

  - id: F
    zone: ""loop""
    position: ""loop_right_lower""
    actor: ""Nhân vật chính (Cùng một người)""
    visual: ""Bị bao quanh bởi mã và nhật ký""
    state: ""Sự khó chịu lắng xuống""
    says: ""Trong trạng thái khó chịu""
    callout: ""Vòng lặp! Chạy loạn! Ảo giác!""
    thought_terms:
      - ""RAG""
      - ""Gọi hàm""
      - ""Sử dụng công cụ""
    arrow_to: { id: G, shape: ""curved_along_ring"", direction: ""clockwise"" }

  - id: G
    zone: ""loop""
    position: ""loop_bottom""
    actor: ""Nhân vật chính (Cùng một người)""
    visual: ""Bị bao phủ bởi ghi chú và sơ đồ""
    says: ""Cơ thể dần dần phát triển khả năng chịu đựng, và việc sử dụng tăng lên.""
    items:
      - ""Sơ đồ kiến trúc Agent""
      - ""Ghi nhớ phân công vai trò""
      - ""Luồng chuyển đổi trạng thái""
    arrow_to: { id: H, shape: ""curved_along_ring"", direction: ""clockwise"" }

  - id: H
    zone: ""loop""
    position: ""loop_left_lower""
    actor: ""Nhân vật chính (Cùng một người)""
    visual: ""Hoạt động tốt, nắm tay nhỏ""
    state: ""Thỏa mãn tạm thời""
    says: ""Mong muốn tạm thời được thỏa mãn""
    arrow_to: { id: I, shape: ""curved_along_ring"", direction: ""clockwise"" }

  - id: I
    zone: ""loop""
    position: ""loop_left_upper""
    actor: ""Nhân vật chính (Cùng một người)""
    visual: ""Suy nghĩ lại""
    state: ""Ám ảnh/Chiếm hữu suy nghĩ""
    says: ""Suy nghĩ về agent""","[""https://cms-assets.youmind.com/media/1766667407596_i77nzi_G8ybmHWagAUO-CF.jpg""]","{""name"":""Studio Veco|日本一ダサい画像を生成する人"",""url"":""https://x.com/studio_veco""}",https://x.com/studio_veco/status/2003147059298443496,"Chân dung, Minh họa, Tối giản, Nội thất, Nhân vật, Văn bản, UI/UX, Meme"
8,Nhật ký giấc mơ với Kirby thổi bong bóng,"Một gợi ý dễ thương cho hình minh họa kiểu nhật ký mơ màng về một Kirby màu hồng đang ngủ trên một ngôi sao, thổi bong bóng cầu vồng giữa những đám mây màu pastel và kẹo.","Nhật ký giấc mơ. Một chú Kirby màu hồng đang ngủ trên ngôi sao, thổi bong bóng cầu vồng từ miệng. Bảng màu macaron nhẹ nhàng, hình dán đám mây và kẹo, chi tiết lấp lánh như bút chì màu, mộng mơ và ngọt ngào.","[""https://cms-assets.youmind.com/media/1763886710060_ndpy3q_G6RHoGna4AArBDN.jpg""]","{""name"":""松果先森"",""url"":""https://x.com/songguoxiansen""}",https://x.com/songguoxiansen/status/1991795708308189668,"Minh họa, Xe cộ"
9,Cảnh căn phòng otaku chụp ảnh selfie qua gương chi tiết,"Một prompt Nano Banana rất chi tiết mô tả ảnh selfie trước gương của một cô gái trong góc máy tính otaku tông màu xanh lam, với đầy đủ thông số kỹ thuật về nhân vật, môi trường, ánh sáng, máy ảnh và các prompt phủ định.","### Bối cảnh
Ảnh selfie qua gương trong góc máy tính phong cách otaku, tông màu xanh.

### Chủ thể
* Biểu cảm giới tính: nữ
* Tuổi: khoảng 25
* Dân tộc: Đông Á
* Dáng người: mảnh mai, eo thon; tỷ lệ cơ thể tự nhiên
* Tông da: tông trung tính sáng
* Kiểu tóc:
    * Độ dài: tóc dài ngang eo
    * Kiểu: thẳng với phần đuôi hơi xoăn nhẹ
    * Màu: nâu trung bình
* Tư thế:
    * Dáng đứng: đứng hơi contrapposto
    * Tay phải: cầm điện thoại thông minh trước mặt (giấu danh tính)
    * Tay trái: buông tự nhiên dọc thân
    * Thân trên: thân hơi ngả về sau; eo và bụng lộ ra
* Trang phục:
    * Áo trên: áo khoác len dệt kim dáng lửng màu xanh nhạt, cài hai cúc trên cùng; áo ngực kiểu Pháp màu xanh mờ ảo
    * Quần dưới: quần short denim siêu ngắn, với một chiếc nơ ruy băng satin màu xanh ở mỗi bên hông
    * Vớ: vớ cao quá gối sọc ngang xanh trắng
    * Phụ kiện: ốp điện thoại hình linh vật dễ thương màu xanh

### Môi trường
* Mô tả: góc máy tính trong phòng ngủ nhìn qua gương treo tường
* Đồ đạc:
    * Bàn làm việc màu trắng
    * Một màn hình hiển thị hình nền màu xanh dịu (không có chữ có thể đọc được)
    * Bàn phím cơ với keycap màu trắng trên tấm lót bàn màu xanh
    * Chuột trên tấm lót chuột nhỏ màu xanh
    * Thùng máy tính ở bên phải với đèn case màu xanh
    * Ba mô hình anime trên hoặc gần thùng máy tính
    * Một tấm áp phích hình chùa trên tường
    * Đèn bàn hình mèo có điểm nhấn màu xanh
    * Một ly nước thủy tinh trong suốt
    * Một cây xanh lá cao bên cửa sổ (ở phía bên trái khung hình)
* Thay thế màu sắc: thay thế tất cả các yếu tố ban đầu màu hồng (quần áo và đồ trang trí phòng) bằng tông màu xanh (từ xanh da trời nhạt đến xanh da trời/xanh dừa cạn).

### Ánh sáng
* Nguồn sáng: ánh sáng ban ngày từ cửa sổ lớn bên trái máy ảnh, xuyên qua rèm mỏng
* Chất lượng ánh sáng: ánh sáng mềm, khuếch tán
* Cân bằng trắng (K): 5200

### Máy ảnh
* Chế độ: camera sau của điện thoại thông minh chụp qua gương (không có chế độ chân dung/bokeh)
* Tiêu cự tương đương (mm): 26
* Khoảng cách (m):
    * Chủ thể đến gương: 0.6
    * Máy ảnh đến gương: 0.5
* Phơi sáng:
    * Khẩu độ (f): 1.8
    * ISO: 100
    * Tốc độ màn trập (s): 0.01
    * Bù trừ phơi sáng (EV): -0.3
* Lấy nét: lấy nét vào phần thân trên và quần short trong ảnh phản chiếu qua gương
* Độ sâu trường ảnh: độ sâu trường ảnh sâu tự nhiên của điện thoại thông minh; hậu cảnh hiển thị rõ ràng không bị làm mờ nhân tạo
* Bố cục:
    * Tỷ lệ khung hình: 1:1
    * Cắt: từ đỉnh đầu đến giữa đùi; bao gồm bàn làm việc, màn hình, thùng máy tính và cây xanh trong khung hình
    * Góc: góc hơi cao từ góc nhìn của gương
    * Ghi chú bố cục: giữ chủ thể ở giữa; để tránh biến dạng cạnh góc rộng, hãy để cô ấy đứng xa hơn một chút và cắt thành hình vuông sau.

### Lời nhắc tiêu cực
* Bất kỳ sự xuất hiện nào của màu hồng/đỏ tươi ở bất cứ đâu
* Bộ lọc làm đẹp/da quá mịn; vẻ ngoài da không có lỗ chân lông
* Giải phẫu phóng đại hoặc biến dạng
* NSFW, vải xuyên thấu, sự cố trang phục
* Logo, tên thương hiệu hoặc văn bản giao diện người dùng có thể đọc được
* Hiệu ứng làm mờ chế độ chân dung giả, cảm giác CGI/minh họa","[""https://cms-assets.youmind.com/media/1763889946850_689z0h_G23i3sJW0AASGUw.jpg""]","{""name"":""宝玉"",""url"":""https://x.com/dotey""}",https://x.com/dotey/status/1976485558319722711,"Chân dung, Nhiếp ảnh, Minh họa, 3D, Anime, Nhân vật, Văn bản, Logo, Poster, UI/UX"
10,Tái hiện một cảnh hiện đại theo phong cách tranh Ukiyo-e thời Edo,"Một lời nhắc hình ảnh có cấu trúc cao để mô tả một cảnh hiện đại được tái hiện dưới dạng bản in khắc gỗ Ukiyo-e thời Edo của Nhật Bản, với hướng dẫn chi tiết về công nghệ lỗi thời, bố cục, họa tiết và màu sắc.","Một bản in khắc gỗ Ukiyo-e thời Edo của Nhật Bản. Cảm giác tổng thể là sự hợp tác siêu thực giữa các bậc thầy như Hokusai và Hiroshige, tái hiện công nghệ hiện đại qua lăng kính cổ xưa.

**Bối cảnh:** {argument name=""modern scene"" default=""một ngã tư Shibuya đông đúc""}

**Logic chuyển đổi thời Edo:**
Các nhân vật mặc kimono thời Edo nhưng thực hiện các hành động hiện đại. Tất cả công nghệ được biến đổi thành các vật tương đương siêu thực thời Edo:
* Điện thoại thông minh là những cuộn giấy minh họa phát sáng được đọc một cách chăm chú.
* Ga tàu điện ngầm và tàu hỏa là những cỗ xe rết gỗ khổng lồ, có khớp nối, di chuyển qua đám đông.
* Các tòa nhà chọc trời được tái hiện thành những ngôi chùa gỗ cao chót vót, vươn tới những đám mây ấn tượng.
* Robot và mecha xuất hiện dưới dạng những người đá khắc gỗ khổng lồ, bọc thép.

Bố cục sử dụng phối cảnh phẳng với các đường nét mực khắc thủ công lớn, đậm. Nền có các họa tiết sóng Ukiyo-e được cách điệu mạnh mẽ và những đám mây xoáy ấn tượng, với núi Phú Sĩ ở xa hiện rõ trên đường chân trời.

Hình ảnh phải trông giống như một bản in vật lý, không phải một bức tranh kỹ thuật số.
* Kết cấu: kết cấu vân gỗ rõ nét và sợi giấy thô xuyên suốt tác phẩm.
* Lỗi in ấn: hiện rõ sự lem màu. Mô phỏng các bản in thủ công với sự lệch màu nhẹ để tăng tính chân thực.
* Bảng màu: giới hạn nghiêm ngặt trong các sắc tố khoáng truyền thống, với việc sử dụng chủ đạo màu xanh Phổ, đỏ son và vàng đất xám.
* Ánh sáng: ánh sáng dịu, phẳng, không bóng đổ và không có gradient kỹ thuật số.

Tỷ lệ khung hình là 3:4 cho poster dọc. Bao gồm chữ thư pháp Nhật Bản dọc mô tả cảnh và một con dấu đỏ truyền thống của nghệ sĩ ở một góc.","[""https://cms-assets.youmind.com/media/1764915832381_renotr_G7FuPlzbYAAsuo2.jpg""]","{""name"":""VoxcatAI"",""url"":""https://x.com/VoxcatAI""}",https://x.com/VoxcatAI/status/1995497350543110411,"Minh họa, Ukiyo-e, Nhân vật, Xe cộ, Văn bản, Poster"
20,Hồ sơ / Ảnh đại diện - E-Girl Chụp Ảnh Tự Sướng Trong Ánh Sáng Hoàng Hôn,"Một JSON prompt chi tiết cho Gemini Nano Banana Pro, tập trung vào việc tạo ra một bức ảnh selfie chân thực như ảnh chụp của một người phụ nữ theo phong cách 'e-girl' hoặc 'soft grunge'. Nó chỉ định tóc vàng bạch kim, áo corset satin trắng in hình hoạt hình, và bối cảnh là hành lang trong nhà ngập tràn ánh nắng vàng ấm áp của giờ vàng.","{
  ""prompt_description"": {
    ""subject"": {
      ""type"": ""phụ nữ"",
      ""hair"": ""tóc dài, thẳng, màu vàng bạch kim"",
      ""features"": ""tông da sáng, trang điểm nhẹ nhàng, ngón tay đặt trên môi"",
      ""tattoos"": ""hình xăm chữ nhỏ trên ngực, hình xăm 'XXX' trên cổ tay""
    },
    ""outfit"": {
      ""top"": ""áo corset satin trắng có họa tiết hoạt hình/anime màu hồng (kiểu {argument name=\""cartoon character\"" default=\""My Melody\""}), viền ren, dây buộc nơ phía trước"",
      ""bottom"": ""chân váy mini xếp ly màu đen, gấu váy cắt thô"",
      ""accessories"": ""vớ đùi cao màu đen có ren phía trên, quần tất lưới"",
      ""phone_case"": ""ốp điện thoại minh họa phong cách anime đen trắng đồ họa""
    },
    ""pose"": {
      ""type"": ""selfie gương"",
      ""stance"": ""đứng, một bên hông hếch lên"",
      ""hand_position"": ""cầm điện thoại bằng tay phải, tay trái chạm môi""
    },
    ""environment"": {
      ""location"": ""hành lang hoặc phòng ngủ trong nhà"",
      ""background"": ""tường trắng, sàn gạch xám, áp phích đóng khung trên tường"",
      ""lighting"": ""ánh sáng mặt trời hoàng hôn vàng ấm, bóng đổ mềm mại"",
      ""decor"": ""tối giản, cây cảnh trong chậu ở hậu cảnh""
    },
    ""style"": {
      ""aesthetic"": ""e-girl, soft grunge, coquette, hợp thời trang"",
      ""camera_angle"": ""ngang tầm mắt, phản chiếu"",
      ""quality"": ""độ nét cao, chân thực như ảnh, màu sắc sống động""
    }
  }
}","[""https://cms-assets.youmind.com/media/1768890708248_z2jdm2_G-_zv_DXYAAIGDC.jpg""]","{""name"":""Mira"",""url"":""https://x.com/xmiiru_""}",https://x.com/xmiiru_/status/2013095567547666866,"Chân dung, Nhiếp ảnh, Điện ảnh, Minh họa, Anime, Tối giản, Nhân vật, Xe cộ, Thời trang, Văn bản, Poster"
22,Hồ sơ / Ảnh đại diện - E-Girl Tự Chụp Ảnh Trong Ánh Sáng Hoàng Hôn (Bản Sao),"Một JSON prompt chi tiết cho Gemini Nano Banana Pro, tập trung vào việc tạo ra một bức ảnh selfie chân thực như ảnh chụp của một người phụ nữ theo phong cách 'e-girl' hoặc 'soft grunge'. Nó chỉ định tóc vàng bạch kim, áo corset bằng sa tanh trắng có in hình hoạt hình và bối cảnh là hành lang trong nhà ngập tràn ánh nắng vàng ấm áp của giờ vàng. (Bản sao của 2013095567547666866)","{
  ""prompt_description"": {
    ""subject"": {
      ""type"": ""phụ nữ"",
      ""hair"": ""tóc dài, thẳng, vàng bạch kim"",
      ""features"": ""da sáng, trang điểm nhẹ nhàng, ngón tay đặt trên môi"",
      ""tattoos"": ""hình xăm chữ nhỏ trên ngực, hình xăm 'XXX' trên cổ tay""
    },
    ""outfit"": {
      ""top"": ""áo corset satin trắng in hình hoạt hình/anime màu hồng (kiểu {argument name=\""cartoon character\"" default=\""My Melody\""}), viền ren, dây buộc nơ phía trước"",
      ""bottom"": ""chân váy mini xếp ly màu đen, gấu váy cắt thô"",
      ""accessories"": ""vớ đùi cao màu đen có ren, quần tất lưới"",
      ""phone_case"": ""ốp điện thoại minh họa phong cách anime đen trắng đồ họa""
    },
    ""pose"": {
      ""type"": ""tự chụp ảnh qua gương"",
      ""stance"": ""đứng, một bên hông hếch lên"",
      ""hand_position"": ""cầm điện thoại bằng tay phải, tay trái chạm môi""
    },
    ""environment"": {
      ""location"": ""hành lang hoặc phòng ngủ trong nhà"",
      ""background"": ""tường trắng, sàn gạch xám, áp phích đóng khung trên tường"",
      ""lighting"": ""ánh sáng mặt trời hoàng hôn vàng ấm, bóng đổ mềm mại"",
      ""decor"": ""tối giản, cây cảnh trong chậu ở hậu cảnh""
    },
    ""style"": {
      ""aesthetic"": ""e-girl, soft grunge, coquette, hợp thời trang"",
      ""camera_angle"": ""ngang tầm mắt, phản chiếu"",
      ""quality"": ""độ nét cao, chân thực như ảnh, màu sắc sống động""
    }
  }
}","[""https://cms-assets.youmind.com/media/1768890709718_8jx82s_G-_pBv0W0AAv4gM.jpg""]","{""name"":""Sudee🥀"",""url"":""https://x.com/NameIsSudee""}",https://x.com/NameIsSudee/status/2013083792937009531,"Chân dung, Nhiếp ảnh, Điện ảnh, Minh họa, Anime, Tối giản, Nhân vật, Xe cộ, Thời trang, Văn bản, Poster"
46,Infographic / Hình ảnh giáo dục - Chuyển đổi phong cách cho Infographic thuật ngữ y tế,"Một câu lệnh được sử dụng với Nano Banana Pro để áp dụng các phong cách hình ảnh khác nhau – hoạt hình đất sét, đồ họa thông tin chi tiết và minh họa tâm lý – cho thuật ngữ y tế 'Aichmophobia' (chứng sợ vật sắc nhọn), thể hiện khả năng của công cụ trong việc diễn giải bố cục và cách trình bày văn bản từ một bản phác thảo thô.","Hội chứng sợ vật sắc nhọn (Aichmophobia), {argument name=""style"" default=""phong cách hoạt hình đất sét""}, {argument name=""detail level"" default=""đồ họa thông tin chi tiết""}, {argument name=""depiction"" default=""minh họa tâm lý""}","[""https://cms-assets.youmind.com/media/1768890727821_48oj5l_G_ASVSWW8AAnV7X.jpg"",""https://cms-assets.youmind.com/media/1768890727928_9umekf_G_ASVSbX0AAjLaa.jpg"",""https://cms-assets.youmind.com/media/1768890728041_7zgo2g_G_ASVSWWkAA57TX.jpg"",""https://cms-assets.youmind.com/media/1768890729703_hurug8_G_ASVSaX0AA2sMW.jpg""]","{""name"":""ヤマアラシ｜医療AI戦略家"",""url"":""https://x.com/AIshijimachiman""}",https://x.com/AIshijimachiman/status/2013129199830384930,"Minh họa, Anime, Phác thảo, Giáo dục"
49,Infographic / Hình ảnh giáo dục - Lời nhắc minh họa hình học phẳng tối giản,"Một mẫu lời nhắc có thể tái sử dụng để tạo ra các hình minh họa biên tập tối giản, hiện đại bằng cách sử dụng các hình dạng hình học đơn giản, bảng màu giới hạn và không gian âm rộng rãi, mang lại tính thẩm mỹ tối giản cao.","Hình minh họa phẳng tối giản về {argument name=""subject"" default=""[SUBJECT]""}, các hình học đơn giản, bảng màu giới hạn, phong cách vector rõ ràng, không gian âm rộng rãi, hình minh họa biên tập hiện đại, đổ bóng mềm mại, đường cong mượt mà, chủ nghĩa tối giản thẩm mỹ cao.","[""https://cms-assets.youmind.com/media/1768804221236_rmcu9v_G-84CAKXcAEiuxY.jpg"",""https://cms-assets.youmind.com/media/1768804221219_9czsjo_G-84CBDW8AAwlcS.jpg"",""https://cms-assets.youmind.com/media/1768804221205_fzh2ay_G-84B_QXcAEKejp.jpg"",""https://cms-assets.youmind.com/media/1768804222094_n8oyyc_G-84CDyW0AAQ5gX.jpg""]","{""name"":""Aleena Amir"",""url"":""https://x.com/aleenaamiir""}",https://x.com/aleenaamiir/status/2012889189298176327,"Minh họa, Tối giản, Giáo dục"
50,Infographic / Hình ảnh giáo dục - Khoa học ẩm thực Diorama: Hóa học của sô cô la,"Một lời nhắc phức tạp, có cấu trúc để tạo ảnh chụp mô hình diorama 'Khoa học Ẩm thực', đặc biệt minh họa hóa học của một món ăn như sô cô la hoặc caramel. Cảnh này có một hộp trưng bày hình chữ L, phông nền bảng tuần hoàn với các mẫu trong đĩa Petri, một mô hình nhà khoa học tỷ lệ 1:12 và các chữ cái 3D đùn khổng lồ được làm từ chính món ăn đó, được thể hiện theo phong cách đối xứng 'Wes Anderson'.","thực hiện điều này cho {argument name=""Food Item"" default=""caramel""} <instruction>
 
Đầu vào A là một Món ăn hoặc Thực phẩm phức tạp (ví dụ: Sô cô la, Bánh mì, Phô mai, Cà phê).
Phân tích đối tượng thành 3 Lớp Khoa học:
     Các Trạng thái Vật chất: Xác định 4–5 giai đoạn chế biến.
         (ví dụ: Hạt ca cao -> Nibs -> Rượu -> Bột. Lúa mì -> Bột mì -> Bột nhào -> Vụn bánh).
     Các Mẫu Kết cấu: Xác định các đặc tính vật lý để hiển thị dưới dạng mẫu.
         (ví dụ: Độ giòn/Độ bóng cho Sô cô la. Độ xốp/Vỏ bánh cho Bánh mì. Vỏ/Độ béo ngậy cho Phô mai).
     Vật liệu: Xác định chất liệu cho văn bản 3D.
         (ví dụ: Sô cô la đen đúc, Vỏ bánh mì nướng, Sáp cứng/Phô mai).

  2. Hộp đựng:
Mục tiêu: Nhiếp ảnh Diorama ""Khoa học Ẩm thực"".
     Sân khấu: Một Hộp trưng bày hình chữ L (Tấm nền dọc + Sàn ngang).
     Hoàn thiện: Nhựa màu Kem hoặc Trắng mờ, sạch sẽ, giống như một bộ dụng cụ giáo dục cao cấp hoặc một triển lãm bảo tàng.
     Khung: Một khung gỗ hoặc nhựa đơn giản bao quanh cảnh.

  3. Nền Bảng tuần hoàn:
     Lưới: Bức tường dọc có một lưới gọn gàng, đối xứng gồm các Đĩa Petri hoặc Bát gốm hình tròn.
     Nội dung: Mỗi đĩa chứa một mẫu ""Trạng thái Vật chất"" (Bước 1).
     Các Mẫu: Bên dưới các đĩa là các ô vuông hiển thị ""Các Mẫu Kết cấu"" (ví dụ: một ô vuông sô cô la được làm nóng chảy hoàn hảo bên cạnh một ô đã bị nở hoa).
     Nhãn: Văn bản khoa học nhỏ, dễ đọc (phông chữ Serif) được in trực tiếp trên tường dưới mỗi mẫu.

  4. Sàn (Phòng thí nghiệm):
     Câu chuyện: Một nhà Khoa học hoặc Đầu bếp (mặc áo khoác phòng thí nghiệm) tỷ lệ 1:12 đứng tại một bàn làm việc bằng gỗ ở trung tâm.
     Thiết bị: Bàn làm việc lộn xộn với sự kết hợp của Dụng cụ thủy tinh hóa học (Cốc, Bình) và Dụng cụ nấu ăn (Dụng cụ đánh trứng, Cân).
     Thí nghiệm: Nhân vật đang tích cực thử nghiệm hoặc đo lường sản phẩm thực phẩm.

  5. Kiểu chữ:
     Vị trí: Các Chữ 3D đùn, dày, lớn đứng ở rìa phía trước của sàn, đóng vai trò như một rào cản.
     Cấu tạo: Các chữ cái được làm từ chính thực phẩm đó (ví dụ: ""THE CHEMISTRY OF CHOCOLATE"" được đúc bằng sô cô la đen).
     Văn bản: ""THE CHEMISTRY OF {argument name=""Input A"" default=""CHOCOLATE""}"".

  Đầu ra: MỘT hình ảnh, Tỷ lệ khung hình 1:1, Ánh sáng sản phẩm Studio, Đối xứng ""Wes Anderson"", Thẩm mỹ giáo dục.
</instruction>","[""https://cms-assets.youmind.com/media/1768804323526_yo8sqc_G-1VmdxWgAAhdsk.jpg"",""https://cms-assets.youmind.com/media/1768804323346_v3d1rj_G-1VmdqW0AA6LfW.jpg""]","{""name"":""Gadgetify"",""url"":""https://x.com/Gdgtify""}",https://x.com/Gdgtify/status/2012873106348482898,"Nhiếp ảnh, Minh họa, 3D, Sản phẩm, Đồ ăn, Nhân vật, Động vật, Xe cộ, Văn bản, Giáo dục"
51,Infographic / Hình ảnh giáo dục - Minh họa Quảng cáo Sữa 3D Thu nhỏ Kỳ ảo,"Một lời nhắc văn bản chi tiết cho Gemini Nano Banana Pro để tạo ra hình minh họa diorama 3D thu nhỏ cao cấp cho Nestlé, với những công nhân tí hon vận hành máy móc xung quanh một chai sữa khổng lồ theo phong cách thương hiệu thực phẩm cao cấp, vui tươi, đặt trong khung cảnh trang trại quyến rũ.","Một hình minh họa quảng cáo theo phong cách diorama 3D thu nhỏ, cao cấp, kỳ ảo về một cảnh sản xuất sữa với tính thẩm mỹ thương hiệu thực phẩm vui tươi nhưng cao cấp. Ở trung tâm là một chai sữa Nestlé khổng lồ giống hệt bao bì Nestlé thật: một chai hình trụ màu trắng đục mịn với những đường cong tinh tế và nhãn logo Nestlé màu đỏ cổ điển, chắc chắn và không bằng thủy tinh, được đặt trực tiếp trên một bệ công nghiệp bằng kim loại. Sữa tươi đang được đổ từ các thùng chứa và đường ống do công nhân vận hành vào miệng chai, với kết cấu kem mịn, thanh lịch có thể nhìn thấy rõ bên trong; sữa không từ trên trời rơi xuống mà có nguồn gốc vật lý rõ ràng. Những công nhân nhỏ bé trong bộ đồ liền thân màu {argument name=""worker uniform color"" default=""vàng""} sáng và mũ bảo hiểm an toàn màu vàng đang tích cực vận hành quy trình: hai người đứng trên giàn giáo kim loại phía trên chai cẩn thận đổ sữa từ các thùng có tay cầm, trong khi những người khác đẩy hộp carton, hướng dẫn sản phẩm dọc theo băng chuyền và vận hành máy móc sữa nhỏ gọn với tư thế phối hợp, tập trung. Ở tiền cảnh, các sản phẩm sữa di chuyển tự nhiên dọc theo dây chuyền băng tải. Xung quanh bệ là thảm cỏ xanh tươi với những bông hoa dại nhỏ màu trắng và vàng. Bối cảnh là một phong cảnh trang trại quyến rũ với những cánh đồng xanh nhấp nhô, một chuồng trại bằng gỗ đỏ với viền trắng, một con bò đen trắng bình tĩnh đang gặm cỏ gần đó và một cối xay gió màu trắng trên những ngọn đồi thoai thoải dưới bầu trời xanh sống động với những đám mây trắng mềm mại. Ánh sáng là ánh sáng ban ngày ấm áp, dịu nhẹ với bóng đổ nhẹ nhàng và điểm nhấn tinh tế, tạo nên một vẻ ngoài quảng cáo sạch sẽ, đáng tin cậy. Phong cách tổng thể là hình minh họa thương mại cao cấp, vui tươi, chi tiết phong phú với bố cục kể chuyện mạnh mẽ, bố cục cân đối, bảng màu pastel, độ sâu trường ảnh sâu, chi tiết cực kỳ sắc nét, độ tương phản tỷ lệ thu nhỏ điện ảnh—rõ ràng là một hình minh họa, không phải nhiếp ảnh, không phải màn hình mô hình và không được bao bọc trong bất kỳ mái vòm hoặc tủ trưng bày bằng kính nào.","[""https://cms-assets.youmind.com/media/1768804287448_3ga4jo_G-7_3dYW8AEpY0i.jpg""]","{""name"":""Latte"",""url"":""https://x.com/0xbisc""}",https://x.com/0xbisc/status/2012828926633250902,"Nhiếp ảnh, Điện ảnh, Minh họa, 3D, Cổ điển, Thiên nhiên, Sản phẩm, Xe cộ, Logo, UI/UX, Giáo dục"
