id,title,description,content,sourceMedia,author,sourceLink,keywords
25,Hồ sơ / Ảnh đại diện - Ảnh phong cách sống của người có ảnh hưởng cao cấp với chủ đề Cheetos,"Một JSON prompt toàn diện cho Nano Banana Pro để tạo ra một hình ảnh phong cách sống siêu chân thực, cao cấp về một người mẫu nữ có đường cong tạo dáng tinh nghịch trên bàn bếp với các phụ kiện chủ đề Cheetos, nhấn mạnh độ sắc nét và ánh sáng tự nhiên ban ngày.","{
  ""meta"": {
    ""aspect_ratio"": ""9:16"",
    ""quality"": ""ultra_photorealistic"",
    ""resolution"": ""8k"",
    ""camera"": ""Sony A7R IV"",
    ""lens"": ""50mm f/1.4 GM"",
    ""style"": ""chụp ảnh phong cách sống của người có ảnh hưởng cao cấp, lấy nét sắc nét, ánh sáng tự nhiên ban ngày, tính thẩm mỹ của tệp thô""
  },

  ""scene"": {
    ""location"": ""nhà bếp ở nhà ngoại ô"",
    ""environment"": [
      ""mặt bàn đá granite với các đốm màu be và nâu"",
      ""tủ gỗ tối màu ở phía sau"",
      ""khu vực ăn uống mờ ảo với ghế tối màu"",
      ""cửa sổ lớn có rèm cho ánh sáng tự nhiên chiếu vào"",
      ""cây xanh nhìn thấy qua cửa sổ mờ""
    ],
    ""time"": ""giữa trưa"",
    ""atmosphere"": ""vui tươi, tinh nghịch, sống động, quyến rũ giản dị""
  },

  ""lighting"": {
    ""type"": ""ánh sáng tự nhiên và ánh sáng trong nhà hỗn hợp"",
    ""key_light"": ""ánh sáng ban ngày khuếch tán mềm mại từ cửa sổ (phía sau bên phải)"",
    ""fill_light"": ""ánh sáng xung quanh phòng phản chiếu từ các bức tường sáng"",
    ""effect"": ""bóng mềm trên da, điểm sáng rực rỡ trên tóc, độ giảm tự nhiên ở hậu cảnh"",
    ""reflections"": ""phản chiếu bóng loáng trên các túi Cheetos""
  },

  ""camera_perspective"": {
    ""pov"": ""ngang tầm mắt so với chủ thể trên quầy"",
    ""framing"": ""cảnh trung bình, từ đầu gối đến đầu"",
    ""focus"": ""độ sâu trường ảnh nông (phông nền bokeh), lấy nét sắc nét vào mắt và mặt""
  },

  ""subject"": {
    ""gender"": ""nữ"",
    ""age"": ""đầu tuổi 20"",
    ""ethnicity"": ""Caucasian"",
    ""body"": {
      ""type"": ""thể hình cân đối, có đường cong"",
      ""skin"": ""da trắng, kết cấu da chân thực với lỗ chân lông có thể nhìn thấy và màu hồng tự nhiên, không chỉnh sửa bằng airbrush"",
      ""waist"": ""thon gọn"",
      ""glutes"": ""nổi bật và có đường cong (được nhấn mạnh bởi tư thế)"",
      ""legs"": ""săn chắc""
    },

    ""hair"": {
      ""color"": ""đỏ đồng rực rỡ"",
      ""length"": ""dài, đến giữa lưng"",
      ""style"": ""thẳng với kiểu tóc đuôi ngựa buộc nửa đầu cao, những sợi tóc lỏng lẻo ôm lấy khuôn mặt"",
      ""texture"": ""mượt mà nhưng chân thực, bắt sáng""
    },

    ""face"": {
      ""expression"": ""nụ cười quyến rũ, ánh mắt tự tin nhìn lại qua vai"",
      ""eyes"": ""xanh dương sáng sắc sảo"",
      ""makeup"": ""trang điểm lộng lẫy, nền lì, mascara đậm, kẻ mắt cánh, môi hồng nhạt"",
      ""details"": ""đường quai hàm sắc nét, khuyên tai vòng bạc có thể nhìn thấy""
    },

    ""pose"": {
      ""position"": ""quỳ trên đảo bếp/quầy"",
      ""orientation"": ""nhìn nghiêng/cạnh, xoay thân về phía máy ảnh"",
      ""back"": ""cong mạnh (tư thế ưỡn cột sống)"",
      ""hands"": ""đặt trên đùi/quầy để hỗ trợ"",
      ""head"": ""hơi quay sang trái để đối mặt trực tiếp với ống kính""
    },

    ""outfit"": {
      ""bikini"": {
        ""color"": ""{argument name=\""bikini color\"" default=\""bright yellow\""} với viền cam"",
        ""style"": ""áo tam giác và quần lọt khe"",
        ""fabric"": ""chất liệu đồ bơi lì, dây áo hơi căng"",
        ""details"": ""dây buộc ở cổ và hông""
      },
      ""accessories"": {
        ""socks"": ""tất mắt cá chân với họa tiết ngọn lửa kiểu Cheetos (vàng/đỏ/cam)"",
        ""jewelry"": ""khuyên tai vòng bạc lớn mỏng, del""
      }
    }
  }
}","[""https://cms-assets.youmind.com/media/1768804267806_x3g5yk_G-82wiRWIAArc6r.jpg""]","{""name"":""Bananai"",""url"":""https://x.com/aibananai""}",https://x.com/aibananai/status/2012887772235743238,"Chân dung, Nhiếp ảnh, Điện ảnh, Nhân vật, Xe cộ, Thời trang, Thành phố, Văn bản, UI/UX"
47,Infographic / Hình ảnh giáo dục - Lệnh chụp ảnh kỹ thuật sơ đồ thực phẩm phân tách,"Một lời nhắc mang tính khái niệm cao được thiết kế để hình dung một món ăn nhiều lớp như một mô hình kiến trúc hoặc bản thiết kế kỹ thuật. Nó yêu cầu món ăn phải được cắt theo mặt cắt ngang, với các lớp được dán nhãn bằng các thanh acrylic, và bao gồm các yếu tố như công nhân xây dựng thu nhỏ và thông số kỹ thuật vật liệu, được thể hiện theo phong cách bản vẽ kỹ thuật.","<instructions>
Đầu vào A: Bất kỳ món ăn nào có nhiều lớp/kết cấu (ví dụ: {argument name=""layered dish"" default=""lasagna, baklava, mille-feuille, biryani""})
Đầu vào B: Mô hình giải phẫu / bản thiết kế kiến trúc
Mục tiêu: Một lát cắt đã ăn một nửa được trưng bày như một mô hình kiến trúc với mỗi lớp được dán nhãn, thể hiện kỹ thuật kết cấu và khoa học vật liệu trong nấu ăn.
Quy tắc:
Món ăn được cắt lát hoàn hảo theo mặt cắt ngang, đứng thẳng
Các thanh acrylic có cờ dán nhãn từng lớp
Chỉ có các chú thích và số đo liên quan đến thực phẩm
Nền liên quan đến thực phẩm
Công nhân xây dựng thu nhỏ trên các lớp
Lịch sử của bữa ăn được hình dung trên một tấm áp phích trên tường
Ghi chú mẹo nấu ăn
Thông số kỹ thuật vật liệu (mật độ, độ ẩm)
Lớp nền không có nhãn
Bao gồm các dụng cụ nấu ăn nhỏ
Thẩm mỹ bản vẽ kỹ thuật với màu trắng và xanh
Đầu ra: MỘT hình ảnh, nhiếp ảnh kỹ thuật, ánh sáng công nghiệp sạch, tỷ lệ 4:5
</instructions>","[""https://cms-assets.youmind.com/media/1768804211731_xigzux_G-wbJpmbQAY6sK4.jpg""]","{""name"":""Gadgetify"",""url"":""https://x.com/Gdgtify""}",https://x.com/Gdgtify/status/2012918907305427332,"Nhiếp ảnh, Minh họa, Nội thất, Đồ ăn, Poster, UI/UX, Giáo dục"
48,Infographic / Hình ảnh giáo dục - Đồ họa thông tin và Lời nhắc chuyển động về Pizza nổ siêu thực,"Bộ lời nhắc này dùng để tạo ảnh chụp đồ ăn siêu thực tế, bao gồm một lời nhắc chuyển động cho việc tạo video (Kling AI) và hai lời nhắc hình ảnh: một cho lát pizza tiêu chuẩn, độ chi tiết cao, và một cho hình ảnh đồ họa thông tin (infographic) phân tách các lớp pizza.","Motion Prompt: Miếng pizza bắt đầu xoay tròn trong khi các nguyên liệu tách ra nhẹ nhàng và chính xác, giữ nguyên sự thẳng hàng và tỷ lệ. Chuyển động mượt mà, không có hiệu ứng phụ.

Hình ảnh 1: - Miếng pizza pepperoni đã chế biến siêu thực tế, được lắp ráp hoàn chỉnh, phô mai mozzarella tan chảy dẻo dai kéo sợi và chảy tràn qua các cạnh, những lát pepperoni giòn rụm ở trên, sốt cà chua đậm đà bên dưới, lớp vỏ nướng vàng óng dày dặn, lá húng quế tươi và gia vị nhẹ nhàng lơ lửng tinh tế phía trên, nền trắng tinh khiết, ánh sáng chụp ảnh thực phẩm thương mại chuyên nghiệp, bóng đổ tự nhiên mềm mại dưới miếng bánh, lấy nét sắc nét, chi tiết kết cấu cực kỳ rõ ràng, phô mai bóng bẩy, bề mặt vỏ giòn, chụp trong studio, bố cục tối giản, không chữ, không nhãn, không tay, phong cách quảng cáo thực phẩm cao cấp, độ phân giải 8K, siêu chi tiết, siêu thực.

Hình ảnh 2: - Tạo một đồ họa thông tin lát pizza siêu thực tế dạng cắt lớp. Lớp trên cùng có lá húng quế và các hạt gia vị lơ lửng. Bên dưới là phô mai tan chảy kéo sợi, các lát pepperoni, lớp sốt cà chua đậm đà, đế bánh nướng mềm. Nền trắng sạch, ánh sáng chụp ảnh thực phẩm chuyên nghiệp, kết cấu chân thực, bóng đổ nhẹ nhàng, các lớp lơ lửng cách đều nhau, phong cách đồ họa thông tin có nhãn, độ phân giải 8K.","[""https://cms-assets.youmind.com/media/1768804200487_ks5kcg_G-9KDAEW8AAnJPQ.jpg""]","{""name"":""𝐌"",""url"":""https://x.com/Strength04_X""}",https://x.com/Strength04_X/status/2012909080785072329,"Tối giản, Sản phẩm, Đồ ăn, Văn bản, Giáo dục"
50,Infographic / Hình ảnh giáo dục - Khoa học ẩm thực Diorama: Hóa học của sô cô la,"Một lời nhắc phức tạp, có cấu trúc để tạo ảnh chụp mô hình diorama 'Khoa học Ẩm thực', đặc biệt minh họa hóa học của một món ăn như sô cô la hoặc caramel. Cảnh này có một hộp trưng bày hình chữ L, phông nền bảng tuần hoàn với các mẫu trong đĩa Petri, một mô hình nhà khoa học tỷ lệ 1:12 và các chữ cái 3D đùn khổng lồ được làm từ chính món ăn đó, được thể hiện theo phong cách đối xứng 'Wes Anderson'.","thực hiện điều này cho {argument name=""Food Item"" default=""caramel""} <instruction>
 
Đầu vào A là một Món ăn hoặc Thực phẩm phức tạp (ví dụ: Sô cô la, Bánh mì, Phô mai, Cà phê).
Phân tích đối tượng thành 3 Lớp Khoa học:
     Các Trạng thái Vật chất: Xác định 4–5 giai đoạn chế biến.
         (ví dụ: Hạt ca cao -> Nibs -> Rượu -> Bột. Lúa mì -> Bột mì -> Bột nhào -> Vụn bánh).
     Các Mẫu Kết cấu: Xác định các đặc tính vật lý để hiển thị dưới dạng mẫu.
         (ví dụ: Độ giòn/Độ bóng cho Sô cô la. Độ xốp/Vỏ bánh cho Bánh mì. Vỏ/Độ béo ngậy cho Phô mai).
     Vật liệu: Xác định chất liệu cho văn bản 3D.
         (ví dụ: Sô cô la đen đúc, Vỏ bánh mì nướng, Sáp cứng/Phô mai).

  2. Hộp đựng:
Mục tiêu: Nhiếp ảnh Diorama ""Khoa học Ẩm thực"".
     Sân khấu: Một Hộp trưng bày hình chữ L (Tấm nền dọc + Sàn ngang).
     Hoàn thiện: Nhựa màu Kem hoặc Trắng mờ, sạch sẽ, giống như một bộ dụng cụ giáo dục cao cấp hoặc một triển lãm bảo tàng.
     Khung: Một khung gỗ hoặc nhựa đơn giản bao quanh cảnh.

  3. Nền Bảng tuần hoàn:
     Lưới: Bức tường dọc có một lưới gọn gàng, đối xứng gồm các Đĩa Petri hoặc Bát gốm hình tròn.
     Nội dung: Mỗi đĩa chứa một mẫu ""Trạng thái Vật chất"" (Bước 1).
     Các Mẫu: Bên dưới các đĩa là các ô vuông hiển thị ""Các Mẫu Kết cấu"" (ví dụ: một ô vuông sô cô la được làm nóng chảy hoàn hảo bên cạnh một ô đã bị nở hoa).
     Nhãn: Văn bản khoa học nhỏ, dễ đọc (phông chữ Serif) được in trực tiếp trên tường dưới mỗi mẫu.

  4. Sàn (Phòng thí nghiệm):
     Câu chuyện: Một nhà Khoa học hoặc Đầu bếp (mặc áo khoác phòng thí nghiệm) tỷ lệ 1:12 đứng tại một bàn làm việc bằng gỗ ở trung tâm.
     Thiết bị: Bàn làm việc lộn xộn với sự kết hợp của Dụng cụ thủy tinh hóa học (Cốc, Bình) và Dụng cụ nấu ăn (Dụng cụ đánh trứng, Cân).
     Thí nghiệm: Nhân vật đang tích cực thử nghiệm hoặc đo lường sản phẩm thực phẩm.

  5. Kiểu chữ:
     Vị trí: Các Chữ 3D đùn, dày, lớn đứng ở rìa phía trước của sàn, đóng vai trò như một rào cản.
     Cấu tạo: Các chữ cái được làm từ chính thực phẩm đó (ví dụ: ""THE CHEMISTRY OF CHOCOLATE"" được đúc bằng sô cô la đen).
     Văn bản: ""THE CHEMISTRY OF {argument name=""Input A"" default=""CHOCOLATE""}"".

  Đầu ra: MỘT hình ảnh, Tỷ lệ khung hình 1:1, Ánh sáng sản phẩm Studio, Đối xứng ""Wes Anderson"", Thẩm mỹ giáo dục.
</instruction>","[""https://cms-assets.youmind.com/media/1768804323526_yo8sqc_G-1VmdxWgAAhdsk.jpg"",""https://cms-assets.youmind.com/media/1768804323346_v3d1rj_G-1VmdqW0AA6LfW.jpg""]","{""name"":""Gadgetify"",""url"":""https://x.com/Gdgtify""}",https://x.com/Gdgtify/status/2012873106348482898,"Nhiếp ảnh, Minh họa, 3D, Sản phẩm, Đồ ăn, Nhân vật, Động vật, Xe cộ, Văn bản, Giáo dục"
51,Infographic / Hình ảnh giáo dục - Minh họa Quảng cáo Sữa 3D Thu nhỏ Kỳ ảo,"Một lời nhắc văn bản chi tiết cho Gemini Nano Banana Pro để tạo ra hình minh họa diorama 3D thu nhỏ cao cấp cho Nestlé, với những công nhân tí hon vận hành máy móc xung quanh một chai sữa khổng lồ theo phong cách thương hiệu thực phẩm cao cấp, vui tươi, đặt trong khung cảnh trang trại quyến rũ.","Một hình minh họa quảng cáo theo phong cách diorama 3D thu nhỏ, cao cấp, kỳ ảo về một cảnh sản xuất sữa với tính thẩm mỹ thương hiệu thực phẩm vui tươi nhưng cao cấp. Ở trung tâm là một chai sữa Nestlé khổng lồ giống hệt bao bì Nestlé thật: một chai hình trụ màu trắng đục mịn với những đường cong tinh tế và nhãn logo Nestlé màu đỏ cổ điển, chắc chắn và không bằng thủy tinh, được đặt trực tiếp trên một bệ công nghiệp bằng kim loại. Sữa tươi đang được đổ từ các thùng chứa và đường ống do công nhân vận hành vào miệng chai, với kết cấu kem mịn, thanh lịch có thể nhìn thấy rõ bên trong; sữa không từ trên trời rơi xuống mà có nguồn gốc vật lý rõ ràng. Những công nhân nhỏ bé trong bộ đồ liền thân màu {argument name=""worker uniform color"" default=""vàng""} sáng và mũ bảo hiểm an toàn màu vàng đang tích cực vận hành quy trình: hai người đứng trên giàn giáo kim loại phía trên chai cẩn thận đổ sữa từ các thùng có tay cầm, trong khi những người khác đẩy hộp carton, hướng dẫn sản phẩm dọc theo băng chuyền và vận hành máy móc sữa nhỏ gọn với tư thế phối hợp, tập trung. Ở tiền cảnh, các sản phẩm sữa di chuyển tự nhiên dọc theo dây chuyền băng tải. Xung quanh bệ là thảm cỏ xanh tươi với những bông hoa dại nhỏ màu trắng và vàng. Bối cảnh là một phong cảnh trang trại quyến rũ với những cánh đồng xanh nhấp nhô, một chuồng trại bằng gỗ đỏ với viền trắng, một con bò đen trắng bình tĩnh đang gặm cỏ gần đó và một cối xay gió màu trắng trên những ngọn đồi thoai thoải dưới bầu trời xanh sống động với những đám mây trắng mềm mại. Ánh sáng là ánh sáng ban ngày ấm áp, dịu nhẹ với bóng đổ nhẹ nhàng và điểm nhấn tinh tế, tạo nên một vẻ ngoài quảng cáo sạch sẽ, đáng tin cậy. Phong cách tổng thể là hình minh họa thương mại cao cấp, vui tươi, chi tiết phong phú với bố cục kể chuyện mạnh mẽ, bố cục cân đối, bảng màu pastel, độ sâu trường ảnh sâu, chi tiết cực kỳ sắc nét, độ tương phản tỷ lệ thu nhỏ điện ảnh—rõ ràng là một hình minh họa, không phải nhiếp ảnh, không phải màn hình mô hình và không được bao bọc trong bất kỳ mái vòm hoặc tủ trưng bày bằng kính nào.","[""https://cms-assets.youmind.com/media/1768804287448_3ga4jo_G-7_3dYW8AEpY0i.jpg""]","{""name"":""Latte"",""url"":""https://x.com/0xbisc""}",https://x.com/0xbisc/status/2012828926633250902,"Nhiếp ảnh, Điện ảnh, Minh họa, 3D, Cổ điển, Thiên nhiên, Sản phẩm, Xe cộ, Logo, UI/UX, Giáo dục"
55,Infographic / Hình ảnh giáo dục - Mặt cắt cấu trúc dạng ảnh bung cho chụp ảnh thực phẩm,"Một lời nhắc được thiết kế để biến một bức ảnh thực phẩm cơ bản thành một sơ đồ cắt lớp cấu trúc dạng xem phân tách, sạch sẽ và có nhãn. Điều này nhằm mục đích tạo ra các hình ảnh theo phong cách infographic, trong đó các thành phần được tách rời theo chiều dọc trong khi vẫn duy trì sự căn chỉnh và tỷ lệ hoàn hảo trên nền studio màu trắng.","Sử dụng hình ảnh đầu tiên làm cơ sở, tạo một hình cắt cấu trúc dạng exploded-view sạch sẽ. Tách từng thành phần theo chiều dọc từng cái một, giữ thẳng hàng, khoảng cách và tỷ lệ hoàn hảo. Nền studio màu trắng, kiểu sơ đồ có nhãn, cực kỳ sắc nét, chân thực.","[""https://cms-assets.youmind.com/media/1768631120017_uzylxq_G-yYo41a4AEQhIx.jpg""]","{""name"":""Parul Gautam"",""url"":""https://x.com/Parul_Gautam7""}",https://x.com/Parul_Gautam7/status/2012151021850747377,"Xe cộ, Giáo dục"
104,Tiếp thị sản phẩm - Chân Dung Vầng Hào Quang Vải Từ Trên Xuống Dạng Tiên Phong,"Một JSON prompt mang tính kỹ thuật cao để tạo ra một bức chân dung biên tập tiên phong có tựa đề 'Textural Rebellion'. Nó yêu cầu góc nhìn từ trên xuống 90 độ thẳng đứng của một chủ thể nằm trên nền đá phiến tối, được bao quanh bởi 'Vương miện Vải' (lụa xếp ly và gấm đỏ thẫm đông cứng trong một gợn sóng). Nó chỉ định ánh sáng làm đẹp cường độ cao (softbox ngay phía trên đầu) và tính thẩm mỹ của phim định dạng trung bình analog (Hasselblad 503CW, Kodak Ektar 100).","{
  ""vibe_title_en"": ""Nổi loạn về kết cấu"",
  ""master_prompt"": ""Một góc nhìn từ trên xuống hoàn toàn thẳng đứng 90 độ của Nhân vật chính đang nằm phẳng trên một bề mặt đá phiến tối màu, phong hóa. Chủ thể được bao quanh bởi một 'Vương miện vải'—một sự sắp xếp siêu thực, mang tính kiến trúc của lụa thô xếp ly và vải gấm đỏ thẫm nặng nề tỏa ra từ đầu như một vầng hào quang. Những loại vải này dường như bị đóng băng trong một làn sóng thách thức trọng lực, lơ lửng như thể dưới nước hoặc bị cuốn vào một đường hầm gió tốc độ cao, đóng vai trò như một tác phẩm điêu khắc hiệu ứng thực tế. Chủ thể duy trì năng lượng 'Tối giản sắc sảo': một biểu cảm điềm tĩnh, trung tính với ánh mắt nhìn thẳng tuyệt đối vào ống kính. Ánh sáng là Ánh sáng làm đẹp cường độ cao: một softbox lớn ngay phía trên tạo ra ánh sáng đều trên khuôn mặt, loại bỏ bóng đổ gắt trong khi làm nổi bật lỗ chân lông và các chi tiết sắc nét của mống mắt. Được chụp bằng Hasselblad 503CW với ống kính 80mm, sử dụng phim Kodak Ektar 100 để có độ bão hòa phong phú, xúc giác và hạt mịn. Kết cấu siêu thực, không có độ bóng CGI."",
  ""meta"": {
    ""intent"": ""Biên tập Tiên phong"",
    ""priorities"": ""Kết cấu, Đối xứng, Siêu thực"",
    ""device_profile"": ""Analog định dạng trung bình""
  },
  ""frame"": {
    ""aspect"": ""4:5"",
    ""composition"": ""Đối xứng trung tâm"",
    ""layout"": ""Chủ thể ở trung tâm, được bao quanh bởi kết cấu"",
    ""camera_angle"": ""Từ trên xuống 90 độ (Góc nhìn chim bay)"",
    ""tilt_roll_degrees"": ""0""
  },
  ""subject"": {
    ""gender"": ""Nữ"",
    ""identity"": ""Nhân vật chính"",
    ""demographics"": ""Người mẫu thời trang cao cấp phổ quát"",
    ""face"": ""Đối xứng, cấu trúc xương rõ nét, kết cấu da siêu thực"",
    ""hair"": ""Vuốt ngược hoặc tích hợp vào tác phẩm điêu khắc vải"",
    ""body"": ""Từ vai trở lên, nằm phẳng"",
    ""expression"": ""Điềm tĩnh, trung tính, ánh mắt cường độ cao, môi thư giãn nhưng khép kín"",
    ""pose"": ""Nằm ngửa, thẳng hàng hoàn hảo với trục dọc""
  },
  ""wardrobe_accessories"": {
    ""garments"": [
      {
        ""item"": ""Áo tunic cổ cao"",
        ""material"": ""Lụa thô"",
        ""color"": ""Than chì đậm"",
        ""fit"": ""Có cấu trúc/Kiến trúc""
      }
    ],
    ""accessories"": [
      {
        ""item"": ""Vầng hào quang vải"",
        ""color"": ""Đỏ thẫm và Xanh nửa đêm"",
        ""material"": ""Lụa xếp ly và Gấm"",
        ""brand_style"": ""Thời trang cao cấp siêu thực""
      }
    ]
  },
  ""environment"": {
    ""setting"": ""Bề mặt kết cấu trừu tượng"",
    ""surfaces"": ""Đá phiến phong hóa, Vải dệt nhiều lớp"",
    ""depth"": ""Nông (Phẳng)"",
    ""atmosphere"": ""Tĩnh lặng như chân không, chuyển động lơ lửng"",
    ""lens_interaction"": ""Lấy nét sắc nét từ cạnh này sang cạnh khác""
  },
  ""lighting"": {
    ""key"": ""Đèn Beauty Dish trên đầu (Mềm)"",
    ""fill"": ""Tấm phản sáng trắng (từ dưới máy ảnh)"",
    ""rim"": ""Không"",
    ""shadows"": ""Tối thiểu, đổ bóng mềm mại dưới cằm"",
    ""color_temperature"": ""5600K (Cân bằng ánh sáng ban ngày)"",
    ""sensor_flare"": ""Không""
  },
  ""camera"": {
    ""lens_type"": ""Prime Macro-Capable"",
    ""focal_length"": ""80mm"",
    ""aperture"": ""f/8"",
    ""focus"": ""Khóa trên E""
  }
}","[""https://cms-assets.youmind.com/media/1768890669025_vlz5ay_G_CwIS7XsAAYt4-.jpg"",""https://cms-assets.youmind.com/media/1768890669374_nim0pj_G_CwIR0WYAAxYd6.jpg""]","{""name"":""timedoctor.eth"",""url"":""https://x.com/timedoctor_nft""}",https://x.com/timedoctor_nft/status/2013302693515661588,"Chân dung, Nhiếp ảnh, Điện ảnh, 3D, Tối giản, Sản phẩm, Nội thất, Đồ ăn, Nhân vật, Thời trang, Văn bản, Trừu tượng, Logo"
108,Hình ảnh chính thương mại điện tử - Chụp ảnh thực phẩm Praline độ chi tiết cao,"Một lời nhắc rất cụ thể để tạo ra ảnh chụp đồ ăn AI cao cấp về các loại kẹo Praline. Nó mô tả chi tiết bố cục (tháp xếp chồng), kết cấu nhân (hạt phỉ cắt nhỏ, gel mâm xôi, caramel muối), ánh sáng (ánh sáng bên kịch tính) và hậu cảnh (chuyển màu từ xanh mòng két sang xanh navy).","Các viên Praline đủ loại được xếp chồng lỏng lẻo ở giữa trên giá đỡ màu vàng chải xước, phần bên cạnh để lộ lớp nhân chảy tự nhiên: phía dưới là những miếng hạt phỉ vón cục không đều, lớp gel mâm xôi đọng tự nhiên, caramel muối với những đường chảy chân thực, lớp ganache cà phê mịn màng, chanh dây với những đốm thịt quả. Những hạt kim loại độc đáo (một hạt vàng cho mỗi loại nhân) được đặt tự nhiên ở mỗi lớp chuyển tiếp. Nền {argument name=""background color"" default=""Teal-to-navy gradient""} với các hạt vàng lơ lửng ở bên trái, ánh sáng phụ 35° tạo hiệu ứng khúc xạ nhân và đổ bóng chân thực. Bố cục tháp so le tạo đường nhìn dọc xuyên suốt sự đa dạng hương vị.","[""https://cms-assets.youmind.com/media/1768890644813_2dzxig_G_BUEPMXoAAyOMv.jpg""]","{""name"":""TheAIHeadquarters"",""url"":""https://x.com/DavisonDabiri""}",https://x.com/DavisonDabiri/status/2013201475346842049,"Đồ ăn, Xe cộ"
117,Hình ảnh chính thương mại điện tử - Lời nhắc chụp ảnh món bánh tart chuối caramel siêu thực,"Một prompt cực kỳ chi tiết để tạo ra bức ảnh chụp món bánh tart chuối caramel siêu thực, mang phong cách điện ảnh. Prompt này chỉ định các nguyên liệu, kết cấu, ánh sáng (giờ vàng), các yếu tố nền (các món tráng miệng khác) và cài đặt kỹ thuật máy ảnh (Sony A1 85mm f/1.4) để tạo ra một vẻ đẹp sang trọng cho món tráng miệng.","{
""prompt"": ""ảnh chụp cận cảnh món ăn siêu thực: bánh tart chuối caramel mới nướng, vỏ bánh màu vàng nâu mộc mạc với kết cấu giòn xốp, nhân kem caramel béo ngậy, phủ bên trên là những lát chuối chín được nướng nhẹ hoàn hảo, rưới sốt caramel vàng óng, rắc hạt dẻ cười nghiền và những lọn sô cô la nhỏ xíu, một chiếc thìa đang múc một phần bánh để lộ mặt cắt ngang hấp dẫn của các lớp kem caramel và chuối, không gian tiệm bánh ấm cúng, hậu cảnh mờ ảo với các món tráng miệng khác: truffle sô cô la, mini pavlova với quả mọng, và bánh sừng bò với hạnh nhân lát, bề mặt thớt gỗ mộc mạc, ánh sáng hoàng hôn, hiệu ứng bokeh mềm mại, thẩm mỹ món tráng miệng sang trọng, kết cấu cực kỳ chi tiết, chân thực như ảnh chụp, nhiếp ảnh ẩm thực điện ảnh, độ phân giải 8k, chụp bằng Sony A1 85mm f/1.4, lấy nét cực sắc nét vào bánh tart và thìa, bảng màu ấm áp phong phú với tông nâu caramel, vàng chuối và điểm xuyết màu xanh lá cây tinh tế"",
""negative_prompt"": ""mờ, độ phân giải thấp, lỗi jpeg, hoạt hình, minh họa, vẽ, tranh, trông như nhựa, thức ăn giả, thìa biến dạng, tỷ lệ xấu, chữ, hình mờ, chữ ký, logo, quá bão hòa, nhạt nhòa, đèn flash gắt, ánh sáng lạnh, kết xuất 3d, cgi, thức ăn đồ chơi, mô hình nhà búp bê"",
""aspect_ratio"": ""4:5"",
""seed"": -1,
""cfg_scale"": 7.5,
""steps"": 40,
""sampler"": ""DPM++ 2M Karras or Euler a"",
""clip_skip"": 2
}","[""https://cms-assets.youmind.com/media/1768804210387_ve6r9j_G-69KEDW0AAFJpJ.jpg""]","{""name"":""Waqar Ali"",""url"":""https://x.com/Waqar_sahito01""}",https://x.com/Waqar_sahito01/status/2012754075578978700,"Nhiếp ảnh, Điện ảnh, Minh họa, 3D, Anime, Đồ ăn, Xe cộ, Văn bản, Logo"
118,Hình ảnh chính thương mại điện tử - Chụp ảnh Macro sản phẩm cho thực phẩm nổi,"Một lời nhắc văn bản ngắn gọn cho Nano Banana Pro để tạo hình ảnh quảng cáo thực phẩm cao cấp với các nguyên liệu bay lơ lửng trong bố cục xếp chồng lên nhau trên nền trắng liền mạch, nhấn mạnh chi tiết macro và phong cách biên tập thương mại.","{argument name=""food item"" default=""[Food]""} Quảng cáo thực phẩm cao cấp, nền trắng liền mạch, ánh sáng studio cường độ cao, bố cục xếp chồng lơ lửng, các mảnh bay lơ lửng, {argument name=""ingredient details"" default=""[ingredient_bits]""} rải rác, bố cục tối giản sạch sẽ, đổ bóng mềm mại rõ nét trên bề mặt, siêu thực, chụp ảnh sản phẩm macro, ống kính 100mm, lấy nét sắc nét f/8, chi tiết kết cấu tinh tế, thương mại biên tập, 8k","[""https://cms-assets.youmind.com/media/1768804278441_4mxmy7_G-6l3LuXwAAcPza.jpg"",""https://cms-assets.youmind.com/media/1768804278584_8cxrej_G-6l3NhWEAAFJD1.jpg"",""https://cms-assets.youmind.com/media/1768804278726_xhgx5l_G-6l3PkXkAEQtX-.jpg"",""https://cms-assets.youmind.com/media/1768804279887_riv44a_G-6l3RtXoAAZlEH.jpg""]","{""name"":""Meem"",""url"":""https://x.com/mehvishs25""}",https://x.com/mehvishs25/status/2012728463443251526,"Nhiếp ảnh, Tối giản, Sản phẩm, Đồ ăn"
