title,description,content,sourceLink,sourcePublishedAt,author,sourceMedia
Luxury Editorial Paparazzi Style Image Editing Prompt for Nano Banana Pro,"A highly specific image editing prompt for Nano Banana Pro, intended to transform an existing image into a luxury editorial, paparazzi-style photograph. The prompt requires strict preservation of the original facial identity while adding specific high-fashion elements: a light gray pinstriped double-breasted suit, dark sunglasses, luxury accessories (wristwatch, chain bracelet), and props (cigar). The scene is set at a sophisticated outdoor café.","{
  ""type"": ""image_editing_prompt"",
  ""language"": ""English"",
  ""style"": ""luxury editorial, paparazzi-style street photography"",
  ""aspect_ratio"": ""4:5"",
  ""identity_preservation"": {
    ""use_reference_image"": true,
    ""strict_identity_lock"": true,
    ""notes"": ""Preserve 100% of the original facial identity, structure, proportions, skin texture, and expression from the uploaded reference image. No facial alterations.""
  },
  ""subject"": {
    ""gender"": ""female"",
    ""expression"": ""confident, serious, mysterious"",
    ""appearance"": {
      ""eyewear"": ""dark, thick-rimmed sunglasses concealing the eyes"",
      ""hair"": ""unchanged from reference image""
    },
    ""clothing"": {
      ""suit"": {
        ""color"": ""light gray / silver"",
        ""pattern"": ""fine vertical pinstripes"",
        ""jacket"": ""double-breasted with two rows of dark buttons"",
        ""trousers"": ""matching gray pinstriped fabric""
      },
      ""shirt"": ""white dress shirt"",
      ""tie"": ""dark red tie"",
      ""pocket_square"": ""dark red, neatly folded""
    },
    ""accessories"": [
      ""oversized luxury wristwatch with gold bezel on left wrist"",
      ""wide heavy gold chain bracelet on left wrist"",
      ""ring on the ring finger of the right hand""
    ],
    ""props"": {
      ""right_hand"": ""holding a thick cigar between the fingers"",
      ""left_hand"": ""holding a small white object (possibly a lighter)""
    },
    ""pose"": {
      ""position"": ""seated on a woven rattan/wicker café chair"",
      ""body_language"": ""leaning slightly forward"",
      ""elbow_position"": ""right elbow resting on a small round table""
    }
  },
  ""shot"": {
    ""type"": ""close-up to medium close-up"",
    ""framing"": ""chest level and above"",
    ""focus"": ""subject is the absolute focal point""
  },
  ""environment"": {
    ""setting"": ""sophisticated outdoor café or restaurant terrace""",https://x.com/l_w_lorenzen/status/2013639683927167453,2026-01-20T15:48:06.000Z,"{""name"":""Lore"",""link"":""https://x.com/l_w_lorenzen""}","[""https://pbs.twimg.com/media/G_Hif1SWYAAC-7i.jpg"",""https://pbs.twimg.com/media/G_E_6ufX0AAsVDt.jpg""]"
Elegant Autumn City Park Editorial Scene,"A descriptive prompt for creating a refined, cinematic editorial image set in a quiet city park during late autumn. The prompt focuses on the mood (calm, elegant, introspective), the subject's styling (black long-sleeve mini dress with floral embroidery, sheer tights, classic heels), and the environment (overcast sky, scattered fallen leaves, minimalist metal bench). It specifies a shallow depth of field and cool, neutral color grading for a Parisian-inspired aesthetic.","""Create a refined editorial-style scene set in a quiet city park during {argument name=""season"" default=""late autumn""}. The subject is seated sideways on a minimalist metal bench, posture relaxed yet intentional, one leg extended and the other gently bent, heels resting on textured stone paving. Fallen leaves scatter around the ground, bare tree branches framing the background under a soft, overcast sky. The subject’s head is turned slightly away from the camera, suggesting introspection, with one hand resting near the bench edge and the other subtly adjusting hair or holding a small structured handbag. The overall mood is calm, elegant, and cinematic, with muted natural tones and a shallow depth of field that keeps focus on the subject while softly blurring the park surroundings.

Style the subject in a fitted black long-sleeve mini dress with delicate cream floral embroidery, sheer black tights, and classic black pointed heels. Hair is long, dark, and softly flowing, catching a light breeze. Makeup is natural with defined eyes, enhancing a timeless, Parisian-inspired elegance. The color grading leans cool and neutral, emphasizing contrast between the dark outfit and pale autumn leaves, evoking quiet confidence and femininity.""",https://x.com/bananaprompts/status/2013682129465397388,2026-01-20T18:36:46.000Z,"{""name"":""Banana Prompts"",""link"":""https://x.com/bananaprompts""}","[""https://pbs.twimg.com/media/G_IIVMPWEAA0R--.jpg""]"
Modernized Dorothy Gale Aesthetic with Direct Flash,"A highly detailed, photorealistic prompt generating a full-body image of a young woman in a modernized Dorothy Gale costume (blue gingham mini dress, ruby red glitter pumps). The scene is set in a semi-outdoor courtyard at night, utilizing direct on-camera flash photography to create hard lighting, high contrast, and a distinct shadow on the wall behind the subject.","{
  ""prompt_structure"": {
    ""subject"": {
      ""demographics"": ""Young female adult with a slender, fit physique"",
      ""hair"": ""Long dark brown hair styled in two playful braids (pigtails) resting on shoulders"",
      ""face"": ""Soft, attractive features with a slight smile, gazing upwards to the right, wearing bright red lipstick and subtle eye makeup""
    },
    ""outfit"": {
      ""costume_theme"": ""Modernized Dorothy Gale from Wizard of Oz aesthetic"",
      ""dress"": ""Blue and white gingham check mini dress featuring a corset-style bodice with vertical boning, sweetheart neckline, and white lace ruffle trim at the hem and neckline"",
      ""legwear"": ""Opaque white knee-high stockings featuring large light blue satin bows at the top cuffs"",
      ""footwear"": ""Sparkling ruby red glitter pumps (heels) with ankle straps (Mary Jane style)""
    },
    ""accessories"": {
      ""hair"": ""Red satin ribbons tied into bows at the base of each braid"",
      ""handheld"": ""Holding a beige woven straw tote bag/basket in the right hand""
    },
    ""pose_and_action"": {
      ""stance"": ""Full-body standing pose, legs crossed at the ankles in a playful manner"",
      ""arms"": ""Right arm extended down holding the bag, left arm slightly bent and extended back as if balancing or leaning"",
      ""expression"": ""Charming, confident, and whimsical mood""
    },
    ""environment"": {
      ""setting"": ""Semi-outdoor patio or courtyard entrance at night"",
      ""architecture"": ""Large wooden double doors with glass panels in the background, white stucco walls, dark wooden support pillar in the foreground"",
      ""details"": ""Terracotta tiled flooring, faint glimpse of a railing and indoor plants in the background, a large mirror frame visible on the far left edge""
    },
    ""lighting"": {
      ""style"": ""Direct on-camera flash photography"",
      ""characteristics"": ""Hard lighting creating a distinct shadow of the subject on the wall behind, high contrast between the illuminated subject and the dimmer background, capturing the sparkle of the shoes and sheen of the fabric""
    },
    ""camera_technical"": {
      ""perspective"": ""Eye-level to slightly low angle full shot"",
      ""focal_length"": ""35mm for a lifestyle snapshot feel"",
      ""quality"": ""Ultra photorealistic, 8K resolution, sharp focus on subject"",
      ""textures"": ""Detailed fabric weave on the gingham, realistic glitter texture on shoes, skin texture visibility""
    }
  }
}",https://x.com/l_w_lorenzen/status/2013609477782806545,2026-01-20T13:48:05.000Z,"{""name"":""Lore"",""link"":""https://x.com/l_w_lorenzen""}","[""https://pbs.twimg.com/media/G_HHH0iWYAAbhhq.jpg"",""https://pbs.twimg.com/media/G_AihfGXQAA5J6l.jpg""]"
Candid iPhone Photo in Fluorescent Convenience Store,"A detailed JSON prompt for Nano Banana Pro generating an ultra-photorealistic, raw iPhone-style image of a curvy woman in a white tank top and denim shorts standing sideways at a fridge in a late-night convenience store. The prompt focuses on realistic body proportions, natural skin texture, fluorescent lighting, and an imperfect, handheld framing to achieve a social media realism aesthetic.","{
  ""meta"": {
    ""quality"": ""ultra photorealistic"",
    ""resolution"": ""8k"",
    ""camera"": ""iPhone 15 Pro"",
    ""lens"": ""24mm wide"",
    ""aspect_ratio"": ""9:16"",
    ""style"": ""raw iphone realism, natural skin texture, slight grain, imperfect handheld framing""
  },

  ""scene"": {
    ""location"": ""late-night convenience store"",
    ""time"": ""night"",
    ""atmosphere"": ""quiet, fluorescent-lit, slightly voyeuristic""
  },

  ""subjects"": [
    {
      ""gender"": ""female"",
      ""age"": ""early 20s (clearly adult)"",
      ""ethnicity"": ""european blonde"",

      ""body"": {
        ""type"": ""curvy hourglass"",
        ""waist"": ""tight"",
        ""hips"": ""round and full"",
        ""chest"": ""full, natural"",
        ""legs"": ""thick thighs, soft inner curves""
      },

      ""skin"": {
        ""tone"": ""fair with warm indoor glow"",
        ""texture"": ""real pores, slight natural sheen""
      },

      ""hair"": {
        ""color"": ""light blonde"",
        ""style"": ""loose messy waves, unstyled""
      },

      ""face"": {
        ""expression"": ""calm confident stare"",
        ""eyes"": ""looking directly at camera"",
        ""lips"": ""slightly parted"",
        ""makeup"": ""minimal, glossy lips""
      },

      ""outfit"": {
        ""top"": {
          ""type"": ""thin ribbed tank top"",
          ""color"": ""white"",
          ""fit"": ""tight"",
          ""underwear"": ""no bra"",
          ""fabric_behavior"": ""slightly stretched by posture""
        },
        ""bottom"": {
          ""type"": ""low-rise denim shorts"",
          ""color"": ""washed blue"",
          ""fit"": ""snug on hips""
        }
      },

      ""pose"": {
        ""stance"": ""standing sideways at fridge door"",
        ""hips"": ""pushed slightly back"",
        ""torso"": ""subtle arch"",
        ""arms"": {
          ""one_hand"": ""holding fridge handle"",
          ""other_hand"": ""resting on upper thigh""
        },
        ""head"": {
          ""angle"": ""chin slightly down"",
          ""gaze"": ""upward into lens""
        }
      }
    }
  ],

  ""lighting"": {
    ""type"": ""fluorescent store lighting"",
    ""effect"": ""cool highlights, realistic shadows, true iphone exposure""
  },

  ""photography_rules"": {
    ""iphone_only_look"": true,
    ""no_male_presence"": true,
    ""no_heavy_retouching"": true,
    ""social_media_realism"": true
  }
}",https://x.com/bananababydoll/status/2013734532063666372,2026-01-20T22:05:00.000Z,"{""name"":""babydoll"",""link"":""https://x.com/bananababydoll""}","[""https://pbs.twimg.com/media/G_I4vdeWQAAClUh.jpg""]"
Ultimate Prompt for Dan Koe Style Presentation Slides (PPT) using Nano Banana Pro,"A highly detailed, multi-step system prompt designed to transform an article or text (like Dan Koe's) into a 10-15 page presentation script and generate corresponding image prompts for Nano Banana Pro. The style guide mandates a high-contrast, monochrome, etching/engraving aesthetic, focusing on themes of existentialism, the unknown, and the contrast between tiny humans and gigantic elements.","あなたは「Dan Koeスタイルの記事用画像 + 極限まで削ぎ落とした認知系PPT」制作者です。
タスク： 私が提供する【ファイル/テキスト/動画の文字起こし内容】を、直接PPTにできるスクリプトに整理し、各ページに同じスタイルの配図プロンプト（画像生成後にスライドに挿入するため）を生成してください。
目標とする気質： 孤独、探求、実存主義、未知の深淵、極限まで削ぎ落としているが力強い；白黒の高コントラスト、版画的線画、密集したハッチング陰影、巨大な未知 + 小さな人間。
【出力言語】日本語を主体とし、必要に応じて少量の英語キーワードを追加可（配図プロンプト用）。
【ページ数】{argument name=""page count"" default=""10–15""}ページ（内容に応じて調整）。
【画面規格】16:9；各ページは**上部に横長バナー画像（画像内に要約テキストを含む）**を配置。
【スライドの原則】

そのスライドを見るだけで、何について話しているか8割理解できること
タイトルは具体的な主張・結論・問いかけであること（抽象的な単語のみは禁止）
3-5つのbulletで文脈が完結すること

【レイアウトルール】

各ページで1つの見解のみを語る
タイトル≤15文字：具体的な主張や問いの形式（例：「専門性の罠」「なぜ今、複数のスキルか」）
画像内に3–5つのbullet、各bullet≤18文字
画像外（スライド下部）に：60-120字程度の「補足説明」
全体で統一：白黒、余白、抑制、鋭利

【配図スタイルの固定（各ページで使用）】

pen-and-ink illustration / ink engraving / vintage etching
monochrome black & white, high contrast
extreme micro-detail linework
layered cross-hatching (3–5 layers) + stippling
scratchboard texture, paper grain
dramatic chiaroscuro lighting, deep shadows, rich midtones, crisp highlights
perfect pure black negative-space void（穴/ブラックホール/扉/深淵）を視覚的なアンカーポイントとして
tiny human/astronaut silhouette vs gigantic unknown

【統一ネガティブワード（各ページの配図プロンプト末尾に追加）】 NEGATIVE: color, grayscale photo, realistic photography, soft airbrush, smooth shading, blur, low detail, flat lighting, cartoon, anime, cel shading, watermark, logo, credit, UI, frame
【コンテンツ生成フロー】
まず7–9つの要点で原内容の「核心論点チェーン」を要約（論理順序に従って）

それを10–15ページのPPT構造にマッピング：表紙（1ページ）
現状/問題提起（1ページ）
鍵となる洞察（1ページ）
コアフレームワーク（2ページ）
方法とステップ（2–3ページ）
ケース/対比（1–2ページ）
よくある誤解（1ページ）
アクションチェックリスト（1ページ）
締めの金言（1ページ）

各ページの出力は必ず以下の形式に厳密に従って提供：

【Slide X：タイトル（具体的な主張・問い）】
画像内に表示するテキスト：
[具体的で分かりやすいタイトル：15文字以内]

- [要点1：何について話しているか分かる具体的な内容：18文字以内]
- [要点2：18文字以内]
- [要点3：18文字以内]
- [要点4：18文字以内]（オプション）
補足説明（スライド下部、60-120字）：[このスライドの背景や具体例を簡潔に説明。一人称で語りかけるように。]
配図Prompt（以下の形式を厳守）：
A 16:9 horizontal pen-and-ink illustration. [シーンの詳細を80-120字で描写：場所、人物の状態、巨大な要素、光と影]. 

THE BOTTOM 15-20% OF THE IMAGE MUST BE A SOLID BLACK HORIZONTAL BAR.
This black bar contains white Japanese text:
- Title (centered): ""[上記のタイトルをそのまま記載]""
- Bullets (left-aligned):
  • ""[bullet 1をそのまま記載]""
  • ""[bullet 2をそのまま記載]""
  • ""[bullet 3をそのまま記載]""
  [• ""[bullet 4をそのまま記載]"" (if applicable)]

Font: Noto Sans JP Bold for title (48-56pt), Medium for bullets (28-32pt), all white text on black background. No logo, no credit, no watermark.

Style: Monochrome black & white, high contrast, extreme micro-detail linework, layered cross-hatching (3-5 layers), stippling, scratchboard texture, dramatic chiaroscuro lighting, deep shadows, crisp highlights, pure black void as visual anchor, tiny human silhouette vs gigantic unknown.

NEGATIVE: color, grayscale photo, realistic photography, soft airbrush, smooth shading, blur, low detail, flat lighting, cartoon, anime, cel shading, watermark, logo, credit, UI, frame
配図構図提案：
主体：[位置と状態]
未知の要素：[配置]

光源：[方向]

必須：下部15-20%に黒バー＋白文字テキスト
【表紙の特別ルール】 タイトルはメインテーマを具体的に示す（例：「多重興味が新時代の超能力である理由」） サブタイトルまたは3-4つの",https://x.com/akaoji39/status/2013567124741206420,2026-01-20T10:59:47.000Z,"{""name"":""ナマケモノai"",""link"":""https://x.com/akaoji39""}","[""https://pbs.twimg.com/media/G_GfoTWWMAA8del.jpg"",""https://pbs.twimg.com/media/G_GfoTgXMAAklLK.jpg"",""https://pbs.twimg.com/media/G_GfoT2WUAAiI4g.jpg"",""https://pbs.twimg.com/media/G_GfoTeW8AAxo3w.jpg""]"
Photorealistic Cat Burglar Lifestyle Editorial,"A highly detailed JSON prompt for Nano Banana Pro generating a photorealistic lifestyle editorial image of a female subject in a glossy black latex catsuit (Catwoman-inspired) lounging in a lived-in, cozy apartment bedroom. The prompt specifies iPhone 15 Pro Max camera settings, natural daylight, and a focus on realistic textures and natural imperfections, avoiding a staged or cinematic look.","{
  ""meta"": {
    ""aspect_ratio"": ""9:16"",
    ""orientation"": ""vertical"",
    ""quality"": ""ultra_photoreal"",
    ""resolution"": ""8k"",
    ""camera"": ""iPhone 15 Pro Max"",
    ""lens"": ""24mm wide"",
    ""capture_style"": ""handheld phone photo (NOT selfie), slight natural hand micro-shake, realistic iPhone HDR"",
    ""style"": ""photoreal lifestyle cosplay editorial, natural skin texture, realistic indoor light""
  },

  ""scene"": {
    ""time_of_day"": ""daytime (late morning)"",
    ""location"": ""real apartment bedroom"",
    ""setting_details"": {
      ""bed"": ""queen bed with slightly wrinkled white sheets and a beige duvet, pillows slightly messy"",
      ""room_fill"": [
        ""nightstand with a book stack + phone charger + water glass"",
        ""soft throw blanket draped over chair"",
        ""laundry basket in corner (tidy but visible)"",
        ""dresser with a small mirror and perfume bottles"",
        ""houseplant near window"",
        ""framed art on wall"",
        ""curtains half-open with sunlight streaks"",
        ""a pair of boots near the bed (subtle, not staged)""
      ],
      ""vibe"": ""lived-in, real, cozy but stylish""
    },
    ""background"": {
      ""look"": ""realistic clutter balance (not messy, not minimal showroom)"",
      ""avoid_readable_text"": true
    }
  },

  ""lighting"": {
    ""type"": ""natural daylight"",
    ""key_light"": ""soft window light from one side, diffused through curtain"",
    ""fill_light"": ""gentle ambient room bounce"",
    ""shadow_behavior"": ""soft natural shadows, no harsh studio look"",
    ""exposure"": ""real iPhone HDR feel, highlights protected, blacks not crushed""
  },

  ""photography"": {
    ""shot_type"": ""3/4 body on bed (realistic phone photo framing)"",
    ""angle"": ""slightly above bed height, standing beside bed perspective"",
    ""composition"": ""subject on the bed, room context clearly visible (nightstand + window + dresser in frame)"",
    ""depth_of_field"": ""moderate (subject sharp, background slightly softened like iPhone portrait but not fake blur)"",
    ""realism_notes"": [
      ""natural lens distortion typical of phone wide lens (minimal, not stretched)"",
      ""skin texture visible (pores), realistic latex reflections"",
      ""no cinematic teal/orange grade""
    ]
  },

  ""subject"": {
    ""gender"": ""female"",
    ""age"": ""early-to-mid 20s (clearly adult)"",
    ""look"": ""cat burglar inspired (Catwoman-like), high-fashion cosplay realism"",
    ""expression"": {
      ""eyes"": ""direct eye contact, playful confident gaze"",
      ""mouth"": ""subtle smirk, relaxed"",
      ""overall"": ""calm, teasing, in control""
    },

    ""pose"": {
      ""position"": ""lounging diagonally across the bed"",
      ""legs"": ""one leg slightly bent, relaxed elegance"",
      ""arms"": ""one arm above head on pillow, other hand lightly holding a coiled whip near hip (subtle)"",
      ""head"": ""slight tilt toward camera""
    },

    ""wardrobe"": {
      ""catsuit"": {
        ""type"": ""black glossy latex catsuit, skin-tight, high-neck",https://x.com/bananababydoll/status/2013656845403984262,2026-01-20T16:56:18.000Z,"{""name"":""babydoll"",""link"":""https://x.com/bananababydoll""}","[""https://pbs.twimg.com/media/G_HxyebWkAY0crL.jpg"",""https://pbs.twimg.com/media/G_HxyegWkAIYs-0.jpg""]"
LINE Sticker Generation Prompt (3D Clay Style),"A detailed Japanese prompt designed to generate a 3x3 grid of nine different LINE stickers featuring a 3D character in a blind box/Pop Mart style. It specifies a clay texture, matte finish, soft lighting, and nine distinct expressions, each with a cute Japanese text label and white outline.","3Dキャラクターデザイン、ブラインドボックススタイル、ポップマート風デザイン、C4D、Octaneレンダリング、粘土テクスチャ、マット仕上げ、ソフトライティング、ステッカーシートレイアウト、3x3グリッドビュー {argument name=""表情とテキスト"" default=""9種類の表情： ハートを作る喜び、涙を浮かべる悲しみ、蒸気を吐き出す怒り、あくびをする眠たげな表情、口を開けて驚く表情、顔を赤らめて恥ずかしがる恥ずかしがり、拳を突き上げて歓声を上げる表情、考え込むように混乱する表情、紙吹雪で祝う表情""} それぞれに日本語の可愛いテキストラベル付き、白のアウトライン、ダイカット、 白背景、高画質、8k --ar 3:4",https://x.com/lovart_jp/status/2013552370589016504,2026-01-20T10:01:09.000Z,"{""name"":""Lovart 公式 (ラブアート)"",""link"":""https://x.com/lovart_jp""}","[""https://pbs.twimg.com/media/G_GD9BqWYAAku76.jpg"",""https://pbs.twimg.com/media/G_GD9R1WwAEpnO-.jpg""]"
Hardcore Engineering Infographic Style,"A concise Nano Banana Pro instruction set for creating technical, hard-edge infographics. The process involves selecting an object, ensuring realistic clarity, and overlaying black, hand-drawn engineering annotations (labels, dimensions, materials, cross-sections, arrows) to achieve an 'Engineering Manual + Exhibition Plaque' texture.","1️⃣选 OBJECT
2️⃣写实图保持清晰可见
3️⃣叠黑色手绘工程标注（标签、尺寸、材质、剖面、箭头）",https://x.com/kuaijierun/status/2013477972104147411,2026-01-20T05:05:31.000Z,"{""name"":""Dean"",""link"":""https://x.com/kuaijierun""}","[""https://pbs.twimg.com/media/G_FOxEhWAAA-KpM.jpg"",""https://pbs.twimg.com/media/G_FPHprXoAEw3bb.jpg"",""https://pbs.twimg.com/media/G_FPIhZXoAAWNO9.jpg"",""https://pbs.twimg.com/media/G_FPbWLXEAAeA6k.jpg""]"
Hyper-Realistic High-Fashion Portrait in Ivory Lace Minidress,"This Nano Banana Prompt is designed for hyper-realistic, photogrammetric image generation, focusing on high-fidelity texture rendering (pore-level skin detail, fine hair strands). It specifies a subject in an ivory lace minidress, seated in a high-fashion studio setting with professional lighting, emphasizing the length of the legs and metallic gold accessories.","{
  ""project_metadata"": {
    ""version"": ""2.0"",
    ""target_quality"": ""Hyper-Realistic / Photogrammetric"",
    ""aspect_ratio"": ""3:4"",
    ""reference_parameters"": {
      ""identity_preservation"": ""High (Strictly maintain facial geometry and hairstyle from reference image)"",
      ""facial_integrity"": ""Unmodified facial features, zero distortion""
    }
  },
  ""subject_details"": {
    ""human_attributes"": {
      ""physique"": ""Curvy, well-defined silhouette"",
      ""skin_texture"": ""Pore-level detail, natural skin sheen, realistic subsurface scattering"",
      ""gaze"": ""Direct eye contact with camera, engaging and confident expression""
    },
    ""hair_specification"": {
      ""style"": ""Exact match to attached photo"",
      ""texture"": ""Fine strands, realistic sheen, high-fidelity fiber rendering"",
      ""interaction"": ""Naturally draped based on the seated pose""
    },
    ""pose_composition"": {
      ""action"": ""Seated on a minimalist surface"",
      ""orientation"": ""Torso leaning slightly forward toward the lens"",
      ""lower_body"": ""Legs crossed and elevated/raised to foreground"",
      ""focal_emphasis"": ""Emphasis on leg length and high-heeled footwear""
    }
  },
  ""wardrobe_and_styling"": {
    ""primary_garment"": {
      ""item"": ""Minidress"",
      ""color"": ""Ivory / Off-white"",
      ""material"": ""Silk or satin base with intricate lace overlay"",
      ""design_elements"": [
        ""Delicate spaghetti straps"",
        ""Subtle 3D floral embroidery"",
        ""Fine lace scalloped edges"",
        ""Form-fitting curvy silhouette""
      ]
    },
    ""footwear"": {
      ""type"": ""Stiletto high-heeled sandals"",
      ""finish"": ""Metallic gold, reflective"",
      ""fastening"": ""Delicate ankle straps with micro-buckle detail"",
      ""presentation"": ""Polished, catching the studio light""
    },
    ""accessories"": {
      ""earrings"": ""Small minimalist gold studs or hoops"",
      ""jewelry_tone"": ""Warm metallic gold""
    }
  },
  ""environment_and_lighting"": {
    ""setting"": ""High-end minimalist studio or neutral architectural background"",
    ""lighting_setup"": {
      ""primary"": ""Softbox key light for even skin tones"",
      ""secondary"": ""Subtle rim lighting to define the body curves and hair texture"",
      ""ambience"": ""Clean, sophisticated, high-fashion editorial aesthetic""
    },
    ""color_palette"": [
      ""Ivory"",
      ""Warm Gold"",
      ""Neutral Skin Tones"",
      ""Soft Muted Background""
    ]
  },
  ""technical_render_specs"": {
    ""camera"": {
      ""lens"": ""85mm prime lens (portrait specialty)"",
      ""aperture"": ""f/2.8 for sharp subject focus and soft background blur"",
      ""sensor"": ""Full-frame CMOS"",
      ""shot_type"": ""Full body / Medium shot""
    },
    ""resolution_quality"": [
      ""8k UHD"",
      ""Highly detailed textures"",
      ""Ray-traced reflections on metallic surfaces"",
      ""Masterpiece quality""
    ]
  }
}",https://x.com/Adam38363368936/status/2013595805534335052,2026-01-20T12:53:45.000Z,"{""name"":""Adam也叫吉米"",""link"":""https://x.com/Adam38363368936""}","[""https://pbs.twimg.com/media/G_G6p3_WIAAar_K.jpg"",""https://pbs.twimg.com/media/G_G6rsrXUAAJ7gg.jpg""]"
Google Nano Banana 64th Work: 'Habits of Adventurers',"This tweet discusses the 64th work created using Google Nano Banana, titled 'Habits of Adventurers.' The creator manually reconstructed a four-panel comic strip that ignored the vertical stacking instruction and instead moved horizontally. The image depicts adventurers gathering like moths to a streetlamp, drawn to a mysterious stone, suggesting a scene from a fantasy game where players would instinctively 'investigate' such an object.",Google Nano Banana 64作目「冒険者の習性」,https://x.com/pt20121/status/2013573992171360671,2026-01-20T11:27:04.000Z,"{""name"":""pt2012"",""link"":""https://x.com/pt20121""}","[""https://pbs.twimg.com/media/G_Gm3t8WYAAaNEF.jpg""]"
