title,description,content,sourceLink,sourcePublishedAt,author,sourceMedia
Kawaii E-Girl Mirror Selfie Prompt,"A detailed JSON prompt for generating a photorealistic image of a woman taking a mirror selfie in a kawaii, e-girl, soft grunge, and coquette aesthetic. It specifies the subject's appearance, outfit (including a corset with an anime print), pose, environment, and desired high-definition quality.","{
  ""prompt_description"": {
    ""subject"": {
      ""type"": ""woman"",
      ""hair"": ""long, straight, platinum blonde"",
      ""features"": ""light skin tone, soft makeup, finger resting on lip"",
      ""tattoos"": ""small text tattoo on chest, '{argument name=""wrist tattoo"" default=""XXX""}' tattoo on wrist""
    },
    ""outfit"": {
      ""top"": ""{argument name=""top garment"" default=""white satin corset""} with pink cartoon/anime print (My Melody style), lace trim, ribbon tie front"",
      ""bottom"": ""black pleated mini skirt, raw hem"",
      ""accessories"": ""black lace-top thigh-high stockings, fishnet tights"",
      ""phone_case"": ""graphic black and white anime style illustration""
    },
    ""pose"": {
      ""type"": ""mirror selfie"",
      ""stance"": ""standing, one hip popped"",
      ""hand_position"": ""holding phone with right hand, left hand touching lip""
    },
    ""environment"": {
      ""location"": ""indoor hallway or bedroom"",
      ""background"": ""white walls, grey tiled floor, framed posters on wall"",
      ""lighting"": ""warm golden hour sunlight, soft shadows"",
      ""decor"": ""minimalist, potted plant in background""
    },
    ""style"": {
      ""aesthetic"": ""e-girl, soft grunge, coquette, trendy"",
      ""camera_angle"": ""eye level, reflection"",
      ""quality"": ""high definition, photorealistic, vivid colors""
    }
  }
}",https://x.com/l_w_lorenzen/status/2013544997258437024,2026-01-20T09:31:51.000Z,"{""name"":""Lore"",""link"":""https://x.com/l_w_lorenzen""}","[""https://pbs.twimg.com/media/G_GMUbmXMAAg9el.jpg"",""https://pbs.twimg.com/media/G-_zv_DXYAAIGDC.jpg""]"
Modernized Dorothy Gale Aesthetic with Direct Flash,"A highly detailed, photorealistic prompt generating a full-body image of a young woman in a modernized Dorothy Gale costume (blue gingham mini dress, ruby red glitter pumps). The scene is set in a semi-outdoor courtyard at night, utilizing direct on-camera flash photography to create hard lighting, high contrast, and a distinct shadow on the wall behind the subject.","{
  ""prompt_structure"": {
    ""subject"": {
      ""demographics"": ""Young female adult with a slender, fit physique"",
      ""hair"": ""Long dark brown hair styled in two playful braids (pigtails) resting on shoulders"",
      ""face"": ""Soft, attractive features with a slight smile, gazing upwards to the right, wearing bright red lipstick and subtle eye makeup""
    },
    ""outfit"": {
      ""costume_theme"": ""Modernized Dorothy Gale from Wizard of Oz aesthetic"",
      ""dress"": ""Blue and white gingham check mini dress featuring a corset-style bodice with vertical boning, sweetheart neckline, and white lace ruffle trim at the hem and neckline"",
      ""legwear"": ""Opaque white knee-high stockings featuring large light blue satin bows at the top cuffs"",
      ""footwear"": ""Sparkling ruby red glitter pumps (heels) with ankle straps (Mary Jane style)""
    },
    ""accessories"": {
      ""hair"": ""Red satin ribbons tied into bows at the base of each braid"",
      ""handheld"": ""Holding a beige woven straw tote bag/basket in the right hand""
    },
    ""pose_and_action"": {
      ""stance"": ""Full-body standing pose, legs crossed at the ankles in a playful manner"",
      ""arms"": ""Right arm extended down holding the bag, left arm slightly bent and extended back as if balancing or leaning"",
      ""expression"": ""Charming, confident, and whimsical mood""
    },
    ""environment"": {
      ""setting"": ""Semi-outdoor patio or courtyard entrance at night"",
      ""architecture"": ""Large wooden double doors with glass panels in the background, white stucco walls, dark wooden support pillar in the foreground"",
      ""details"": ""Terracotta tiled flooring, faint glimpse of a railing and indoor plants in the background, a large mirror frame visible on the far left edge""
    },
    ""lighting"": {
      ""style"": ""Direct on-camera flash photography"",
      ""characteristics"": ""Hard lighting creating a distinct shadow of the subject on the wall behind, high contrast between the illuminated subject and the dimmer background, capturing the sparkle of the shoes and sheen of the fabric""
    },
    ""camera_technical"": {
      ""perspective"": ""Eye-level to slightly low angle full shot"",
      ""focal_length"": ""35mm for a lifestyle snapshot feel"",
      ""quality"": ""Ultra photorealistic, 8K resolution, sharp focus on subject"",
      ""textures"": ""Detailed fabric weave on the gingham, realistic glitter texture on shoes, skin texture visibility""
    }
  }
}",https://x.com/l_w_lorenzen/status/2013609477782806545,2026-01-20T13:48:05.000Z,"{""name"":""Lore"",""link"":""https://x.com/l_w_lorenzen""}","[""https://pbs.twimg.com/media/G_HHH0iWYAAbhhq.jpg"",""https://pbs.twimg.com/media/G_AihfGXQAA5J6l.jpg""]"
Urban Photo-Collage Caricature Style Prompt,"A simple, short prompt designed to generate an image in an urban photo-collage caricature style.",Urban photo-collage caricature,https://x.com/AmirMushich/status/2013701196016423313,2026-01-20T19:52:32.000Z,"{""name"":""AmirMušić"",""link"":""https://x.com/AmirMushich""}","[""https://pbs.twimg.com/media/G_IakNOWIAAuDxI.jpg""]"
Simple Nano Banana Prompt for Urban Caricature,"A very short, high-level prompt for Nano Banana, instructing the model to transform any person into an urban caricature style.",Any person to urban caricature,https://x.com/youraipulse/status/2013704210848616590,2026-01-20T20:04:31.000Z,"{""name"":""AI Pulse"",""link"":""https://x.com/youraipulse""}","[""https://pbs.twimg.com/media/G_IdQDcXEAAv8up.jpg"",""https://pbs.twimg.com/media/G_IdQ6UWoAAvqXo.jpg"",""https://pbs.twimg.com/media/G_IdR1nW4AA5Vru.jpg"",""https://pbs.twimg.com/media/G_IdShkXwAACvUh.jpg"",""https://pbs.twimg.com/media/G_IakNOWIAAuDxI.jpg""]"
Photorealistic Cat Burglar Lifestyle Editorial,"A highly detailed JSON prompt for Nano Banana Pro generating a photorealistic lifestyle editorial image of a female subject in a glossy black latex catsuit (Catwoman-inspired) lounging in a lived-in, cozy apartment bedroom. The prompt specifies iPhone 15 Pro Max camera settings, natural daylight, and a focus on realistic textures and natural imperfections, avoiding a staged or cinematic look.","{
  ""meta"": {
    ""aspect_ratio"": ""9:16"",
    ""orientation"": ""vertical"",
    ""quality"": ""ultra_photoreal"",
    ""resolution"": ""8k"",
    ""camera"": ""iPhone 15 Pro Max"",
    ""lens"": ""24mm wide"",
    ""capture_style"": ""handheld phone photo (NOT selfie), slight natural hand micro-shake, realistic iPhone HDR"",
    ""style"": ""photoreal lifestyle cosplay editorial, natural skin texture, realistic indoor light""
  },

  ""scene"": {
    ""time_of_day"": ""daytime (late morning)"",
    ""location"": ""real apartment bedroom"",
    ""setting_details"": {
      ""bed"": ""queen bed with slightly wrinkled white sheets and a beige duvet, pillows slightly messy"",
      ""room_fill"": [
        ""nightstand with a book stack + phone charger + water glass"",
        ""soft throw blanket draped over chair"",
        ""laundry basket in corner (tidy but visible)"",
        ""dresser with a small mirror and perfume bottles"",
        ""houseplant near window"",
        ""framed art on wall"",
        ""curtains half-open with sunlight streaks"",
        ""a pair of boots near the bed (subtle, not staged)""
      ],
      ""vibe"": ""lived-in, real, cozy but stylish""
    },
    ""background"": {
      ""look"": ""realistic clutter balance (not messy, not minimal showroom)"",
      ""avoid_readable_text"": true
    }
  },

  ""lighting"": {
    ""type"": ""natural daylight"",
    ""key_light"": ""soft window light from one side, diffused through curtain"",
    ""fill_light"": ""gentle ambient room bounce"",
    ""shadow_behavior"": ""soft natural shadows, no harsh studio look"",
    ""exposure"": ""real iPhone HDR feel, highlights protected, blacks not crushed""
  },

  ""photography"": {
    ""shot_type"": ""3/4 body on bed (realistic phone photo framing)"",
    ""angle"": ""slightly above bed height, standing beside bed perspective"",
    ""composition"": ""subject on the bed, room context clearly visible (nightstand + window + dresser in frame)"",
    ""depth_of_field"": ""moderate (subject sharp, background slightly softened like iPhone portrait but not fake blur)"",
    ""realism_notes"": [
      ""natural lens distortion typical of phone wide lens (minimal, not stretched)"",
      ""skin texture visible (pores), realistic latex reflections"",
      ""no cinematic teal/orange grade""
    ]
  },

  ""subject"": {
    ""gender"": ""female"",
    ""age"": ""early-to-mid 20s (clearly adult)"",
    ""look"": ""cat burglar inspired (Catwoman-like), high-fashion cosplay realism"",
    ""expression"": {
      ""eyes"": ""direct eye contact, playful confident gaze"",
      ""mouth"": ""subtle smirk, relaxed"",
      ""overall"": ""calm, teasing, in control""
    },

    ""pose"": {
      ""position"": ""lounging diagonally across the bed"",
      ""legs"": ""one leg slightly bent, relaxed elegance"",
      ""arms"": ""one arm above head on pillow, other hand lightly holding a coiled whip near hip (subtle)"",
      ""head"": ""slight tilt toward camera""
    },

    ""wardrobe"": {
      ""catsuit"": {
        ""type"": ""black glossy latex catsuit, skin-tight, high-neck",https://x.com/bananababydoll/status/2013656845403984262,2026-01-20T16:56:18.000Z,"{""name"":""babydoll"",""link"":""https://x.com/bananababydoll""}","[""https://pbs.twimg.com/media/G_HxyebWkAY0crL.jpg"",""https://pbs.twimg.com/media/G_HxyegWkAIYs-0.jpg""]"
Seductive Office Lady in High-End Corporate Setting Prompt,"A structured JSON prompt for Nano Banana Pro to generate a photorealistic image of a stunning Asian female model in a seductive Office Lady uniform (tight white shirt, micro-miniskirt, sheer dark blue floral lace thigh-high stockings). The scene is set in a modern high-end corporate office with a blurred city skyline background, emphasizing cinematic soft lighting and highly detailed features.","{
  ""prompt_data"": {
    ""subject"": {
      ""basics"": ""1girl, solo"",
      ""demographics"": ""Stunning 20s Asian female idol style, tall fashion model proportions"",
      ""hair"": ""Very long straight black hair with full bangs"",
      ""eyes"": ""Large, round, piercing eyes"",
      ""skin"": ""Flawless pale skin"",
      ""expression"": ""Cute yet seductive expression looking at viewer""
    },
    ""attire"": {
      ""main_outfit"": {
        ""item"": ""Seductive Office Lady uniform"",
        ""details"": [
          ""Tight white button-up shirt"",
          ""Black micro-miniskirt"",
          ""Skirt hem cut extremely high"",
          ""Professional yet alluring silhouette""
        ],
        ""branding"": ""None""
      },
      ""legwear"": [
        ""Sheer dark blue thigh-high stockings"",
        ""Intricate floral lace pattern on stockings"",
        ""Dark blue lace garter belt with suspenders""
      ]
    },
    ""accessories"": {
      ""style"": ""Luxurious gold accessories"",
      ""items"": [
        ""Slim gold watch"",
        ""Delicate gold chain necklace with ruby pendant"",
        ""Long gold chain earrings""
      ]
    },
    ""pose_and_action"": {
      ""posture"": ""Sitting gracefully on the edge of an office desk"",
      ""interaction"": ""Legs crossed elegantly""
    },
    ""environment"": {
      ""setting"": ""Modern high-end corporate office interior"",
      ""background_elements"": ""Blurred city skyline through floor-to-ceiling glass windows, sleek office furniture""
    },
    ""style_and_technical"": [
      ""Subtle shadows"",
      ""Cinematic soft lighting"",
      ""Highly detailed face and eyes"",
      ""Realistic materials"",
      ""Photorealistic"",
      ""Sharp focus"",
      ""8k"",
      ""3:4""
    ]
  }
}",https://x.com/BeautyVerse_Lab/status/2013787423134884005,2026-01-21T01:35:10.000Z,"{""name"":""BeautyVerse"",""link"":""https://x.com/BeautyVerse_Lab""}","[""https://pbs.twimg.com/media/G_Jo-4maoAUligr.jpg""]"
Dramatic Black-and-White Studio Portrait of a Stylish Man,"A prompt for generating a photorealistic monochrome studio portrait of a stylish man in side profile. It emphasizes high-contrast chiaroscuro lighting, round metal-frame sunglasses, and sharp focus on fine skin texture, aiming for a timeless, elegant cinematic fashion editorial style using an 85mm lens aesthetic.","{
  ""image_generation_prompt"": ""A dramatic black-and-white studio portrait of a stylish man in side profile. He is wearing round metal-frame sunglasses, has neatly groomed slicked-back hair, and a short, well-defined beard. The subject features a strong jawline and a calm, confident expression. Lighting is high-contrast with soft shadows sculpting the facial features against a deep black background. Minimalist composition, ultra-sharp focus on fine skin texture, cinematic fashion editorial style. 85mm lens aesthetic with shallow depth of field and professional studio lighting. Mood is timeless and elegant."",
  ""aspect_ratio"": ""4:5"",
  ""style"": ""photorealistic_monochrome"",
  ""technical_details"": {
    ""lens"": ""85mm"",
    ""lighting"": ""chiaroscuro studio lighting"",
    ""color_palette"": ""black and white"",
    ""focus"": ""sharp detail on skin and hair""
  }
}",https://x.com/Taaruk_/status/2013620820929847698,2026-01-20T14:33:09.000Z,"{""name"":""Taaruk"",""link"":""https://x.com/Taaruk_""}","[""https://pbs.twimg.com/media/G_HRc71XcAATgc5.jpg""]"
Quiet Luxury Travel Photography on the Amalfi Coast,"A detailed prompt for generating a photorealistic travel influencer aesthetic image, capturing a young elegant woman leaning on a white stone railing on the Amalfi Coast. The scene emphasizes quiet luxury through her outfit (maroon knit top, beige tailored trousers) and the background details of Positano, using bright natural sunlight and high-resolution 8K quality.","{
  ""image_generation_prompt"": {
    ""subject"": {
      ""main"": ""Young elegant woman with long dark wavy hair"",
      ""features"": ""Symmetrical face, natural skin texture, confident expression, wearing oversized dark gradient sunglasses"",
      ""jewelry"": ""Delicate gold pendant necklace, thin gold bracelet on wrist""
    },
    ""outfit"": {
      ""top"": ""Maroon burgundy ribbed knit short-sleeve button-down top, v-neck style, tucked in"",
      ""bottom"": ""Beige high-waisted tailored trousers, pleated front, wide leg"",
      ""accessories"": ""Matching beige belt with a rectangular gold buckle, white structured leather handbag with gold hardware""
    },
    ""pose_and_action"": {
      ""stance"": ""Standing casually leaning against a white stone balcony railing"",
      ""framing"": ""Medium shot to knee-level crop"",
      ""interaction"": ""One hand resting on the railing, relaxed posture""
    },
    ""environment"": {
      ""location"": ""{argument name=""location"" default=""Amalfi Coast, Positano, Italy""}"",
      ""background_details"": ""Scenic cliffside village with colorful pastel buildings, steep coastline, distant mountains"",
      ""water"": ""Deep blue Mediterranean sea, small white boats and yachts in the distance"",
      ""lighting"": ""Bright natural sunlight, summer afternoon, clear sky, soft shadows""
    },
    ""technical_specs"": {
      ""style"": ""Lifestyle photography, travel influencer aesthetic, quiet luxury, photorealistic"",
      ""camera"": ""Shot on 35mm DSLR, 50mm lens, f/2.8 for slight depth of field"",
      ""resolution"": ""8k, ultra-detailed, sharp focus, high dynamic range (HDR)"",
      ""aspect_ratio"": ""--ar 9:16"",
      ""size_setting"": ""--stylize 750 --quality 2""
    }
  }
}",https://x.com/Inshi0123/status/2013529716746076452,2026-01-20T08:31:08.000Z,"{""name"":""Inshi 🌼"",""link"":""https://x.com/Inshi0123""}","[""https://pbs.twimg.com/media/G_F-mkHXkAAq3nZ.jpg"",""https://pbs.twimg.com/media/G_F-meWWsAAJITe.jpg"",""https://pbs.twimg.com/media/G_F-memXoAAvY7T.jpg"",""https://pbs.twimg.com/media/G_F-mjvXIAADSNh.jpg""]"
Celebrity Comparison Photoshoot in Autumnal Forest (Urdu/English Hybrid),"A detailed, structured prompt written in a mix of English and Urdu/Hindi (romanized) for generating a comparison image featuring Sydney Sweeney and Ana de Armas in an autumnal pine forest setting. Both subjects wear similar dark ribbed sweaters and denim, emphasizing golden hour lighting, rim lighting, and specific fashion details like a Gucci belt buckle.","{
  ""project_details"": {
    ""title"": ""Celebrity Forest Photoshoot Comparison"",
    ""style_theme"": ""Autumnal Aesthetic / Golden Hour"",
    ""location_type"": ""Pine Forest / Woodland""
  },
  ""visual_elements"": {
    ""background_analysis"": {
      ""trees"": ""Oonche aur seedhe darakht (Pine trees), jin par sunehri roshni par rahi hai."",
      ""lighting_effect"": ""Bokeh effect aur 'Rim lighting' jo balon ke kinaron ko chamka rahi hai."",
      ""ground"": ""Khushk patte aur ghaas (Dry foliage).""
    },
    ""subject_comparison"": [
      {
        ""person"": ""{argument name=""first person"" default=""Sydney Sweeney""}"",
        ""hair"": ""Blonde (Sunehri), darmiyan se split kiye hue."",
        ""expression"": ""Halki muskurahat aur pur-aitamaad (Confident) pose.""
      },
      {
        ""person"": ""{argument name=""second person"" default=""Ana de Armas""}"",
        ""hair"": ""Brunette (Gehray bhuray), seedhe aur chamakdar."",
        ""expression"": ""Sanjeeda lekin naram (Soft) facial expression.""
      }
    ]
  },
  ""wardrobe_breakdown"": {
    ""clothing"": {
      ""upper_wear"": ""Dark charcoal grey ribbed sweater, off-the-shoulder neckline, fold-over collar style."",
      ""lower_wear"": ""Faded light blue denim, classic 5-pocket style, high-rise waist.""
    },
    ""branding"": {
      ""belt"": ""Signature Gucci Leather Belt jis mein 'Double G' antique gold hardware hai."",
      ""jewelry"": ""Small gold hoops aur ek minimalist silver/gold chain necklace.""
    },
    ""grooming"": {
      ""makeup"": ""Natural 'No-makeup' look, neutral lipstick."",
      ""manicure"": ""Classic red (Surkh) nail color.""
    }
  },
  ""technical_data"": {
    ""frame_composition"": ""Waist-up portrait (Kamar tak ki tasveer)."",
    ""focal_point"": ""Subject ki aankhen aur belt buckle."",
    ""color_palette"": [
      ""Golden Yellow"",
      ""Forest Green"",
      ""Charcoal Grey"",
      ""Denim Blue"",
      ""Bold Red""
    ]
  }
}",https://x.com/TzqQaiser/status/2013576333276913769,2026-01-20T11:36:22.000Z,"{""name"":""Qaiser Tzq"",""link"":""https://x.com/TzqQaiser""}","[""https://pbs.twimg.com/media/G_Go-l1XEAAHztL.jpg"",""https://pbs.twimg.com/media/G_Go-l7XMAAXP_D.jpg""]"
Hyper-Realistic Indian Man Exiting Luxury SUV,"A prompt for generating a hyper-realistic, 8K image of a handsome Indian man in his mid-twenties, wearing a sleek black tuxedo with a burgundy silk shirt, as he exits a luxurious black SUV. The scene uses soft, natural lighting with a cinematic feel and a blurry urban background to emphasize the subject's confident and stylish expression.","{
""action"": ""image_generation"",
""action_input"": ""{'prompt': ' A full-body Shot of a handsome
Indian boy in his late 24s, wearing a sleek black tuxedo with a burgundy silk shirt and a black tie, He is getting out of a luxurious
black SUV, The man has a confident and stylish expression.The background is a blurry urban scene with subtle details of a modern building. The lighting is soft and natural, with a cinematic feel. High-resolution, hyper-realistic, 8k, professional photography.",https://x.com/Sareem48/status/2013578554546516297,2026-01-20T11:45:12.000Z,"{""name"":""𝗦𝗮𝗿𝗶𝗺"",""link"":""https://x.com/Sareem48""}","[""https://pbs.twimg.com/media/G_GrA9mWoAAICmk.jpg""]"
