title,description,content,sourceLink,sourcePublishedAt,author,sourceMedia
Luxury Editorial Paparazzi Style Image Editing Prompt for Nano Banana Pro,"A highly specific image editing prompt for Nano Banana Pro, intended to transform an existing image into a luxury editorial, paparazzi-style photograph. The prompt requires strict preservation of the original facial identity while adding specific high-fashion elements: a light gray pinstriped double-breasted suit, dark sunglasses, luxury accessories (wristwatch, chain bracelet), and props (cigar). The scene is set at a sophisticated outdoor café.","{
  ""type"": ""image_editing_prompt"",
  ""language"": ""English"",
  ""style"": ""luxury editorial, paparazzi-style street photography"",
  ""aspect_ratio"": ""4:5"",
  ""identity_preservation"": {
    ""use_reference_image"": true,
    ""strict_identity_lock"": true,
    ""notes"": ""Preserve 100% of the original facial identity, structure, proportions, skin texture, and expression from the uploaded reference image. No facial alterations.""
  },
  ""subject"": {
    ""gender"": ""female"",
    ""expression"": ""confident, serious, mysterious"",
    ""appearance"": {
      ""eyewear"": ""dark, thick-rimmed sunglasses concealing the eyes"",
      ""hair"": ""unchanged from reference image""
    },
    ""clothing"": {
      ""suit"": {
        ""color"": ""light gray / silver"",
        ""pattern"": ""fine vertical pinstripes"",
        ""jacket"": ""double-breasted with two rows of dark buttons"",
        ""trousers"": ""matching gray pinstriped fabric""
      },
      ""shirt"": ""white dress shirt"",
      ""tie"": ""dark red tie"",
      ""pocket_square"": ""dark red, neatly folded""
    },
    ""accessories"": [
      ""oversized luxury wristwatch with gold bezel on left wrist"",
      ""wide heavy gold chain bracelet on left wrist"",
      ""ring on the ring finger of the right hand""
    ],
    ""props"": {
      ""right_hand"": ""holding a thick cigar between the fingers"",
      ""left_hand"": ""holding a small white object (possibly a lighter)""
    },
    ""pose"": {
      ""position"": ""seated on a woven rattan/wicker café chair"",
      ""body_language"": ""leaning slightly forward"",
      ""elbow_position"": ""right elbow resting on a small round table""
    }
  },
  ""shot"": {
    ""type"": ""close-up to medium close-up"",
    ""framing"": ""chest level and above"",
    ""focus"": ""subject is the absolute focal point""
  },
  ""environment"": {
    ""setting"": ""sophisticated outdoor café or restaurant terrace""",https://x.com/l_w_lorenzen/status/2013639683927167453,2026-01-20T15:48:06.000Z,"{""name"":""Lore"",""link"":""https://x.com/l_w_lorenzen""}","[""https://pbs.twimg.com/media/G_Hif1SWYAAC-7i.jpg"",""https://pbs.twimg.com/media/G_E_6ufX0AAsVDt.jpg""]"
Elegant Autumn City Park Editorial Scene,"A descriptive prompt for creating a refined, cinematic editorial image set in a quiet city park during late autumn. The prompt focuses on the mood (calm, elegant, introspective), the subject's styling (black long-sleeve mini dress with floral embroidery, sheer tights, classic heels), and the environment (overcast sky, scattered fallen leaves, minimalist metal bench). It specifies a shallow depth of field and cool, neutral color grading for a Parisian-inspired aesthetic.","""Create a refined editorial-style scene set in a quiet city park during {argument name=""season"" default=""late autumn""}. The subject is seated sideways on a minimalist metal bench, posture relaxed yet intentional, one leg extended and the other gently bent, heels resting on textured stone paving. Fallen leaves scatter around the ground, bare tree branches framing the background under a soft, overcast sky. The subject’s head is turned slightly away from the camera, suggesting introspection, with one hand resting near the bench edge and the other subtly adjusting hair or holding a small structured handbag. The overall mood is calm, elegant, and cinematic, with muted natural tones and a shallow depth of field that keeps focus on the subject while softly blurring the park surroundings.

Style the subject in a fitted black long-sleeve mini dress with delicate cream floral embroidery, sheer black tights, and classic black pointed heels. Hair is long, dark, and softly flowing, catching a light breeze. Makeup is natural with defined eyes, enhancing a timeless, Parisian-inspired elegance. The color grading leans cool and neutral, emphasizing contrast between the dark outfit and pale autumn leaves, evoking quiet confidence and femininity.""",https://x.com/bananaprompts/status/2013682129465397388,2026-01-20T18:36:46.000Z,"{""name"":""Banana Prompts"",""link"":""https://x.com/bananaprompts""}","[""https://pbs.twimg.com/media/G_IIVMPWEAA0R--.jpg""]"
Modernized Dorothy Gale Aesthetic with Direct Flash,"A highly detailed, photorealistic prompt generating a full-body image of a young woman in a modernized Dorothy Gale costume (blue gingham mini dress, ruby red glitter pumps). The scene is set in a semi-outdoor courtyard at night, utilizing direct on-camera flash photography to create hard lighting, high contrast, and a distinct shadow on the wall behind the subject.","{
  ""prompt_structure"": {
    ""subject"": {
      ""demographics"": ""Young female adult with a slender, fit physique"",
      ""hair"": ""Long dark brown hair styled in two playful braids (pigtails) resting on shoulders"",
      ""face"": ""Soft, attractive features with a slight smile, gazing upwards to the right, wearing bright red lipstick and subtle eye makeup""
    },
    ""outfit"": {
      ""costume_theme"": ""Modernized Dorothy Gale from Wizard of Oz aesthetic"",
      ""dress"": ""Blue and white gingham check mini dress featuring a corset-style bodice with vertical boning, sweetheart neckline, and white lace ruffle trim at the hem and neckline"",
      ""legwear"": ""Opaque white knee-high stockings featuring large light blue satin bows at the top cuffs"",
      ""footwear"": ""Sparkling ruby red glitter pumps (heels) with ankle straps (Mary Jane style)""
    },
    ""accessories"": {
      ""hair"": ""Red satin ribbons tied into bows at the base of each braid"",
      ""handheld"": ""Holding a beige woven straw tote bag/basket in the right hand""
    },
    ""pose_and_action"": {
      ""stance"": ""Full-body standing pose, legs crossed at the ankles in a playful manner"",
      ""arms"": ""Right arm extended down holding the bag, left arm slightly bent and extended back as if balancing or leaning"",
      ""expression"": ""Charming, confident, and whimsical mood""
    },
    ""environment"": {
      ""setting"": ""Semi-outdoor patio or courtyard entrance at night"",
      ""architecture"": ""Large wooden double doors with glass panels in the background, white stucco walls, dark wooden support pillar in the foreground"",
      ""details"": ""Terracotta tiled flooring, faint glimpse of a railing and indoor plants in the background, a large mirror frame visible on the far left edge""
    },
    ""lighting"": {
      ""style"": ""Direct on-camera flash photography"",
      ""characteristics"": ""Hard lighting creating a distinct shadow of the subject on the wall behind, high contrast between the illuminated subject and the dimmer background, capturing the sparkle of the shoes and sheen of the fabric""
    },
    ""camera_technical"": {
      ""perspective"": ""Eye-level to slightly low angle full shot"",
      ""focal_length"": ""35mm for a lifestyle snapshot feel"",
      ""quality"": ""Ultra photorealistic, 8K resolution, sharp focus on subject"",
      ""textures"": ""Detailed fabric weave on the gingham, realistic glitter texture on shoes, skin texture visibility""
    }
  }
}",https://x.com/l_w_lorenzen/status/2013609477782806545,2026-01-20T13:48:05.000Z,"{""name"":""Lore"",""link"":""https://x.com/l_w_lorenzen""}","[""https://pbs.twimg.com/media/G_HHH0iWYAAbhhq.jpg"",""https://pbs.twimg.com/media/G_AihfGXQAA5J6l.jpg""]"
Dynamic K-Pop Idol Running in a Flower Field,"A structured prompt designed to generate a photorealistic image of a cute young Asian female with a K-pop idol aesthetic. The subject has long, wavy pastel pink hair and is captured in a dynamic running pose through a field of cosmos flowers, emphasizing soft natural lighting, a pastel palette, and a dreamy atmosphere.","{
  ""prompt_data"": {
    ""subject"": {
      ""basics"": ""1girl, solo"",
      ""demographics"": ""Cute young Asian female, K-pop idol aesthetic"",
      ""hair"": ""Long wavy pastel pink hair, windblown, dynamic motion"",
      ""eyes"": ""Bright brown eyes, soft gaze"",
      ""skin"": ""Fair skin, glowing complexion"",
      ""expression"": ""Happy beaming smile, energetic, looking at viewer""
    },
    ""attire"": {
      ""main_outfit"": {
        ""item"": ""Haze blue and oatmeal casual spring outfit"",
        ""details"": [
          ""Haze blue off-shoulder loose sweatshirt"",
          ""Oatmeal tank top strap visible"",
          ""Haze blue and oatmeal plaid pleated mini skirt"",
          ""Oatmeal chunky lace-up combat boots""
        ],
        ""branding"": """"
      },
      ""legwear"": [
        ""Bare legs""
      ]
    },
    ""accessories"": {
      ""style"": ""Trendy cute accessories"",
      ""items"": [
        ""Small oatmeal leather waist bag/pouch"",
        ""Oatmeal belt"",
        ""Small hoop earrings"",
        ""Delicate silver necklace""
      ]
    },
    ""pose_and_action"": {
      ""posture"": ""Dynamic running pose, mid-stride, side profile body turning to front"",
      ""interaction"": ""Running joyfully through a flower field, hair and clothes flowing in wind""
    },
    ""environment"": {
      ""setting"": ""Outdoor spring meadow during the day"",
      ""background_elements"": ""Field of colorful cosmos flowers (yellow, pink, white), grassy ground, strong depth of field (bokeh background)""
    },
    ""style_and_technical"": [
      ""Soft natural lighting"",
      ""Muted pastel color palette"",
      ""Dreamy atmosphere"",
      ""Photorealistic"",
      ""Sharp focus on subject"",
      ""High quality"",
      ""8k"",
      ""3:4""
    ]
  }
}",https://x.com/BeautyVerse_Lab/status/2013820460014936437,2026-01-21T03:46:27.000Z,"{""name"":""BeautyVerse"",""link"":""https://x.com/BeautyVerse_Lab""}","[""https://pbs.twimg.com/media/G_KHB7DaoAEXwjr.jpg"",""https://pbs.twimg.com/media/G_KHB7lXwAAohFa.jpg""]"
Dramatic Red Dress in Snowy Birch Forest,"A descriptive prompt for generating a cinematic, high-contrast image. It features a woman with long hair, seen from the back, wearing a vibrant, bright red backless long dress in a deep winter birch forest covered in snow. The prompt emphasizes the strong visual impact created by the warm red dress against the cold blue snowscape.","一位长发披肩的女子背向镜头，身穿一件鲜艳亮红色的露背长裙曳地礼服，优雅地伫立在深冬的白桦林雪地中。

裙子设计独特，大露背剪裁勾勒出优雅的背部线条，修长的袖子随身形垂落。

四周环绕着笔直高耸的白桦树林，地面覆盖着厚厚的积雪，雪地在光线下呈现出清冷的淡蓝色。身旁有一条木质栈道穿过树影，画面色调冷暖对比极强，亮红色的裙摆在冰冷的蓝色雪景中形成强烈的视觉冲击力，充满电影般的唯美氛围。",https://x.com/joshesye/status/2013508391298310480,2026-01-20T07:06:24.000Z,"{""name"":""行者AI视频"",""link"":""https://x.com/joshesye""}","[""https://pbs.twimg.com/media/G_Fq1J0XIAAJ3WT.jpg"",""https://pbs.twimg.com/media/G_Fq1JyXIAAW0ay.jpg"",""https://pbs.twimg.com/media/G_Fq1JzWkAAUwYZ.jpg"",""https://pbs.twimg.com/media/G_Fq1J6XgAAiMhN.jpg""]"
Google Nano Banana 64th Work: 'Habits of Adventurers',"This tweet discusses the 64th work created using Google Nano Banana, titled 'Habits of Adventurers.' The creator manually reconstructed a four-panel comic strip that ignored the vertical stacking instruction and instead moved horizontally. The image depicts adventurers gathering like moths to a streetlamp, drawn to a mysterious stone, suggesting a scene from a fantasy game where players would instinctively 'investigate' such an object.",Google Nano Banana 64作目「冒険者の習性」,https://x.com/pt20121/status/2013573992171360671,2026-01-20T11:27:04.000Z,"{""name"":""pt2012"",""link"":""https://x.com/pt20121""}","[""https://pbs.twimg.com/media/G_Gm3t8WYAAaNEF.jpg""]"
Abstract Chinese Landscape Miniatures Prompt,"A Chinese prompt for generating miniature landscapes in an abstract Chinese aesthetic style. The prompt specifies a close-up shot of a miniature landscape with the texture of jade and emerald, outlined in gold thread, featuring a minimalist Chinese pavilion on the mountains and a small boat on a jade river, rendered in a clean, product-level style suitable for a brochure cover.",微缩景观，特写镜头，抽象中式山水，东方美学意境，玉与翡翠质感，金线描边，群山之上有一个中式极简亭子，一只小船在玉做的河中，简约风格设计，宣传册封面，产品级渲染效果,https://x.com/TanShilong/status/2013607884643606679,2026-01-20T13:41:45.000Z,"{""name"":""MarioTan"",""link"":""https://x.com/TanShilong""}","[""https://pbs.twimg.com/media/G_HFp6qXQAAH9uY.jpg"",""https://pbs.twimg.com/media/G_HFp65XEAAXQiW.jpg"",""https://pbs.twimg.com/media/G_HFp6wXcAA1Qvt.jpg"",""https://pbs.twimg.com/media/G_HFp6vXkAARt0f.jpg""]"
Celebrity Comparison Photoshoot in Autumnal Forest (Urdu/English Hybrid),"A detailed, structured prompt written in a mix of English and Urdu/Hindi (romanized) for generating a comparison image featuring Sydney Sweeney and Ana de Armas in an autumnal pine forest setting. Both subjects wear similar dark ribbed sweaters and denim, emphasizing golden hour lighting, rim lighting, and specific fashion details like a Gucci belt buckle.","{
  ""project_details"": {
    ""title"": ""Celebrity Forest Photoshoot Comparison"",
    ""style_theme"": ""Autumnal Aesthetic / Golden Hour"",
    ""location_type"": ""Pine Forest / Woodland""
  },
  ""visual_elements"": {
    ""background_analysis"": {
      ""trees"": ""Oonche aur seedhe darakht (Pine trees), jin par sunehri roshni par rahi hai."",
      ""lighting_effect"": ""Bokeh effect aur 'Rim lighting' jo balon ke kinaron ko chamka rahi hai."",
      ""ground"": ""Khushk patte aur ghaas (Dry foliage).""
    },
    ""subject_comparison"": [
      {
        ""person"": ""{argument name=""first person"" default=""Sydney Sweeney""}"",
        ""hair"": ""Blonde (Sunehri), darmiyan se split kiye hue."",
        ""expression"": ""Halki muskurahat aur pur-aitamaad (Confident) pose.""
      },
      {
        ""person"": ""{argument name=""second person"" default=""Ana de Armas""}"",
        ""hair"": ""Brunette (Gehray bhuray), seedhe aur chamakdar."",
        ""expression"": ""Sanjeeda lekin naram (Soft) facial expression.""
      }
    ]
  },
  ""wardrobe_breakdown"": {
    ""clothing"": {
      ""upper_wear"": ""Dark charcoal grey ribbed sweater, off-the-shoulder neckline, fold-over collar style."",
      ""lower_wear"": ""Faded light blue denim, classic 5-pocket style, high-rise waist.""
    },
    ""branding"": {
      ""belt"": ""Signature Gucci Leather Belt jis mein 'Double G' antique gold hardware hai."",
      ""jewelry"": ""Small gold hoops aur ek minimalist silver/gold chain necklace.""
    },
    ""grooming"": {
      ""makeup"": ""Natural 'No-makeup' look, neutral lipstick."",
      ""manicure"": ""Classic red (Surkh) nail color.""
    }
  },
  ""technical_data"": {
    ""frame_composition"": ""Waist-up portrait (Kamar tak ki tasveer)."",
    ""focal_point"": ""Subject ki aankhen aur belt buckle."",
    ""color_palette"": [
      ""Golden Yellow"",
      ""Forest Green"",
      ""Charcoal Grey"",
      ""Denim Blue"",
      ""Bold Red""
    ]
  }
}",https://x.com/TzqQaiser/status/2013576333276913769,2026-01-20T11:36:22.000Z,"{""name"":""Qaiser Tzq"",""link"":""https://x.com/TzqQaiser""}","[""https://pbs.twimg.com/media/G_Go-l1XEAAHztL.jpg"",""https://pbs.twimg.com/media/G_Go-l7XMAAXP_D.jpg""]"
8K 3D Illustration of Anthropomorphic Bees (Gym and Relaxing),"A complex prompt structured into two modules for generating 8K, high-end AI-generated 3D illustrations of anthropomorphic bees. The first module depicts a bee lifting weights in a natural setting, and the second shows a relaxed bee in sunglasses holding a Pepsi can on a lounge chair, emphasizing physically based rendering and extreme detail clarity.","{
  ""master_prompt"": {
    ""global_settings"": {
      ""resolution"": ""8K"",
      ""aspect_ratio"": ""3:4"",
      ""render_style"": ""high-end AI-generated 3D illustration"",
      ""image_quality"": ""ultra-sharp, cinematic depth, physically based rendering"",
      ""lighting_quality"": ""soft global illumination with realistic shadows"",
      ""focus"": ""extreme detail clarity, shallow depth of field where applicable""
    },

    ""module_1"": {
      ""scene_identity"": ""Bee lifting weights in nature"",
      ""subject"": {
        ""type"": ""anthropomorphic bee"",
        ""body"": ""fuzzy yellow and black striped body"",
        ""eyes"": ""large glossy black eyes"",
        ""antennae"": ""two thin black curved antennae"",
        ""wings"": ""semi-transparent wings with visible vein patterns"",
        ""expression"": ""neutral to slightly cheerful""
      },
      ""pose_action"": {
        ""stance"": ""standing upright on two legs"",
        ""arms"": ""both arms raised holding a barbell"",
        ""object_interaction"": ""holding a metal barbell with circular weight plates on both ends""
      },
      ""environment"": {
        ""setting"": ""outdoor natural environment"",
        ""ground"": ""small dirt path or rock surface"",
        ""surroundings"": ""flowers on both sides"",
        ""background"": ""blurred trees and foliage""
      },
      ""lighting"": {
        ""type"": ""soft natural daylight"",
        ""direction"": ""top-center glow"",
        ""effects"": ""light haze and floating particles""
      },
      ""color_palette"": {
        ""dominant_colors"": [""yellow"", ""black"", ""green"", ""orange""],
        ""accent_colors"": [""soft pink"", ""warm brown""]
      },
      ""camera"": {
        ""angle"": ""eye-level"",
        ""framing"": ""full body centered"",
        ""depth_of_field"": ""foreground sharp, background softly blurred""
      }
    },

    ""module_2"": {
      ""scene_identity"": ""Relaxed bee on chair with soda can"",
      ""subject"": {
        ""type"": ""anthropomorphic bee"",
        ""body"": ""dense fuzzy yellow and black stripes"",
        ""eyes"": ""hidden behind oversized black sunglasses"",
        ""antennae"": ""two black antennae extending upward""
      },
      ""pose_action"": {
        ""posture"": ""reclining"",
        ""legs"": ""one leg crossed over the other"",
        ""arms"": ""one arm resting on chair, other holding a can""
      },
      ""objects"": {
        ""chair"": ""wooden lounge chair with yellow fabric seat and backrest"",
        ""drink_can"": ""blue soda can with visible {argument name=""drink brand"" default=""Pepsi""} logo"",
        ""sunglasses"": ""large glossy black frames""
      },
      ""environment"": {
        ""setting"": ""studio-style minimal background"",
        ""background_color"": ""light neutral gray"",
        ""surface"": ""smooth floor""
      },
      ""lighting"": {
        ""type"": ""soft studio lighting"",
        ""shadow"": ""subtle shadow beneath chair""
      },
      ""color_palette"": {
        ""dominant_colors"": [""yellow"", ""blue"", ""black"", ""wood brown""]",https://x.com/meng_dagg695/status/2013431470610882809,2026-01-20T02:00:44.000Z,"{""name"":""ShaHid WaNii"",""link"":""https://x.com/meng_dagg695""}","[""https://pbs.twimg.com/media/G_ElPOQXIAA4-w8.jpg"",""https://pbs.twimg.com/media/G_ElPO4acAA1vGX.jpg"",""https://pbs.twimg.com/media/G_ElPZ3WQAAPeiS.jpg"",""https://pbs.twimg.com/media/G_ElPjpW4AA6I9h.jpg""]"
Ana de Armas Winter Luxury Fashion Editorial,"A prompt for generating a photorealistic fashion editorial image of a woman resembling Ana de Armas in a luxurious winter setting. She is posed against an open black SUV at an alpine ski resort, wearing a long beige tweed coat with voluminous fox fur trim, black leather shorts, and over-the-knee boots, emphasizing high definition and texture.","{
  ""prompt_structure"": {
    ""subject"": {
      ""type"": ""{argument name=""subject type"" default=""Ana de Armas""}"",
      ""appearance"": ""long wavy brunette hair with caramel highlights, soft glam makeup, neutral lipstick, smoky eyes"",
      ""pose"": ""leaning back against an open black SUV door, one hand resting on the door frame, standing with legs crossed at the ankles"",
      ""expression"": ""confident, alluring, direct eye contact""
    },
    ""apparel"": {
      ""outerwear"": ""long beige herringbone tweed coat, massive voluminous beige fox fur collar extending down the lapels, matching thick fur cuffs"",
      ""bottoms"": ""black leather high-waisted shorts"",
      ""footwear"": ""black suede over-the-knee boots, flat or low heel, silver buckle detail at the ankle"",
      ""styling"": ""winter luxury, mix of textures (fur, wool, leather, suede)""
    },
    ""environment"": {
      ""location"": ""upscale alpine ski resort"",
      ""background"": ""snow-covered mountain peaks, blurry wooden chalet architecture, pine trees, winter landscape"",
      ""foreground"": ""glossy black luxury SUV, door open showing interior leather details"",
      ""ground"": ""packed snow with tire tracks""
    },
    ""photography_style"": {
      ""type"": ""fashion editorial, lifestyle photography"",
      ""lighting"": ""soft natural winter daylight, diffuse cool tones, no harsh shadows"",
      ""composition"": ""full body shot, depth of field with slightly blurred background"",
      ""quality"": ""8k, high definition, photorealistic, sharp focus on texture of fur and coat""
    }
  }
}",https://x.com/TAB_TAB_HH/status/2013458208992469164,2026-01-20T03:46:59.000Z,"{""name"":""TJ"",""link"":""https://x.com/TAB_TAB_HH""}","[""https://pbs.twimg.com/media/G_E9kZlX0AAE8FL.jpg""]"
