id,title,description,content,sourceMedia,author,sourceLink,keywords
2,Lời nhắc hình ảnh tiêu đề phong cách vẽ tay từ ảnh,Lời nhắc cho hình ảnh tiêu đề vẽ tay về một người đang giới thiệu Nano Banana Pro,"Tạo lại hoàn chỉnh hình ảnh người đã tải lên.
Biến nó thành ảnh tiêu đề cho một bài viết ghi chú, trong đó người đó giới thiệu “Nano Banana Pro”.
Tỷ lệ khung hình: ngang 16:9.
Phong cách và màu sắc: đơn giản, phong cách vẽ tay, in nghiêng, với dải màu xanh lam và xanh lục.
Văn bản tiêu đề: “Giải thích chuyên sâu về AI mới của Google ‘Nano Banana Pro’”.","[""https://cms-assets.youmind.com/media/1763885651870_4szbai_G6VZiROagAAqsIh.jpg"",""https://cms-assets.youmind.com/media/1763885654537_qf6h9o_G6VZiRWaIAA_9x5.jpg""]","{""name"":""セミナー講師専門AIコンシェルジュ｜工藤 晶"",""url"":""https://x.com/akirakudo_ai""}",https://x.com/akirakudo_ai/status/1992096860765561190,Minh họa
30,Bài đăng trên mạng xã hội - Hình ảnh quảng cáo sách theo phong cách tàu hỏa,"Một lời nhắc chi tiết bằng tiếng Nhật để tạo quảng cáo theo phong cách sách kinh doanh tỷ lệ 16:9, có hình ảnh sách cụ thể với các điểm sao chép bằng tiếng Nhật.","Vui lòng tạo một hình ảnh quảng cáo.

==== Thông số quảng cáo ===
- Tỷ lệ khung hình: 16:9 (ngang)
- Sản phẩm quảng cáo: cuốn sách trong hình ảnh đính kèm đầu tiên
- Điểm nhấn chính: đặt cuốn sách từ hình ảnh đính kèm đầu tiên theo cách ba chiều
- Ngôn ngữ: tiếng Nhật
- Phong cách: quảng cáo sách kinh doanh

# Văn bản cần đưa vào:
- Văn bản trước tiêu đề: 【Tái bản đã được quyết định chỉ một tuần sau khi phát hành】

Sách “{argument name=""book_title_en"" default=""Designing from Zero with AI""}” hiện đang bán chạy.

Xếp hạng Bán chạy nhất trên Amazon
Xếp hạng số 1 về doanh số thiết kế thương mại (tính đến ngày 15/10)
https://t.co/QxbYpfFVj6","[""https://cms-assets.youmind.com/media/1763885539326_yao7in_G6WBYReawAAcp2x.jpg""]","{""name"":""KAWAI"",""url"":""https://x.com/kawai_design""}",https://x.com/kawai_design/status/1992142466255114727,"Sản phẩm, UI/UX"
38,Bài đăng trên mạng xã hội - Chân dung biên tập văn phòng lấy cảm hứng từ Ana de Armas,"Một JSON prompt cực kỳ chi tiết để tạo ra bức chân dung cận cảnh siêu thực, chất lượng ảnh bìa tạp chí về một người phụ nữ lấy cảm hứng từ Ana de Armas. Nó chỉ định trang phục hai mảnh màu đỏ rực rỡ, vóc dáng thể thao, làn da bóng bẩy với lớp mồ hôi nhẹ, và nền văn phòng mờ ảo với các chồng giấy tờ, sử dụng ánh sáng điện ảnh studio.","{
  ""type"": ""image_generation_prompt"",
  ""concept"": {
    ""description"": ""Chân dung cận cảnh siêu thực, chất lượng ảnh bìa tạp chí của một phụ nữ xinh đẹp với các đặc điểm lấy cảm hứng từ {argument name=\""celebrity name\"" default=\""Ana de Armas\""}"",
    ""intent"": ""Nhiếp ảnh thời trang cao cấp mang tính điện ảnh thực tế"",
    ""originality_note"": ""Chủ thể là người giống Ana de Armas, không phải bản sao chính xác""
  },
  ""subject"": {
    ""gender"": ""nữ"",
    ""age_range"": ""đầu những năm 30"",
    ""ethnicity"": ""Latina / lấy cảm hứng từ Cuba-Tây Ban Nha"",
    ""facial_features"": {
      ""structure"": ""khuôn mặt trái xoan mềm mại, gò má thanh tú, đường quai hàm tinh tế"",
      ""eyes"": ""đôi mắt to hình quả hạnh, màu nâu ấm áp, mí mắt thư thái"",
      ""lips"": ""môi đầy đặn, tự nhiên hơi hé mở"",
      ""expression"": ""uể oải, điềm tĩnh, quyến rũ tinh tế, tự tin thư thái""
    },
    ""body_visibility"": {
      ""framing"": ""chân dung cận cảnh kéo dài xuống dưới eo"",
      ""posture"": ""thẳng nhưng thư thái, tư thế chụp ảnh biên tập tự nhiên""
    }
  },
  ""body"": {
      ""build"": ""Thân hình săn chắc và thon gọn"",
      ""musculature"": [
        ""Cơ bụng rõ nét"",
        ""Cánh tay săn chắc"",
        ""Đùi săn chắc""
   },
  ""wardrobe"": {
    ""outfit_type"": ""trang phục hai mảnh"",
    ""color"": ""đỏ thẫm rực rỡ"",
    ""top"": {
      ""style"": ""ôm sát, tối giản, hợp thời trang"",
      ""fabric"": ""chất liệu mịn, hơi phản chiếu""
    },
    ""bottom"": {
      ""style"": ""váy ngắn"",
      ""fit"": ""ôm dáng, cắt may hiện đại"",
      ""visibility"": ""hiện rõ ràng dưới eo""
    }
  },
  ""skin_and_texture"": {
    ""skin_quality"": ""chi tiết cao, nhìn rõ lỗ chân lông tự nhiên"",
    ""finish"": ""bóng, rạng rỡ"",
    ""effect"": ""lớp mồ hôi hoặc dầu bóng nhẹ trên thân và ngực, tăng tính chân thực"",
    ""tone"": ""tông màu ấm áp, khỏe mạnh""
  },
  ""hair_and_makeup"": {
    ""hair"": {
      ""style"": ""tạo kiểu mềm mại, sóng lơi"",
      ""color"": ""nâu đậm"",
      ""texture"": ""bóng tự nhiên với chuyển động nhẹ""
    },
    ""makeup"": {
      ""style"": ""trang điểm quyến rũ kiểu biên tập"",
      ""details"": ""da căng bóng, mắt được định hình nhẹ nhàng, môi tự nhiên với một chút son bóng""
    }
  },
  ""background"": {
    ""environment"": ""bối cảnh trong nhà"",
    ""primary_elements"": [
      ""bề mặt bàn làm việc hoặc bàn"",
      ""các chồng giấy tờ""
    ],
    ""paper_details"": {
      ""brightness"": ""trắng sáng một phần"",
      ""arrangement"": ""hơi lộn xộn, các chồng giấy xếp lớp"",
      ""focus"": ""làm mờ nhẹ để duy trì sự nổi bật của chủ thể""
    },
    ""depth_of_field"": ""độ sâu trường ảnh nông, hiệu ứng bokeh điện ảnh""
  },
  ""lighting"": {
    ""style"": ""ánh sáng điện ảnh studio"",
    ""key_light"": ""mềm mại nhưng có hướng, làm nổi bật cấu trúc khuôn mặt"",
    ""fill_light"": ""ánh sáng lấp đầy nhẹ nhàng để giữ lại chi tiết da"",
    ""highlights"": ""nhấn nhá trên các vùng da bóng"",
    ""shadows"": ""mềm mại, có kiểm soát, độ tương phản kiểu tạp chí""
  },
  ""camera"": {
    ""shot_type"": ""chân dung cận cảnh"",
    ""lens"": ""ống kính cố định 85mm"",
    ""aperture"": ""f/1.8"",
    ""focus"": ""sắc nét tuyệt đối vào mắt"",
    ""sens""
  }
}","[""https://cms-assets.youmind.com/media/1768890657609_tc4s5n_G_DmfveWsAAMRrU.jpg"",""https://cms-assets.youmind.com/media/1768890657539_vhs88q_G_Dmf3UW8AEb1yc.jpg"",""https://cms-assets.youmind.com/media/1768890657668_k3r9rb_G_DmfxnXoAAlUIp.jpg"",""https://cms-assets.youmind.com/media/1768890658519_89hgql_G_Dmf7EXUAAH--v.jpg""]","{""name"":""KeorUnreal"",""url"":""https://x.com/KeorUnreal""}",https://x.com/KeorUnreal/status/2013362480471314461,"Chân dung, Nhiếp ảnh, Điện ảnh, Tối giản, Nhân vật, Thời trang, Thành phố, Văn bản, UI/UX"
48,Infographic / Hình ảnh giáo dục - Đồ họa thông tin và Lời nhắc chuyển động về Pizza nổ siêu thực,"Bộ lời nhắc này dùng để tạo ảnh chụp đồ ăn siêu thực tế, bao gồm một lời nhắc chuyển động cho việc tạo video (Kling AI) và hai lời nhắc hình ảnh: một cho lát pizza tiêu chuẩn, độ chi tiết cao, và một cho hình ảnh đồ họa thông tin (infographic) phân tách các lớp pizza.","Motion Prompt: Miếng pizza bắt đầu xoay tròn trong khi các nguyên liệu tách ra nhẹ nhàng và chính xác, giữ nguyên sự thẳng hàng và tỷ lệ. Chuyển động mượt mà, không có hiệu ứng phụ.

Hình ảnh 1: - Miếng pizza pepperoni đã chế biến siêu thực tế, được lắp ráp hoàn chỉnh, phô mai mozzarella tan chảy dẻo dai kéo sợi và chảy tràn qua các cạnh, những lát pepperoni giòn rụm ở trên, sốt cà chua đậm đà bên dưới, lớp vỏ nướng vàng óng dày dặn, lá húng quế tươi và gia vị nhẹ nhàng lơ lửng tinh tế phía trên, nền trắng tinh khiết, ánh sáng chụp ảnh thực phẩm thương mại chuyên nghiệp, bóng đổ tự nhiên mềm mại dưới miếng bánh, lấy nét sắc nét, chi tiết kết cấu cực kỳ rõ ràng, phô mai bóng bẩy, bề mặt vỏ giòn, chụp trong studio, bố cục tối giản, không chữ, không nhãn, không tay, phong cách quảng cáo thực phẩm cao cấp, độ phân giải 8K, siêu chi tiết, siêu thực.

Hình ảnh 2: - Tạo một đồ họa thông tin lát pizza siêu thực tế dạng cắt lớp. Lớp trên cùng có lá húng quế và các hạt gia vị lơ lửng. Bên dưới là phô mai tan chảy kéo sợi, các lát pepperoni, lớp sốt cà chua đậm đà, đế bánh nướng mềm. Nền trắng sạch, ánh sáng chụp ảnh thực phẩm chuyên nghiệp, kết cấu chân thực, bóng đổ nhẹ nhàng, các lớp lơ lửng cách đều nhau, phong cách đồ họa thông tin có nhãn, độ phân giải 8K.","[""https://cms-assets.youmind.com/media/1768804200487_ks5kcg_G-9KDAEW8AAnJPQ.jpg""]","{""name"":""𝐌"",""url"":""https://x.com/Strength04_X""}",https://x.com/Strength04_X/status/2012909080785072329,"Tối giản, Sản phẩm, Đồ ăn, Văn bản, Giáo dục"
52,Infographic / Hình ảnh giáo dục - Trực quan hóa phát minh sản phẩm lưới 2x2 (Bằng sáng chế/Tiếp thị),"Một lời nhắc phức tạp, đa bảng được thiết kế để hình dung việc phát minh và tiếp thị một sản phẩm mới bằng cách kết hợp hai khái niệm (hoặc phát triển một khái niệm). Nó yêu cầu cấu trúc lưới 2x2, với mỗi góc phần tư đòi hỏi một phong cách hình ảnh riêng biệt: bản vẽ kỹ thuật đường nét (Exploded Patent View), sơ đồ nguyên lý (Functional Diagram), kết xuất chân thực (Photorealistic Render) và bố cục biên tập (Marketing Pitch). Lời nhắc hoạt động như một nhà thiết kế công nghiệp, tập trung vào sự gắn kết giữa các bảng và tính thẩm mỹ tối giản, điện tử tiêu dùng.","Biến đầu vào: {argument name=""input objects"" default=""[CHÈN 1 hoặc 2 ĐỐI TƯỢNG]""}
Hướng dẫn:
Hãy đóng vai trò là một Nhà thiết kế công nghiệp có tầm nhìn và Thư ký bằng sáng chế. Tạo một Lưới 2x2 để hình dung việc phát minh ra một sản phẩm mới dựa trên Đầu vào.
Logic Đổi mới:
Phân tích Chức năng: Xác định tiện ích chính của Đầu vào A và Đầu vào B.
Sự kết hợp: Kết hợp chúng thành một thiết bị duy nhất, gắn kết, giải quyết một vấn đề cụ thể (ngách).
Nếu 2 Đầu vào: Kết hợp chúng (ví dụ: Cốc + Dụng cụ bào = Một chiếc cốc tự làm mát có dụng cụ bào trang trí).
Nếu 1 Đầu vào: Phát triển nó (ví dụ: Bàn chải đánh răng = Một cây đũa thông minh tự khử trùng, bơm kem đánh răng).
Thương hiệu: Tạo một tên sản phẩm hấp dẫn, mang tính doanh nghiệp (ví dụ: ""The Breeze-Grate™"", ""Solar-Brella Pro"").
Cấu trúc Hình ảnh (Lưới 2x2):
QUAN TRỌNG: Hình ảnh phải được chia thành 4 góc phần tư riêng biệt với các phong cách hình ảnh khác nhau.
Bảng 1 (Trên cùng bên trái): Chế độ xem bằng sáng chế tách rời
Phong cách: Nghệ thuật đường nét kỹ thuật đen trắng. Các đường nét mỏng, rõ ràng, không đổ bóng.
Nội dung: Một ""Chế độ xem tách rời"" đẳng cự của thiết bị, hiển thị động cơ, pin hoặc cơ chế bên trong được tách ra khỏi vỏ.
Chi tiết: Thêm các Đường dẫn có số (10, 12, 14) chỉ vào các bộ phận cụ thể.
Bảng 2 (Trên cùng bên phải): Sơ đồ chức năng
Phong cách: Sơ đồ đen trắng với các mũi tên đậm.
Nội dung: Một mặt cắt ngang hoặc bản vẽ ""Đang sử dụng"" cho thấy cách thiết bị hoạt động. Sử dụng Mũi tên hành động để hiển thị luồng không khí, sự quay hoặc chuyển động của chất lỏng.
Chi tiết: Hiển thị ""Kết quả"" (ví dụ: phô mai rơi, nước phun).
Bảng 3 (Dưới cùng bên trái): Hình ảnh sản phẩm
Phong cách: Chụp ảnh studio cao cấp. Màu sắc, bóng bẩy, thẩm mỹ thiết kế ""Apple/Braun"".
Nội dung: Sản phẩm vật lý cuối cùng đặt trên một bề mặt phản chiếu màu trắng. Nó phải trông bóng bẩy, sử dụng các vật liệu như Gốm trắng, Nhôm xước hoặc Nhựa mờ.
Ngữ cảnh: Bao gồm một đạo cụ nhỏ để thể hiện tỷ lệ (ví dụ: một khối phô mai, một hạt cà phê, một bàn tay).
Bảng 4 (Dưới cùng bên phải): Bài quảng cáo tiếp thị
Phong cách: Bố cục tạp chí biên tập. Nền trắng, chữ đen.
Kiểu chữ:
Tiêu đề: Chữ Serif lớn, đậm hiển thị [Tên phát minh].
Nội dung: Một khối văn bản ""Lorem Ipsum"" sạch sẽ hoặc văn bản dễ đọc mô tả ""Các tính năng mang tính cách mạng"".
Dấu đầu dòng: Một danh sách nhỏ các thông số kỹ thuật (ví dụ: ""An toàn với máy rửa chén"", ""USB-C"").
Cú pháp hình ảnh:
Tính gắn kết: Thiết kế sản phẩm trong Bảng 3 phải hoàn toàn khớp với nghệ thuật đường nét trong Bảng 1.
Ngôn ngữ thiết kế: Tối giản, Công thái học, thẩm mỹ Điện tử tiêu dùng. Ngay cả khi ý tưởng ngớ ngẩn, thiết kế phải trông đắt tiền.
Đầu ra: Lưới 2x2, Đa phương tiện (Nghệ thuật đường nét so với Chủ nghĩa hiện thực ảnh), Độ phân giải 8k, Thẩm mỹ ""Chiến dịch Kickstarter"".","[""https://cms-assets.youmind.com/media/1768717570742_yazze1_G-rI4thagAAXCjf.jpg""]","{""name"":""Gadgetify"",""url"":""https://x.com/Gdgtify""}",https://x.com/Gdgtify/status/2012487062180549031,"Nhiếp ảnh, Minh họa, 3D, Tối giản, Sản phẩm, Xe cộ, Văn bản, UI/UX, Giáo dục"
53,Infographic / Hình ảnh giáo dục - Bảng Quy trình Thủ công Mỹ nghệ cho các Vật phẩm Thủ công,"Một mẫu lời nhắc có cấu trúc để tạo bảng phương pháp của nghệ nhân, được thiết kế để ghi lại trực quan quá trình tạo ra một vật thể thủ công. Nó chia hình ảnh thành ba phần: nguyên liệu thô, quá trình chế tác (với bàn tay và công cụ hiển thị rõ ràng) và vật thể hoàn thiện trong bối cảnh, nhấn mạnh sự chuyển đổi trong phong cách hình ảnh từ tông màu đất sang ánh sáng xưởng ấm áp và ánh sáng tự nhiên.","Bảng phương pháp của nghệ nhân cho [{argument name=""handmade object"" default=""VẬT THỦ CÔNG""}] — [{argument name=""technique"" default=""KỸ THUẬT / TRUYỀN THỐNG / NGUỒN GỐC""}]. Phần bên trái: nguyên liệu thô ở trạng thái chưa qua xử lý, được tìm nguồn và dán nhãn, quá trình biến đổi chưa bắt đầu. Phần giữa: quá trình chế tác được ghi lại theo các giai đoạn tuần tự, đôi bàn tay luôn hiện hữu, các công cụ được xác định, các điểm quyết định quan trọng được chú thích, thời gian đầu tư vào mỗi giai đoạn được ghi lại. Phần bên phải: vật phẩm hoàn thiện trong bối cảnh sử dụng, mang dấu ấn của người tạo ra, hoàn thành mục đích của nó, những giờ làm việc vô hình nhưng đã được lồng ghép. Phong cách hình ảnh chuyển từ tông màu đất của nguyên liệu thô qua sự ấm áp của xưởng làm việc đến bối cảnh lối sống với ánh sáng tự nhiên. Khối tiêu đề ghi ""[{argument name=""object name"" default=""TÊN VẬT PHẨM""}] — LÀM THỦ CÔNG BỞI [NGHỆ NHÂN], [ĐỊA ĐIỂM], [SỐ GIỜ] GIỜ"".","[""https://cms-assets.youmind.com/media/1768631182847_vuaafy_G-zCpORXEAA_G1F.jpg"",""https://cms-assets.youmind.com/media/1768631182766_oy8w28_G-zCTf-aEAA8HCU.jpg"",""https://cms-assets.youmind.com/media/1768631183768_fc2h1r_G-zCM3GWUAAj8Fb.jpg"",""https://cms-assets.youmind.com/media/1768631184071_q4k6a4_G-zCJNlboAAGpnS.jpg""]","{""name"":""Alexandra Aisling"",""url"":""https://x.com/AllaAisling""}",https://x.com/AllaAisling/status/2012197160276660362,Giáo dục
58,Hình thu nhỏ trên YouTube - Master Prompt cho Quảng cáo Sân vận động Chung kết NBA,"Một 'Master Prompt' do người dùng phát triển dành cho mô hình Nano Banana PRO, được thiết kế để tạo ra những hình ảnh quảng cáo sân vận động NBA chân thực, đẳng cấp cao, nắm bắt được năng lượng sôi động trước trận đấu của bất kỳ đội bóng nào, vượt xa việc chỉ đặt logo đơn thuần.","""Master Prompt"" sử dụng mô hình Nano Banana PRO tạo ra các quảng cáo đấu trường đẳng cấp. Nó không chỉ đặt logo lên sân đấu; nó còn nắm bắt được năng lượng sôi động trước trận đấu của bất kỳ đội bóng nào.","[""https://cms-assets.youmind.com/media/1768890704156_eyf5yo_G_DE2BwWEAA_8rY.jpg"",""https://cms-assets.youmind.com/media/1768890704156_wt3cww_G_DE2OVXMAEcrl6.jpg""]","{""name"":""PSS"",""url"":""https://x.com/PromptSin""}",https://x.com/PromptSin/status/2013325472831078636,"Sản phẩm, Logo"
59,Hình thu nhỏ trên YouTube - Ảnh phỏng vấn người nổi tiếng theo phong cách Talk-Show,"Một lời nhắc chi tiết để tạo ra một bức ảnh siêu thực, mang phong cách điện ảnh về một chương trình trò chuyện, với một người dẫn chương trình và một người nổi tiếng cụ thể. Nó tập trung vào bố cục chính xác, ánh sáng và độ chính xác của khuôn mặt để đạt được tính thẩm mỹ cao cấp của một 'phỏng vấn tài liệu Netflix'.","Tạo một cảnh quay điện ảnh siêu thực về hai cá nhân đang ngồi trong một không gian phòng chờ studio hiện đại, hơi hướng về phía nhau.
Người dẫn chương trình (sử dụng ảnh tham chiếu khuôn mặt đính kèm) đang phỏng vấn {argument name=""celebrity name"" default=""[Tên người nổi tiếng]""} trong một studio ấm áp, ánh sáng dịu nhẹ với đèn sân khấu chiếu từ trên cao.
Đặt họ trên một chiếc ghế sofa ấm cúng với một bàn cà phê thấp ở giữa – không có mic podcast trong khung hình, chỉ là năng lượng trò chuyện tự nhiên.
Duy trì độ chính xác khuôn mặt 100%, kết cấu da sống động như thật và độ sâu trường ảnh sắc nét. Sử dụng độ phân giải 8K, định dạng 9:16 và mang lại tính thẩm mỹ cao cấp của ""phỏng vấn phim tài liệu Netflix"" với tiêu cự nông và bóng đổ phong phú.","[""https://cms-assets.youmind.com/media/1768890653078_okgxxr_G_BMfbnaAAAIvS3.jpg""]","{""name"":""Poonam Soni"",""url"":""https://x.com/CodeByPoonam""}",https://x.com/CodeByPoonam/status/2013193139948073205,Điện ảnh
60,Hình thu nhỏ trên YouTube - Gợi ý tạo ảnh chân dung Ana de Armas trên thảm đỏ (váy vàng và đỏ),"Hai lời nhắc JSON cực kỳ chi tiết để tạo ra những bức chân dung siêu thực, độ phân giải 8K của Ana de Armas trên thảm đỏ. Các lời nhắc chỉ định danh tính người nổi tiếng, tư thế, chi tiết trang phục haute couture phức tạp (váy ngắn màu vàng hoặc đỏ với họa tiết hình học màu đen), ánh sáng điện ảnh (đèn flash chuyên nghiệp dịu nhẹ) và cài đặt máy ảnh kỹ thuật (ống kính 85mm, khẩu độ f/1.8, nền bokeh), cùng với danh sách lời nhắc phủ định toàn diện.","{
  ""image_prompt"": {
    ""subject"": {
      ""name"": ""{argument name=\""celebrity name\"" default=\""Ana de Armas\""}"",
      ""description"": ""người phụ nữ trẻ với mái tóc vàng óng dài ngang vai được cắt lớp, gợn sóng nhẹ, mắt xanh, trang điểm tự nhiên nhẹ nhàng với son môi hồng nude, làn da sáng mịn, vòng cổ ngọc trai"",
      ""pose"": ""nhìn thẳng vào máy ảnh, mỉm cười nhẹ, dáng đứng tự tin trên thảm đỏ, ảnh chân dung từ đầu đến vai""
    },
    ""outfit"": {
      ""item"": ""Đầm {argument name=\""outfit color\"" default=\""Yellow\""}"",
      ""details"": ""họa tiết mạng lưới hình học đính hạt đen trên nền vải xuyên thấu màu nude, cổ áo hình trái tim, thêu kim sa đen tinh xảo, không tay, phom dáng cứng cáp"",
      ""style"": ""quyến rũ, thời trang cao cấp, haute couture""
    },
    ""environment"": {
      ""setting"": ""sự kiện thảm đỏ ra mắt phim"",
      ""background"": ""tường truyền thông mờ tối với các logo trắng và đỏ không thể nhận dạng, phông nền sự kiện chuyên nghiệp"",
      ""atmosphere"": ""độc quyền, điện ảnh, có sự xuất hiện của người nổi tiếng""
    },
    ""technical_specs"": {
      ""lighting"": ""ánh sáng flash chuyên nghiệp dịu nhẹ, ánh sáng viền tóc, chiếu sáng đều khuôn mặt, không có bóng đổ gắt"",
      ""camera"": ""ống kính 85mm, khẩu độ f/1.8, lấy nét sắc nét vào mắt, hậu cảnh bokeh"",
      ""quality"": ""độ phân giải 8k, siêu thực, kết cấu chi tiết cao, ảnh thô, chủ nghĩa hiện thực ảnh, kiệt tác"",
      ""aspect_ratio"": ""9:16""
    }
  },
  ""negative_prompt"": ""hoạt hình, minh họa, tranh vẽ, bản vẽ, giải phẫu kém, mờ, chất lượng thấp, mắt méo mó, văn bản, hình mờ, logo, quá bão hòa, tóc rối, sai khuôn mặt"",
  ""parameters"": {
    ""size"": ""highest_resolution"",
    ""orientation"": ""vertical"",
    ""style_preset"": ""photographic""
  }
}

{
  ""image_prompt"": {
    ""subject"": {
      ""name"": ""Ana de Armas"",
      ""description"": ""người phụ nữ trẻ với mái tóc đen dài ngang vai được cắt lớp, gợn sóng nhẹ, mắt xanh, trang điểm tự nhiên nhẹ nhàng với son môi hồng nude, làn da sáng mịn, vòng cổ ngọc trai"",
      ""pose"": ""nhìn thẳng vào máy ảnh, mỉm cười nhẹ, dáng đứng tự tin trên thảm đỏ, toàn thân""
    },
    ""outfit"": {
      ""item"": ""Đầm mini màu đỏ"",
      ""details"": ""họa tiết mạng lưới hình học đính hạt đen trên nền vải xuyên thấu màu nude, cổ áo hình trái tim, thêu kim sa đen tinh xảo, không tay, phom dáng cứng cáp, sandal cao gót màu đỏ"",
      ""style"": ""quyến rũ, thời trang cao cấp, haute couture""
    },
    ""environment"": {
      ""setting"": ""sự kiện thảm đỏ ra mắt phim"",
      ""background"": ""tường truyền thông màu đỏ thẫm mờ với các logo trắng và đỏ không thể nhận dạng, phông nền sự kiện chuyên nghiệp"",
      ""atmosphere"": ""độc quyền, điện ảnh, có sự xuất hiện của người nổi tiếng""
    },
    ""technical_specs"": {
      ""lighting"": ""ánh sáng flash chuyên nghiệp dịu nhẹ, ánh sáng viền tóc, chiếu sáng đều khuôn mặt, không có bóng đổ gắt"",
      ""camera"": ""ống kính 85mm, khẩu độ f/1.8, lấy nét sắc nét vào mắt, hậu cảnh bokeh"",
      ""quality"": ""độ phân giải 8k, siêu thực, kết cấu chi tiết cao, ảnh thô, chủ nghĩa hiện thực ảnh, kiệt tác"",
      ""aspect_ratio"": ""9:16""
    }
  }
}","[""https://cms-assets.youmind.com/media/1768890686290_u0dby9_G_AiGT1W4AAzigm.jpg""]","{""name"":""Artificial intelligence (Ai),Open Ai"",""url"":""https://x.com/Vishnudxe""}",https://x.com/Vishnudxe/status/2013146529314545854,"Chân dung, Nhiếp ảnh, Điện ảnh, Minh họa, Anime, Thời trang, Logo"
61,Hình thu nhỏ trên YouTube - Lời nhắc tạo ảnh bìa phong cách Dan,"Một lời nhắc được thiết kế để tạo ảnh bìa theo phong cách của 'Dan' (có thể là một người sáng tạo hoặc phong cách phổ biến), được chia sẻ để sử dụng với Youmind, tích hợp Nano Banana Pro, cho phép người dùng tạo ảnh bìa ấn tượng về mặt hình ảnh.","Một hình ảnh bìa cực kỳ chi tiết, chuyên nghiệp và ấn tượng về mặt thị giác cho một bài đăng blog về {argument name=""topic"" default=""các công cụ AI""}. Hình ảnh nên có thiết kế gọn gàng, hiện đại với kiểu chữ đậm và bảng màu tối giản, nhấn mạnh {argument name=""visual focus"" default=""công nghệ và sự đổi mới""}. Sử dụng ánh sáng tương phản cao, ấn tượng và độ sâu trường ảnh nông để thu hút sự chú ý vào chủ thể trung tâm. Phong cách nên là chân thực như ảnh chụp và mang tính điện ảnh, tương tự như nhiếp ảnh biên tập công nghệ cao cấp. Tỷ lệ khung hình 16:9.","[""https://cms-assets.youmind.com/media/1768890713390_rvgiu0_G-_iXbSWAAAcLCn.jpg""]","{""name"":""日拱一卒王小楼"",""url"":""https://x.com/wang_xiaolou""}",https://x.com/wang_xiaolou/status/2013076983018881159,"Nhiếp ảnh, Điện ảnh, Tối giản, Nhân vật, Văn bản"
