title,description,content,sourceLink,sourcePublishedAt,author,sourceMedia
Unexpected High-End Product Concepts Prompt,"A brief, high-level prompt used to generate unexpected, high-end visual concepts for products, likely for brainstorming or moodboarding.",Unexpected high-end product concepts,https://x.com/TUSHARPAND0848/status/2013539807864013146,2026-01-20T09:11:14.000Z,"{""name"":""Tushar Pandey"",""link"":""https://x.com/TUSHARPAND0848""}","[""https://pbs.twimg.com/media/G_GHxE9WoAANezS.jpg"",""https://pbs.twimg.com/media/G_GHxIIXMAAlGDH.jpg""]"
Luxury Editorial Paparazzi Style Image Editing Prompt for Nano Banana Pro,"A highly specific image editing prompt for Nano Banana Pro, intended to transform an existing image into a luxury editorial, paparazzi-style photograph. The prompt requires strict preservation of the original facial identity while adding specific high-fashion elements: a light gray pinstriped double-breasted suit, dark sunglasses, luxury accessories (wristwatch, chain bracelet), and props (cigar). The scene is set at a sophisticated outdoor café.","{
  ""type"": ""image_editing_prompt"",
  ""language"": ""English"",
  ""style"": ""luxury editorial, paparazzi-style street photography"",
  ""aspect_ratio"": ""4:5"",
  ""identity_preservation"": {
    ""use_reference_image"": true,
    ""strict_identity_lock"": true,
    ""notes"": ""Preserve 100% of the original facial identity, structure, proportions, skin texture, and expression from the uploaded reference image. No facial alterations.""
  },
  ""subject"": {
    ""gender"": ""female"",
    ""expression"": ""confident, serious, mysterious"",
    ""appearance"": {
      ""eyewear"": ""dark, thick-rimmed sunglasses concealing the eyes"",
      ""hair"": ""unchanged from reference image""
    },
    ""clothing"": {
      ""suit"": {
        ""color"": ""light gray / silver"",
        ""pattern"": ""fine vertical pinstripes"",
        ""jacket"": ""double-breasted with two rows of dark buttons"",
        ""trousers"": ""matching gray pinstriped fabric""
      },
      ""shirt"": ""white dress shirt"",
      ""tie"": ""dark red tie"",
      ""pocket_square"": ""dark red, neatly folded""
    },
    ""accessories"": [
      ""oversized luxury wristwatch with gold bezel on left wrist"",
      ""wide heavy gold chain bracelet on left wrist"",
      ""ring on the ring finger of the right hand""
    ],
    ""props"": {
      ""right_hand"": ""holding a thick cigar between the fingers"",
      ""left_hand"": ""holding a small white object (possibly a lighter)""
    },
    ""pose"": {
      ""position"": ""seated on a woven rattan/wicker café chair"",
      ""body_language"": ""leaning slightly forward"",
      ""elbow_position"": ""right elbow resting on a small round table""
    }
  },
  ""shot"": {
    ""type"": ""close-up to medium close-up"",
    ""framing"": ""chest level and above"",
    ""focus"": ""subject is the absolute focal point""
  },
  ""environment"": {
    ""setting"": ""sophisticated outdoor café or restaurant terrace""",https://x.com/l_w_lorenzen/status/2013639683927167453,2026-01-20T15:48:06.000Z,"{""name"":""Lore"",""link"":""https://x.com/l_w_lorenzen""}","[""https://pbs.twimg.com/media/G_Hif1SWYAAC-7i.jpg"",""https://pbs.twimg.com/media/G_E_6ufX0AAsVDt.jpg""]"
Elegant Autumn City Park Editorial Scene,"A descriptive prompt for creating a refined, cinematic editorial image set in a quiet city park during late autumn. The prompt focuses on the mood (calm, elegant, introspective), the subject's styling (black long-sleeve mini dress with floral embroidery, sheer tights, classic heels), and the environment (overcast sky, scattered fallen leaves, minimalist metal bench). It specifies a shallow depth of field and cool, neutral color grading for a Parisian-inspired aesthetic.","""Create a refined editorial-style scene set in a quiet city park during {argument name=""season"" default=""late autumn""}. The subject is seated sideways on a minimalist metal bench, posture relaxed yet intentional, one leg extended and the other gently bent, heels resting on textured stone paving. Fallen leaves scatter around the ground, bare tree branches framing the background under a soft, overcast sky. The subject’s head is turned slightly away from the camera, suggesting introspection, with one hand resting near the bench edge and the other subtly adjusting hair or holding a small structured handbag. The overall mood is calm, elegant, and cinematic, with muted natural tones and a shallow depth of field that keeps focus on the subject while softly blurring the park surroundings.

Style the subject in a fitted black long-sleeve mini dress with delicate cream floral embroidery, sheer black tights, and classic black pointed heels. Hair is long, dark, and softly flowing, catching a light breeze. Makeup is natural with defined eyes, enhancing a timeless, Parisian-inspired elegance. The color grading leans cool and neutral, emphasizing contrast between the dark outfit and pale autumn leaves, evoking quiet confidence and femininity.""",https://x.com/bananaprompts/status/2013682129465397388,2026-01-20T18:36:46.000Z,"{""name"":""Banana Prompts"",""link"":""https://x.com/bananaprompts""}","[""https://pbs.twimg.com/media/G_IIVMPWEAA0R--.jpg""]"
Renaissance Anatomical Study of a Flamingo,"A concise prompt for generating an image in the style of a Renaissance anatomical study. It specifies the subject as a flamingo standing on one leg, rendered using fine graphite and ink cross-hatching, with transparent tissue overlays showing bone and muscle structure, all on yellowing parchment paper. It includes strict negative prompts to ensure the subject is drawn only once and is complete.","Composition: {argument name=""subject"" default=""flamingo, standing on 1 leg""}

Art style: A Renaissance anatomical study
- illustrated with fine graphite and ink cross-hatching
- layered with transparent tissue overlays showing bone and muscle
- on yellowing/ greying parchment paper

Avoid:
- Do not draw the subject twice - *only once*
- Do not skip some body parts - be complete
- No text at all

Aspect ratio: 3:4",https://x.com/bguiz/status/2013469317548134903,2026-01-20T04:31:08.000Z,"{""name"":""Brendan Graetz 🥷"",""link"":""https://x.com/bguiz""}","[""https://pbs.twimg.com/media/G_FG87xXEAAnMEK.jpg"",""https://pbs.twimg.com/media/G7OgKJAaMAAUKqv.jpg""]"
Kawaii E-Girl Mirror Selfie Prompt,"A detailed JSON prompt for generating a photorealistic image of a woman taking a mirror selfie in a kawaii, e-girl, soft grunge, and coquette aesthetic. It specifies the subject's appearance, outfit (including a corset with an anime print), pose, environment, and desired high-definition quality.","{
  ""prompt_description"": {
    ""subject"": {
      ""type"": ""woman"",
      ""hair"": ""long, straight, platinum blonde"",
      ""features"": ""light skin tone, soft makeup, finger resting on lip"",
      ""tattoos"": ""small text tattoo on chest, '{argument name=""wrist tattoo"" default=""XXX""}' tattoo on wrist""
    },
    ""outfit"": {
      ""top"": ""{argument name=""top garment"" default=""white satin corset""} with pink cartoon/anime print (My Melody style), lace trim, ribbon tie front"",
      ""bottom"": ""black pleated mini skirt, raw hem"",
      ""accessories"": ""black lace-top thigh-high stockings, fishnet tights"",
      ""phone_case"": ""graphic black and white anime style illustration""
    },
    ""pose"": {
      ""type"": ""mirror selfie"",
      ""stance"": ""standing, one hip popped"",
      ""hand_position"": ""holding phone with right hand, left hand touching lip""
    },
    ""environment"": {
      ""location"": ""indoor hallway or bedroom"",
      ""background"": ""white walls, grey tiled floor, framed posters on wall"",
      ""lighting"": ""warm golden hour sunlight, soft shadows"",
      ""decor"": ""minimalist, potted plant in background""
    },
    ""style"": {
      ""aesthetic"": ""e-girl, soft grunge, coquette, trendy"",
      ""camera_angle"": ""eye level, reflection"",
      ""quality"": ""high definition, photorealistic, vivid colors""
    }
  }
}",https://x.com/l_w_lorenzen/status/2013544997258437024,2026-01-20T09:31:51.000Z,"{""name"":""Lore"",""link"":""https://x.com/l_w_lorenzen""}","[""https://pbs.twimg.com/media/G_GMUbmXMAAg9el.jpg"",""https://pbs.twimg.com/media/G-_zv_DXYAAIGDC.jpg""]"
Modernized Dorothy Gale Aesthetic with Direct Flash,"A highly detailed, photorealistic prompt generating a full-body image of a young woman in a modernized Dorothy Gale costume (blue gingham mini dress, ruby red glitter pumps). The scene is set in a semi-outdoor courtyard at night, utilizing direct on-camera flash photography to create hard lighting, high contrast, and a distinct shadow on the wall behind the subject.","{
  ""prompt_structure"": {
    ""subject"": {
      ""demographics"": ""Young female adult with a slender, fit physique"",
      ""hair"": ""Long dark brown hair styled in two playful braids (pigtails) resting on shoulders"",
      ""face"": ""Soft, attractive features with a slight smile, gazing upwards to the right, wearing bright red lipstick and subtle eye makeup""
    },
    ""outfit"": {
      ""costume_theme"": ""Modernized Dorothy Gale from Wizard of Oz aesthetic"",
      ""dress"": ""Blue and white gingham check mini dress featuring a corset-style bodice with vertical boning, sweetheart neckline, and white lace ruffle trim at the hem and neckline"",
      ""legwear"": ""Opaque white knee-high stockings featuring large light blue satin bows at the top cuffs"",
      ""footwear"": ""Sparkling ruby red glitter pumps (heels) with ankle straps (Mary Jane style)""
    },
    ""accessories"": {
      ""hair"": ""Red satin ribbons tied into bows at the base of each braid"",
      ""handheld"": ""Holding a beige woven straw tote bag/basket in the right hand""
    },
    ""pose_and_action"": {
      ""stance"": ""Full-body standing pose, legs crossed at the ankles in a playful manner"",
      ""arms"": ""Right arm extended down holding the bag, left arm slightly bent and extended back as if balancing or leaning"",
      ""expression"": ""Charming, confident, and whimsical mood""
    },
    ""environment"": {
      ""setting"": ""Semi-outdoor patio or courtyard entrance at night"",
      ""architecture"": ""Large wooden double doors with glass panels in the background, white stucco walls, dark wooden support pillar in the foreground"",
      ""details"": ""Terracotta tiled flooring, faint glimpse of a railing and indoor plants in the background, a large mirror frame visible on the far left edge""
    },
    ""lighting"": {
      ""style"": ""Direct on-camera flash photography"",
      ""characteristics"": ""Hard lighting creating a distinct shadow of the subject on the wall behind, high contrast between the illuminated subject and the dimmer background, capturing the sparkle of the shoes and sheen of the fabric""
    },
    ""camera_technical"": {
      ""perspective"": ""Eye-level to slightly low angle full shot"",
      ""focal_length"": ""35mm for a lifestyle snapshot feel"",
      ""quality"": ""Ultra photorealistic, 8K resolution, sharp focus on subject"",
      ""textures"": ""Detailed fabric weave on the gingham, realistic glitter texture on shoes, skin texture visibility""
    }
  }
}",https://x.com/l_w_lorenzen/status/2013609477782806545,2026-01-20T13:48:05.000Z,"{""name"":""Lore"",""link"":""https://x.com/l_w_lorenzen""}","[""https://pbs.twimg.com/media/G_HHH0iWYAAbhhq.jpg"",""https://pbs.twimg.com/media/G_AihfGXQAA5J6l.jpg""]"
Four-Panel Lifestyle Fashion Collage,"A structured prompt for generating a four-panel grid collage in a photorealistic lifestyle fashion photography style. It features a fit blonde woman in a white cropped top and mint green shorts, posing confidently in a modern minimalist kitchen. The prompt specifies various poses, lighting conditions, and camera settings suitable for fashion marketing or social media content.","{
  ""type"": ""image_prompt"",
  ""style"": ""photorealistic lifestyle fashion photography"",
  ""composition"": ""four-panel grid collage"",
  ""subject"": {
    ""description"": ""fit blonde woman posing confidently indoors"",
    ""poses"": [
      ""leaning forward on kitchen counter smiling"",
      ""side profile pose emphasizing posture"",
      ""back-facing pose with head turned toward camera"",
      ""front-facing pose with hands on hips""
    ],
    ""expression"": ""confident, friendly, relaxed"",
    ""appearance"": {
      ""hair"": ""long blonde hair worn down with soft waves"",
      ""outfit"": {
        ""top"": ""white cropped short-sleeve top with chest cutout"",
        ""bottom"": ""mint green high-waisted fitted shorts""
      }
    }
  },
  ""environment"": {
    ""location"": ""modern minimalist kitchen"",
    ""features"": [
      ""light stone countertop"",
      ""neutral cabinetry"",
      ""clean contemporary layout""
    ]
  },
  ""lighting"": {
    ""type"": ""soft indoor lighting"",
    ""source"": ""overhead ceiling lights"",
    ""mood"": ""clean, warm, flattering""
  },
  ""camera"": {
    ""angle"": ""eye-level"",
    ""framing"": ""mid-body to upper-leg framing"",
    ""lens"": ""35mm"",
    ""depth_of_field"": ""sharp subject with lightly softened background""
  },
  ""color_palette"": {
    ""dominant"": [""white"", ""beige"", ""neutral tones""],
    ""accent"": [""mint green""]
  },
  ""quality"": {
    ""resolution"": ""high"",
    ""sharpness"": ""crisp"",
    ""realism"": ""high""
  },
  ""use_case"": [
    ""fashion marketing"",
    ""social media content"",
    ""fitness lifestyle branding"",
    ""UGC-style promotion""
  ]
}",https://x.com/xmliisu/status/2013633634557689871,2026-01-20T15:24:04.000Z,"{""name"":""Melisa♡"",""link"":""https://x.com/xmliisu""}","[""https://pbs.twimg.com/media/G_HdFrWWwAA53uo.jpg"",""https://pbs.twimg.com/media/G_HdFrcXYAAcg2-.jpg"",""https://pbs.twimg.com/media/G_HXe8gWMAIs8K7.jpg""]"
Dynamic K-Pop Idol Running in a Flower Field,"A structured prompt designed to generate a photorealistic image of a cute young Asian female with a K-pop idol aesthetic. The subject has long, wavy pastel pink hair and is captured in a dynamic running pose through a field of cosmos flowers, emphasizing soft natural lighting, a pastel palette, and a dreamy atmosphere.","{
  ""prompt_data"": {
    ""subject"": {
      ""basics"": ""1girl, solo"",
      ""demographics"": ""Cute young Asian female, K-pop idol aesthetic"",
      ""hair"": ""Long wavy pastel pink hair, windblown, dynamic motion"",
      ""eyes"": ""Bright brown eyes, soft gaze"",
      ""skin"": ""Fair skin, glowing complexion"",
      ""expression"": ""Happy beaming smile, energetic, looking at viewer""
    },
    ""attire"": {
      ""main_outfit"": {
        ""item"": ""Haze blue and oatmeal casual spring outfit"",
        ""details"": [
          ""Haze blue off-shoulder loose sweatshirt"",
          ""Oatmeal tank top strap visible"",
          ""Haze blue and oatmeal plaid pleated mini skirt"",
          ""Oatmeal chunky lace-up combat boots""
        ],
        ""branding"": """"
      },
      ""legwear"": [
        ""Bare legs""
      ]
    },
    ""accessories"": {
      ""style"": ""Trendy cute accessories"",
      ""items"": [
        ""Small oatmeal leather waist bag/pouch"",
        ""Oatmeal belt"",
        ""Small hoop earrings"",
        ""Delicate silver necklace""
      ]
    },
    ""pose_and_action"": {
      ""posture"": ""Dynamic running pose, mid-stride, side profile body turning to front"",
      ""interaction"": ""Running joyfully through a flower field, hair and clothes flowing in wind""
    },
    ""environment"": {
      ""setting"": ""Outdoor spring meadow during the day"",
      ""background_elements"": ""Field of colorful cosmos flowers (yellow, pink, white), grassy ground, strong depth of field (bokeh background)""
    },
    ""style_and_technical"": [
      ""Soft natural lighting"",
      ""Muted pastel color palette"",
      ""Dreamy atmosphere"",
      ""Photorealistic"",
      ""Sharp focus on subject"",
      ""High quality"",
      ""8k"",
      ""3:4""
    ]
  }
}",https://x.com/BeautyVerse_Lab/status/2013820460014936437,2026-01-21T03:46:27.000Z,"{""name"":""BeautyVerse"",""link"":""https://x.com/BeautyVerse_Lab""}","[""https://pbs.twimg.com/media/G_KHB7DaoAEXwjr.jpg"",""https://pbs.twimg.com/media/G_KHB7lXwAAohFa.jpg""]"
Urban Photo-Collage Caricature Style Prompt,"A simple, short prompt designed to generate an image in an urban photo-collage caricature style.",Urban photo-collage caricature,https://x.com/AmirMushich/status/2013701196016423313,2026-01-20T19:52:32.000Z,"{""name"":""AmirMušić"",""link"":""https://x.com/AmirMushich""}","[""https://pbs.twimg.com/media/G_IakNOWIAAuDxI.jpg""]"
Candid iPhone Photo in Fluorescent Convenience Store,"A detailed JSON prompt for Nano Banana Pro generating an ultra-photorealistic, raw iPhone-style image of a curvy woman in a white tank top and denim shorts standing sideways at a fridge in a late-night convenience store. The prompt focuses on realistic body proportions, natural skin texture, fluorescent lighting, and an imperfect, handheld framing to achieve a social media realism aesthetic.","{
  ""meta"": {
    ""quality"": ""ultra photorealistic"",
    ""resolution"": ""8k"",
    ""camera"": ""iPhone 15 Pro"",
    ""lens"": ""24mm wide"",
    ""aspect_ratio"": ""9:16"",
    ""style"": ""raw iphone realism, natural skin texture, slight grain, imperfect handheld framing""
  },

  ""scene"": {
    ""location"": ""late-night convenience store"",
    ""time"": ""night"",
    ""atmosphere"": ""quiet, fluorescent-lit, slightly voyeuristic""
  },

  ""subjects"": [
    {
      ""gender"": ""female"",
      ""age"": ""early 20s (clearly adult)"",
      ""ethnicity"": ""european blonde"",

      ""body"": {
        ""type"": ""curvy hourglass"",
        ""waist"": ""tight"",
        ""hips"": ""round and full"",
        ""chest"": ""full, natural"",
        ""legs"": ""thick thighs, soft inner curves""
      },

      ""skin"": {
        ""tone"": ""fair with warm indoor glow"",
        ""texture"": ""real pores, slight natural sheen""
      },

      ""hair"": {
        ""color"": ""light blonde"",
        ""style"": ""loose messy waves, unstyled""
      },

      ""face"": {
        ""expression"": ""calm confident stare"",
        ""eyes"": ""looking directly at camera"",
        ""lips"": ""slightly parted"",
        ""makeup"": ""minimal, glossy lips""
      },

      ""outfit"": {
        ""top"": {
          ""type"": ""thin ribbed tank top"",
          ""color"": ""white"",
          ""fit"": ""tight"",
          ""underwear"": ""no bra"",
          ""fabric_behavior"": ""slightly stretched by posture""
        },
        ""bottom"": {
          ""type"": ""low-rise denim shorts"",
          ""color"": ""washed blue"",
          ""fit"": ""snug on hips""
        }
      },

      ""pose"": {
        ""stance"": ""standing sideways at fridge door"",
        ""hips"": ""pushed slightly back"",
        ""torso"": ""subtle arch"",
        ""arms"": {
          ""one_hand"": ""holding fridge handle"",
          ""other_hand"": ""resting on upper thigh""
        },
        ""head"": {
          ""angle"": ""chin slightly down"",
          ""gaze"": ""upward into lens""
        }
      }
    }
  ],

  ""lighting"": {
    ""type"": ""fluorescent store lighting"",
    ""effect"": ""cool highlights, realistic shadows, true iphone exposure""
  },

  ""photography_rules"": {
    ""iphone_only_look"": true,
    ""no_male_presence"": true,
    ""no_heavy_retouching"": true,
    ""social_media_realism"": true
  }
}",https://x.com/bananababydoll/status/2013734532063666372,2026-01-20T22:05:00.000Z,"{""name"":""babydoll"",""link"":""https://x.com/bananababydoll""}","[""https://pbs.twimg.com/media/G_I4vdeWQAAClUh.jpg""]"
