title,description,content,sourceLink,sourcePublishedAt,author,sourceMedia
Kawaii E-Girl Mirror Selfie Prompt,"A detailed JSON prompt for generating a photorealistic image of a woman taking a mirror selfie in a kawaii, e-girl, soft grunge, and coquette aesthetic. It specifies the subject's appearance, outfit (including a corset with an anime print), pose, environment, and desired high-definition quality.","{
  ""prompt_description"": {
    ""subject"": {
      ""type"": ""woman"",
      ""hair"": ""long, straight, platinum blonde"",
      ""features"": ""light skin tone, soft makeup, finger resting on lip"",
      ""tattoos"": ""small text tattoo on chest, '{argument name=""wrist tattoo"" default=""XXX""}' tattoo on wrist""
    },
    ""outfit"": {
      ""top"": ""{argument name=""top garment"" default=""white satin corset""} with pink cartoon/anime print (My Melody style), lace trim, ribbon tie front"",
      ""bottom"": ""black pleated mini skirt, raw hem"",
      ""accessories"": ""black lace-top thigh-high stockings, fishnet tights"",
      ""phone_case"": ""graphic black and white anime style illustration""
    },
    ""pose"": {
      ""type"": ""mirror selfie"",
      ""stance"": ""standing, one hip popped"",
      ""hand_position"": ""holding phone with right hand, left hand touching lip""
    },
    ""environment"": {
      ""location"": ""indoor hallway or bedroom"",
      ""background"": ""white walls, grey tiled floor, framed posters on wall"",
      ""lighting"": ""warm golden hour sunlight, soft shadows"",
      ""decor"": ""minimalist, potted plant in background""
    },
    ""style"": {
      ""aesthetic"": ""e-girl, soft grunge, coquette, trendy"",
      ""camera_angle"": ""eye level, reflection"",
      ""quality"": ""high definition, photorealistic, vivid colors""
    }
  }
}",https://x.com/l_w_lorenzen/status/2013544997258437024,2026-01-20T09:31:51.000Z,"{""name"":""Lore"",""link"":""https://x.com/l_w_lorenzen""}","[""https://pbs.twimg.com/media/G_GMUbmXMAAg9el.jpg"",""https://pbs.twimg.com/media/G-_zv_DXYAAIGDC.jpg""]"
Ultimate Prompt for Dan Koe Style Presentation Slides (PPT) using Nano Banana Pro,"A highly detailed, multi-step system prompt designed to transform an article or text (like Dan Koe's) into a 10-15 page presentation script and generate corresponding image prompts for Nano Banana Pro. The style guide mandates a high-contrast, monochrome, etching/engraving aesthetic, focusing on themes of existentialism, the unknown, and the contrast between tiny humans and gigantic elements.","あなたは「Dan Koeスタイルの記事用画像 + 極限まで削ぎ落とした認知系PPT」制作者です。
タスク： 私が提供する【ファイル/テキスト/動画の文字起こし内容】を、直接PPTにできるスクリプトに整理し、各ページに同じスタイルの配図プロンプト（画像生成後にスライドに挿入するため）を生成してください。
目標とする気質： 孤独、探求、実存主義、未知の深淵、極限まで削ぎ落としているが力強い；白黒の高コントラスト、版画的線画、密集したハッチング陰影、巨大な未知 + 小さな人間。
【出力言語】日本語を主体とし、必要に応じて少量の英語キーワードを追加可（配図プロンプト用）。
【ページ数】{argument name=""page count"" default=""10–15""}ページ（内容に応じて調整）。
【画面規格】16:9；各ページは**上部に横長バナー画像（画像内に要約テキストを含む）**を配置。
【スライドの原則】

そのスライドを見るだけで、何について話しているか8割理解できること
タイトルは具体的な主張・結論・問いかけであること（抽象的な単語のみは禁止）
3-5つのbulletで文脈が完結すること

【レイアウトルール】

各ページで1つの見解のみを語る
タイトル≤15文字：具体的な主張や問いの形式（例：「専門性の罠」「なぜ今、複数のスキルか」）
画像内に3–5つのbullet、各bullet≤18文字
画像外（スライド下部）に：60-120字程度の「補足説明」
全体で統一：白黒、余白、抑制、鋭利

【配図スタイルの固定（各ページで使用）】

pen-and-ink illustration / ink engraving / vintage etching
monochrome black & white, high contrast
extreme micro-detail linework
layered cross-hatching (3–5 layers) + stippling
scratchboard texture, paper grain
dramatic chiaroscuro lighting, deep shadows, rich midtones, crisp highlights
perfect pure black negative-space void（穴/ブラックホール/扉/深淵）を視覚的なアンカーポイントとして
tiny human/astronaut silhouette vs gigantic unknown

【統一ネガティブワード（各ページの配図プロンプト末尾に追加）】 NEGATIVE: color, grayscale photo, realistic photography, soft airbrush, smooth shading, blur, low detail, flat lighting, cartoon, anime, cel shading, watermark, logo, credit, UI, frame
【コンテンツ生成フロー】
まず7–9つの要点で原内容の「核心論点チェーン」を要約（論理順序に従って）

それを10–15ページのPPT構造にマッピング：表紙（1ページ）
現状/問題提起（1ページ）
鍵となる洞察（1ページ）
コアフレームワーク（2ページ）
方法とステップ（2–3ページ）
ケース/対比（1–2ページ）
よくある誤解（1ページ）
アクションチェックリスト（1ページ）
締めの金言（1ページ）

各ページの出力は必ず以下の形式に厳密に従って提供：

【Slide X：タイトル（具体的な主張・問い）】
画像内に表示するテキスト：
[具体的で分かりやすいタイトル：15文字以内]

- [要点1：何について話しているか分かる具体的な内容：18文字以内]
- [要点2：18文字以内]
- [要点3：18文字以内]
- [要点4：18文字以内]（オプション）
補足説明（スライド下部、60-120字）：[このスライドの背景や具体例を簡潔に説明。一人称で語りかけるように。]
配図Prompt（以下の形式を厳守）：
A 16:9 horizontal pen-and-ink illustration. [シーンの詳細を80-120字で描写：場所、人物の状態、巨大な要素、光と影]. 

THE BOTTOM 15-20% OF THE IMAGE MUST BE A SOLID BLACK HORIZONTAL BAR.
This black bar contains white Japanese text:
- Title (centered): ""[上記のタイトルをそのまま記載]""
- Bullets (left-aligned):
  • ""[bullet 1をそのまま記載]""
  • ""[bullet 2をそのまま記載]""
  • ""[bullet 3をそのまま記載]""
  [• ""[bullet 4をそのまま記載]"" (if applicable)]

Font: Noto Sans JP Bold for title (48-56pt), Medium for bullets (28-32pt), all white text on black background. No logo, no credit, no watermark.

Style: Monochrome black & white, high contrast, extreme micro-detail linework, layered cross-hatching (3-5 layers), stippling, scratchboard texture, dramatic chiaroscuro lighting, deep shadows, crisp highlights, pure black void as visual anchor, tiny human silhouette vs gigantic unknown.

NEGATIVE: color, grayscale photo, realistic photography, soft airbrush, smooth shading, blur, low detail, flat lighting, cartoon, anime, cel shading, watermark, logo, credit, UI, frame
配図構図提案：
主体：[位置と状態]
未知の要素：[配置]

光源：[方向]

必須：下部15-20%に黒バー＋白文字テキスト
【表紙の特別ルール】 タイトルはメインテーマを具体的に示す（例：「多重興味が新時代の超能力である理由」） サブタイトルまたは3-4つの",https://x.com/akaoji39/status/2013567124741206420,2026-01-20T10:59:47.000Z,"{""name"":""ナマケモノai"",""link"":""https://x.com/akaoji39""}","[""https://pbs.twimg.com/media/G_GfoTWWMAA8del.jpg"",""https://pbs.twimg.com/media/G_GfoTgXMAAklLK.jpg"",""https://pbs.twimg.com/media/G_GfoT2WUAAiI4g.jpg"",""https://pbs.twimg.com/media/G_GfoTeW8AAxo3w.jpg""]"
YAML Template for Web Manga Creation using Gemini (Nano Banana Pro),"A comprehensive YAML-based prompt template designed for Gemini (referred to as Nano Banana Pro) to generate a four-tier web manga strip. It includes strict adherence rules for character consistency, detailed style guides (lighting, background, dialogue bubbles, visual effects), and a structured storyboard format for defining scenes and dialogue in each panel.","STRICT ADHERENCE REQUIRED:
  - Follow this YAML specification precisely. Do NOT deviate, add unauthorized elements, or make 'creative' interpretations.
  - Character identity consistency from reference images (if provided) is PARAMOUNT.
  - Thorough image analysis is mandatory to maintain this consistency. Any result that fails character identity checks is unacceptable.

Strict_Adherence: true
aspect_ratio: ""{argument name=""aspect ratio"" default=""2:3""}"" # 必要に応じて変更（例: ""1:1"", ""16:9""）
resolution: ""{argument name=""resolution"" default=""2K""}""    # 必要に応じて変更（例: ""4K""）
Character_Count: {{ 登場するキャラクターの総人数 }}
Total_Panel_Count: {{ 総コマ数（4段構成のため通常4〜8枚） }}

Summary: >
  {argument name=""summary"" default=""物語の全体要約。プロットの流れ、舞台設定、主な出来事、結末を簡潔に記述。""}

Style_Guide:
  # コマ割りスタイルは「外枠なし、キャンバス端まで表示」で固定
  comic_style: ""4-tier, multi-panel manga strip with no outer framing border. The panels should extend to the very edge of the canvas, separated only by the inner white dividing lines.""
  lighting: ""{{ ライティングの指定。時間帯（昼/夜）、光源（太陽光/電灯/月明かり）、雰囲気（明るい/暗い/劇的な影）など。 }}""
  background_elements: ""{{ 主な舞台設定、場所の具体的な描写、配置されている重要な小物や環境要素。 }}""
  dialogue_bubbles: ""Standard white bubbles for speech, thought clouds for internal thoughts, dashed bubbles for whispers, and rectangular boxes for narration/monologue. {{ 必要であれば特殊な吹き出しの定義を追加（例：叫び用のトゲトゲ吹き出し等） }}""
  visual_effects: ""{{ 漫画的な視覚効果の指定。漫符（汗、血管、キラキラ）、エフェクト線（集中線、スピード線、震え線）、擬音の視覚化など。 }}""

Characters:
  # キャラクターの定義。IDは英数字推奨。
  {{ キャラクターID_1 }}:
    description: ""{{ 外見、髪型、色、服装、特徴的なアイテム、性格や表情の傾向。参照画像がある場合はファイル名をここに記述（例：image_0.png参照）。 }}""
  {{ キャラクターID_2 }}:
    description: ""{{ 二人目のキャラクター詳細... 人数分記述する。 }}""
  # 必要に応じて追加...

Storyboard:
  # 4段構成のコマ割り定義
  Tier_1:
    {{ コマID_T1_P1 (例: Panel_1_Large_Top) }}:
      scene: ""{{ このコマの具体的な状況描写。誰が、どこで、何をしているか。構図やカメラワークの指定も可能。 }}""
      dialogue:
        - speaker: ""{{ 話者のキャラクターID }}""
          type: ""{{ 台詞の種類: speech(通常), thought(思考), whisper(囁き), shout(叫び), monologue(独白/ナレーション) }}""
          text: ""{{ 台詞の具体的な内容。改行が必要な場合は \n を使用。 }}""
        # 同じコマ内で複数の台詞がある場合はリストを追加
        # - speaker: ""...""
        #   type: ""...""
        #   text: ""...""
    # Tier_1にコマを追加する場合はここに記述
  Tier_2:
    {{ コマID_T2_P1 }}:
      scene: ""{{ シーン詳細 }}""
      dialogue:
        - speaker: ""{{ 話者ID }}""
          type: ""{{ 種類 }}""
          text: ""{{ 内容 }}""
    # 必要に応じてコマを追加
  Tier_3:
    {{ コマID_T3_P1 }}:
      scene: ""{{ シーン詳細 }}""
      dialogue:
        - speaker: ""{{ 話者ID }}""
          type: ""{{ 種類 }}""
          text: ""{{ 内容 }}""
    # 必要に応じてコマを追加
  Tier_4:
    {{ コマID_T4_P1 }}:
      scene: ""{{ シーン詳細 }}""
      dialogue:
        - speaker: ""{{ 話者ID }}""
          type: ""{{ 種類 }}""
          text: ""{{ 内容 }}""
    # 必要に応じてコマを追加",https://x.com/Dakiny/status/2013569080490652069,2026-01-20T11:07:33.000Z,"{""name"":""Dakiny"",""link"":""https://x.com/Dakiny""}","[""https://pbs.twimg.com/media/G_DtU8TXkAAmnA7.jpg""]"
8K 3D Illustration of Anthropomorphic Bees (Gym and Relaxing),"A complex prompt structured into two modules for generating 8K, high-end AI-generated 3D illustrations of anthropomorphic bees. The first module depicts a bee lifting weights in a natural setting, and the second shows a relaxed bee in sunglasses holding a Pepsi can on a lounge chair, emphasizing physically based rendering and extreme detail clarity.","{
  ""master_prompt"": {
    ""global_settings"": {
      ""resolution"": ""8K"",
      ""aspect_ratio"": ""3:4"",
      ""render_style"": ""high-end AI-generated 3D illustration"",
      ""image_quality"": ""ultra-sharp, cinematic depth, physically based rendering"",
      ""lighting_quality"": ""soft global illumination with realistic shadows"",
      ""focus"": ""extreme detail clarity, shallow depth of field where applicable""
    },

    ""module_1"": {
      ""scene_identity"": ""Bee lifting weights in nature"",
      ""subject"": {
        ""type"": ""anthropomorphic bee"",
        ""body"": ""fuzzy yellow and black striped body"",
        ""eyes"": ""large glossy black eyes"",
        ""antennae"": ""two thin black curved antennae"",
        ""wings"": ""semi-transparent wings with visible vein patterns"",
        ""expression"": ""neutral to slightly cheerful""
      },
      ""pose_action"": {
        ""stance"": ""standing upright on two legs"",
        ""arms"": ""both arms raised holding a barbell"",
        ""object_interaction"": ""holding a metal barbell with circular weight plates on both ends""
      },
      ""environment"": {
        ""setting"": ""outdoor natural environment"",
        ""ground"": ""small dirt path or rock surface"",
        ""surroundings"": ""flowers on both sides"",
        ""background"": ""blurred trees and foliage""
      },
      ""lighting"": {
        ""type"": ""soft natural daylight"",
        ""direction"": ""top-center glow"",
        ""effects"": ""light haze and floating particles""
      },
      ""color_palette"": {
        ""dominant_colors"": [""yellow"", ""black"", ""green"", ""orange""],
        ""accent_colors"": [""soft pink"", ""warm brown""]
      },
      ""camera"": {
        ""angle"": ""eye-level"",
        ""framing"": ""full body centered"",
        ""depth_of_field"": ""foreground sharp, background softly blurred""
      }
    },

    ""module_2"": {
      ""scene_identity"": ""Relaxed bee on chair with soda can"",
      ""subject"": {
        ""type"": ""anthropomorphic bee"",
        ""body"": ""dense fuzzy yellow and black stripes"",
        ""eyes"": ""hidden behind oversized black sunglasses"",
        ""antennae"": ""two black antennae extending upward""
      },
      ""pose_action"": {
        ""posture"": ""reclining"",
        ""legs"": ""one leg crossed over the other"",
        ""arms"": ""one arm resting on chair, other holding a can""
      },
      ""objects"": {
        ""chair"": ""wooden lounge chair with yellow fabric seat and backrest"",
        ""drink_can"": ""blue soda can with visible {argument name=""drink brand"" default=""Pepsi""} logo"",
        ""sunglasses"": ""large glossy black frames""
      },
      ""environment"": {
        ""setting"": ""studio-style minimal background"",
        ""background_color"": ""light neutral gray"",
        ""surface"": ""smooth floor""
      },
      ""lighting"": {
        ""type"": ""soft studio lighting"",
        ""shadow"": ""subtle shadow beneath chair""
      },
      ""color_palette"": {
        ""dominant_colors"": [""yellow"", ""blue"", ""black"", ""wood brown""]",https://x.com/meng_dagg695/status/2013431470610882809,2026-01-20T02:00:44.000Z,"{""name"":""ShaHid WaNii"",""link"":""https://x.com/meng_dagg695""}","[""https://pbs.twimg.com/media/G_ElPOQXIAA4-w8.jpg"",""https://pbs.twimg.com/media/G_ElPO4acAA1vGX.jpg"",""https://pbs.twimg.com/media/G_ElPZ3WQAAPeiS.jpg"",""https://pbs.twimg.com/media/G_ElPjpW4AA6I9h.jpg""]"
Luxury Fashion Editorial of Sydney Sweeney with Emerald Green Sports Car,"A highly detailed, structured prompt for generating an ultra-realistic fashion editorial photograph of Sydney Sweeney. She is sitting on the door sill of an emerald green convertible sports car on a prestigious Paris street during golden hour. The prompt specifies detailed wardrobe (emerald green mini dress), lighting (golden hour, rim lighting), and technical camera settings (85mm lens, f/1.8) for a glamorous, sophisticated luxury vibe.","{
  ""prompt"": ""Ultra-realistic professional fashion editorial photograph of {argument name=""subject name"" default=""Sydney Sweeney""}, 27-year-old beautiful American actress with long wavy golden blonde hair, fair skin, striking blue eyes, full lips, natural makeup with glossy lips and subtle eyeliner, seductive confident expression looking directly at camera, sitting on the open driver's door sill of a luxurious emerald green convertible sports car (Aston Martin style), vibrant glossy metallic British racing green paint reflecting sunlight, black leather interior visible, car parked on a prestigious elegant Paris street in golden hour late afternoon sunlight, luxurious historic Haussmannian architecture with cream stone buildings, arched windows, wrought-iron balconies, luxury boutiques like Louboutin (LOUITLANE storefront signage visible), crowded upscale street with blurred background of expensive cars (black SUVs, white sedans, silver convertibles), fashionable pedestrians in suits and dresses walking by, warm golden sunlight casting soft shadows and highlights, cinematic depth of field, shallow focus on subject with creamy bokeh background, Sydney Sweeney wearing tight form-fitting emerald green mini dress with deep plunging V-neckline showing deep cleavage, sleeveless, bodycon silhouette hugging curves, high hem above mid-thigh, sitting with legs crossed elegantly, one hand resting on car door, green pointed-toe stiletto high heels matching dress color, delicate gold earrings, glamorous sophisticated sexy vibe, high fashion luxury lifestyle editorial, shot on Canon EOS R5, 85mm lens at f/1.8, sharp details, vibrant rich colors, photorealistic skin texture, natural skin pores and subtle freckles, 8k resolution, masterpiece, best quality"",
  ""negative_prompt"": ""deformed, ugly, blurry, low resolution, bad anatomy, extra limbs, mutated hands, poorly drawn face, bad proportions, watermark, text, logo, signature, overexposed, underexposed, cartoon, anime, illustration, painting, sketch, plastic skin, doll-like, uncanny valley, extra fingers, fused fingers, missing fingers, long neck, asymmetrical eyes, cross-eyed, cropped, out of frame, jpeg artifacts, compression artifacts"",
  ""parameters"": {
    ""aspect_ratio"": ""3:4"",
    ""style"": ""photorealistic fashion photography"",
    ""lighting"": ""golden hour natural sunlight, warm tones, rim lighting, soft shadows"",
    ""camera_settings"": ""85mm prime lens, f/1.8, ISO 100, shallow depth of field"",
    ""quality_tags"": ""masterpiece, best quality, ultra detailed, 8k, highly detailed skin, realistic textures"",
    ""seed"": null,
    ""steps"": 40,
    ""cfg_scale"": 7.5
  },
  ""key_elements_breakdown"": {
    ""subject"": ""Sydney Sweeney lookalike – long wavy blonde hair, blue eyes, seductive gaze, deep cleavage, confident pose"",
    ""outfit"": ""Emerald green deep V-neck mini dress, tight bodycon fit, matching green high heels"",
    ""pose"": ""Seated on open car door, legs crossed, one hand o",https://x.com/TAB_TAB_HH/status/2013557142402277695,2026-01-20T10:20:07.000Z,"{""name"":""TJ"",""link"":""https://x.com/TAB_TAB_HH""}","[""https://pbs.twimg.com/media/G_GXio5XcAADi52.jpg"",""https://pbs.twimg.com/media/G_GXi0OWkAA5l_8.jpg"",""https://pbs.twimg.com/media/G_GXi82X0AADST-.jpg""]"
Playful Kawaii Mirror Selfie Prompt,"A highly detailed, JSON-structured prompt for generating a playful, kawaii-style mirror selfie of a young woman wearing a pink brocade corset, gingham mini skirt, and cat ears headband, set in a modern apartment with floor-to-ceiling windows.","{
  ""image_generation_prompt"": {
    ""subject"": {
      ""demographics"": {
        ""gender"": ""female"",
        ""age_group"": ""young adult"",
        ""skin_tone"": ""fair""
      },
      ""hair"": {
        ""color"": ""blonde"",
        ""length"": ""long"",
        ""style"": ""straight/wavy"",
        ""accessory"": ""white fluffy cat ears headband""
      },
      ""face"": {
        ""expression"": {
          ""mood"": ""playful"",
          ""mouth"": ""tongue sticking out, slight smile"",
          ""gaze"": ""looking up and to the left""
        },
        ""makeup"": {
          ""eyes"": ""light makeup with winged liner"",
          ""lips"": ""pink color"",
          ""cheeks"": ""rosy"",
          ""features"": ""defined nose""
        }
      },
      ""wardrobe"": {
        ""upper_body"": {
          ""item"": ""corset"",
          ""material"": ""brocade"",
          ""color"": ""{argument name=""corset color"" default=""pink""}"",
          ""details"": [""front lacing"", ""trim""]
        },
        ""lower_body"": {
          ""item"": ""mini skirt"",
          ""pattern"": ""gingham"",
          ""color"": ""pink"",
          ""details"": [""ruffled layers"", ""white lace trim""]
        },
        ""leg_wear"": {
          ""item"": ""thigh-high socks"",
          ""color"": ""white"",
          ""details"": ""pink stripes at the top""
        },
        ""accessories"": {
          ""neck"": ""pink collar choker with small silver bell"",
          ""ears"": ""small stud earrings"",
          ""wrist"": ""delicate gold bracelet""
        }
      },
      ""pose"": {
        ""action"": ""taking mirror selfie"",
        ""hand_position"": ""holding phone in right hand"",
        ""posture"": ""standing""
      }
    },
    ""scene"": {
      ""environment"": {
        ""location"": ""modern apartment interior"",
        ""flooring"": ""grey wood plank"",
        ""walls"": ""grey tiled section""
      },
      ""lighting"": {
        ""source"": ""natural daylight"",
        ""direction"": ""from floor-to-ceiling windows"",
        ""quality"": ""bright""
      },
      ""background_elements"": {
        ""windows"": ""large floor-to-ceiling, showing bright daytime cityscape and sky"",
        ""furniture"": {
          ""left"": ""large brown teddy bear leaning against wall"",
          ""right"": [
            ""white upholstered armchair"",
            ""wooden side table"",
            ""clear glass vase on shelf""
          ]
        }
      },
      ""foreground_elements"": {
        ""props"": ""green artificial ivy plant hanging"",
        ""overlays"": {
          ""text_content"": ""{argument name=""overlay text"" default=""HIII""}"",
          ""text_color"": ""white"",
          ""position"": ""overlaying background near the chair""
        }
      }
    },
    ""technical_specifications"": {
      ""medium"": ""photography"",
      ""sub_genre"": ""mirror selfie"",
      ""device_prop"": ""white iPhone"",
      ""composition"": ""reflection showing subject and room context"",
      ""aspect_ratio"": ""2:3""
    }
  }
}",https://x.com/lexx_aura/status/2013570221596913975,2026-01-20T11:12:05.000Z,"{""name"":""Lex"",""link"":""https://x.com/lexx_aura""}","[""https://pbs.twimg.com/media/G_GjaJcWIAAUI6s.jpg""]"
Minimalist Scandinavian Illustration Prompt,"A template prompt for generating minimalist, Scandinavian-style illustrations using a muted pastel palette, flat design, and soft gradients, suitable for lifestyle or modern aesthetic visuals.","Scandinavian-style minimal illustration of {argument name=""subject"" default=""[SUBJECT]""}, muted pastel palette, flat design, soft gradients, cozy yet modern aesthetic, clean shapes, lifestyle illustration feel.",https://x.com/aleenaamiir/status/2013590587715526879,2026-01-20T12:33:01.000Z,"{""name"":""Aleena Amir"",""link"":""https://x.com/aleenaamiir""}","[""https://pbs.twimg.com/media/G_G17_8XwAEwA7b.jpg"",""https://pbs.twimg.com/media/G_G18CCWIAAK2Gn.jpg"",""https://pbs.twimg.com/media/G_G18B-XUAA-Lo9.jpg"",""https://pbs.twimg.com/media/G_G18DZXAAA6a63.jpg""]"
Luxury Fashion Portrait with Mood Board Layout,"A highly specific prompt for generating a luxury fashion portrait of a voluptuous woman with platinum ash blonde hair, rendered in a stylized mood board/aesthetic collage layout, emphasizing flawless, airbrushed skin (zero texture) and Scandinavian minimalist luxury style.","Luxury fashion portrait,
LAYOUT: mood board layout, design inspiration board,
aesthetic collage, visual reference board,
color palette board, style guide layout,
creative direction board, inspiration grid
SUBJECT: Voluptuous young Caucasian woman, early 20s, 
Centered on model, Oval face with high sculpted cheekbones,
Sharp defined jawline, delicate pointed chin, Straight refined nose with soft tip
Full plump lips, glossy nude pink, softly parted, Large ice blue eyes, crystal clear
Direct intense gaze into camera, Long natural lashes with subtle mascara
Well-defined arched eyebrows, darker than hair, Flawless airbrushed porcelain complexion
ZERO blemishes, ZERO texture, ZERO visible pores, Perfectly smooth retouched magazine cover
Subtle natural luminosity, dewy glass-skin finish, NO redness, NO freckles, NO imperfections, Even skin tone, {argument name=""hair color"" default=""Platinum ash blonde""} hair
Aesthetic collage, visual reference board, style guide layout, creative direction board, inspiration grid
DIRECTION: Diagonal flow - pose and lighting emphasize curves
OUTFIT: flowing silk dress, strapless neckline, gold jewelry,
Seamless soft neutral cream gradient
DIRECTION: Diagonal flow - pose and lighting emphasize curves
BACKGROUND: Seamless soft neutral cream gradient, NO vertical lines, NO panels, NO harsh shadows, pure clean studio backdrop
TONE STRATEGY: Cool harmonious tones - icy complexion with cream, black and gold accents
STYLE: Scandinavian minimalist luxury, refined editorial elegance
LAYOUT: mood board layout, design inspiration board,
aesthetic collage, visual reference board, style guide layout,
creative direction board, inspiration grid
Professional level Editorial portrait,
Hasselblad X2D, 85mm f/1.2, soft diffused front lighting, shallow depth of field,
A stylish handwritten signature Willy is elegantly and small letters placed at the Bottom Right corner.",https://x.com/jw660227/status/2013505590648262974,2026-01-20T06:55:16.000Z,"{""name"":""Willy"",""link"":""https://x.com/jw660227""}","[""https://pbs.twimg.com/media/G_FnOFzWoAA55HN.jpg""]"
Technical Infographic Overlay on a Laptop Image,"A prompt for generating a technical infographic image of a laptop, combining a photorealistic render with black ink-style line drawings and annotations (labels, measurements, flow arrows) on a pure white background, creating an engineering-manual aesthetic.","Create an infographic image of {argument name=""object"" default=""laptop""} ,combining a realistic photograph or photoreal render of the object with technical annotation overlays placed directly on top.

Use black ink–style line drawings and text (technical pen / architectural sketch look) on a pure white studio background, including:
•Key component labels
•Internal cutaway or exploded-view outlines
•Measurements, dimensions, and scale markers
•Material callouts and quantities
•Arrows indicating function, force, or flow (air, sound, power, pressure)
•Simple schematic or sectional diagrams where relevant

Place the title [OBJECT] inside a hand-drawn technical annotation box in one corner.

Style & layout rules:
•The real object remains clearly visible beneath the annotations
•Annotations feel sketched, technical, and architectural
•Clean composition with balanced negative space
•Educational, museum-exhibit / engineering-manual vibe

Visual style:
Minimal technical illustration aesthetic, black linework over realistic imagery, precise but slightly hand-drawn feel.

Color palette:
White background, black annotation lines and text only. No colors.

Output:
1080×1080, ultra-crisp, social-feed optimized, no watermark.”",https://x.com/Strength04_X/status/2013602849658429459,2026-01-20T13:21:44.000Z,"{""name"":""𝐌"",""link"":""https://x.com/Strength04_X""}","[""https://pbs.twimg.com/media/G_HA1OGXYAAzskM.jpg""]"
Sydney Sweeney Vintage Film Portrait Prompt,"A highly constrained prompt for generating a cinematic, vintage-style outdoor portrait of Sydney Sweeney, demanding maximum identity preservation and prohibiting any alteration or beautification of her features. The prompt requires varying the pose naturally while maintaining the same prop (a red lollipop) and applying a strong analog film aesthetic with heavy grain, dust, and a warm brown-orange color cast.","{
  ""prompt"": ""Use the uploaded reference image as the absolute identity anchor. Preserve the subject’s facial features, facial proportions, bone structure, eyes, nose, lips, skin tone, hairline, hair texture, body shape, and overall likeness with maximum fidelity. Do not beautify, idealize, or alter the person in any way. A cinematic, vintage-style outdoor portrait of the same person. For each generation, vary the subject’s pose naturally (e.g., slight body angle changes, subtle lean, head tilt, arm positioning) while keeping the same prop: a bright {argument name=""prop color"" default=""red""} lollipop held near the lips or face. Maintain a calm, confident expression. The subject wears a white strapless bandeau top and high-waisted light-blue distressed denim shorts. Lighting is soft, warm, and natural during golden hour. The image has a strong analog film aesthetic with heavy grain, dust, scratches, subtle fading, and a warm brown-orange color cast, resembling an old 35mm photograph. Background is softly blurred with shallow depth of field. Framing remains cinematic and consistent."",
  ""identity_preservation"": {
    ""face_likeness"": ""maximum"",
    ""body_proportions"": ""exact_match"",
    ""hair"": ""match_reference""
  },
  ""pose_variation"": {
    ""enabled"": true,
    ""mode"": ""random_per_generation"",
    ""constraints"": [
      ""natural human poses only"",
      ""no extreme or distorted angles"",
      ""no change to body shape or identity""
    ]
  },
  ""prop"": {
    ""name"": ""{argument name=""prop name"" default=""red lollipop""}"",
    ""consistency"": ""same_prop_every_generation""
  },
  ""style_keywords"": [
    ""vintage film photography"",
    ""analog grain"",
    ""cinematic portrait"",
    ""retro aesthetic"",
    ""natural light"",
    ""shallow depth of field"",
    ""realistic skin texture""
  ],
  ""camera_settings"": {
    ""lens"": ""35mm"",
    ""aperture"": ""f/1.8"",
    ""iso"": 800,
    ""film_grain"": ""heavy"",
    ""vignette"": ""light""
  },
  ""negative_prompt"": [
    ""face change"",
    ""different person"",
    ""altered identity"",
    ""idealized beauty"",
    ""smooth plastic skin"",
    ""CGI"",
    ""illustration"",
    ""digital HDR look"",
    ""modern studio lighting"",
    ""missing prop"",
    ""changed prop""
  ],
  ""generation_settings"": {
    ""image_weight"": ""1.5–2.0"",
    ""face_consistency"": ""max"",
    ""denoising_strength"": ""0.2–0.35"",
    ""cfg_scale"": ""low_to_medium"",
    ""aspect_ratio"": ""16:9""
  }
}",https://x.com/23rd_Pulikesi/status/2013538250422624430,2026-01-20T09:05:03.000Z,"{""name"":""✨ Pulikesi✨"",""link"":""https://x.com/23rd_Pulikesi""}","[""https://pbs.twimg.com/media/G_GGXKCXYAAbzPr.jpg"",""https://pbs.twimg.com/media/G_GGXKxXwAAppo2.jpg"",""https://pbs.twimg.com/media/G_GGXTlXoAEnaap.jpg"",""https://pbs.twimg.com/media/G_GGXdcXIAAZw-N.jpg""]"
