title,description,content,sourceLink,sourcePublishedAt,author,sourceMedia
Y2K Cyberpunk Fashion Portrait in a Dreamy Space Setting,"A prompt for generating a high-resolution, high-contrast portrait of a young woman in Y2K/Cyberpunk fashion. She wears a black vinyl crop top with silver buckles and neon hot pink parachute pants, sitting on a bed of white fluffy material (like clouds or dry ice fog) against a pitch-black, star-scattered background, using direct studio flash lighting.","{
  ""image_generation_prompt"": {
    ""subject"": {
      ""description"": ""Young woman with long, straight brunette hair featuring distinctive blonde face-framing highlights (money piece hair)."",
      ""makeup"": ""[Reference Image]."",
      ""expression"": ""Serious, confident, sultry gaze looking directly at the camera.""
    },
    ""fashion"": {
      ""top"": ""Black vinyl/patent leather crop top, strappy design with multiple silver buckles and cutouts, high-gloss texture."",
      ""bottom"": ""Neon hot pink baggy parachute pants (or cargo pants), shiny nylon fabric, oversized fit."",
      ""style_tags"": [""Y2K aesthetic"", ""Cyberpunk fashion"", ""Pop star"", ""Edgy""]
    },
    ""environment"": {
      ""foreground"": ""Sitting on a bed of white fluffy material resembling cotton wool clouds or dry ice fog."",
      ""background"": ""Pitch black void with scattered, simple white dots representing distant stars."",
      ""vibe"": ""Studio set, stylized space theme.""
    },
    ""lighting_and_camera"": {
      ""lighting"": ""Direct studio flash photography, high contrast, distinct specular highlights on the vinyl top and hair."",
      ""angle"": ""Eye-level, medium shot."",
      ""quality"": ""High resolution, sharp focus, vibrant colors.""
      ""aspect_ratio"":""5:6"",
    }
  }
}",https://x.com/NameIsSudee/status/2013439339334901873,2026-01-20T02:32:01.000Z,"{""name"":""Sudee🥀"",""link"":""https://x.com/NameIsSudee""}","[""https://pbs.twimg.com/media/G_EsZLWXQAAUw6W.jpg"",""https://pbs.twimg.com/media/G_EsZNFW8AA1Y7l.jpg"",""https://pbs.twimg.com/media/G_EsZSHXsAA7g2h.jpg""]"
Hyper-Stylized Close-up with Watermelon and Futuristic Sunglasses,"A prompt for generating a hyper-stylized, high-contrast close-up shot focused on a woman with wet, slicked-back hair, bold red lips, and oversized futuristic black sunglasses. The central prop is a large slice of watermelon held sensually near her mouth, set against a high-key white studio background with strong directional lighting.","{
  ""shot"": {
    ""composition"": ""Hyper-stylized close-up, 85mm lens, shallow depth of field, shot on RED Komodo 6K"",
    ""camera_motion"": ""static"",
    ""frame_rate"": ""24fps"",
    ""film_grain"": ""digital clean with gloss post-grade""
  },
  ""subject"": {
    ""description"": ""A woman with wet slicked-back hair, bold glossy red lips, wearing oversized black futuristic sunglasses"",
    ""wardrobe"": ""bare shoulders, likely nude or minimal to enhance focus on face and accessories"",
    ""props"": ""large slice of juicy {argument name=""fruit"" default=""watermelon""} held in front of her mouth""
  },
  ""scene"": {
    ""location"": ""high-key white background studio with strong directional light"",
    ""time_of_day"": ""midday impression (stylized lighting)"",
    ""environment"": ""wet gloss aesthetic with moisture drops on skin""
  },
  ""visual_details"": {
    ""action"": ""she holds the watermelon close to her mouth, lips parted sensually"",
    ""lighting_effects"": ""hard light reflections on sunglasses, wet skin and watermelon surface""",https://x.com/xmliisu/status/2013464328301609196,2026-01-20T04:11:18.000Z,"{""name"":""Melisa♡"",""link"":""https://x.com/xmliisu""}","[""https://pbs.twimg.com/media/G_FDIRVXkAAZLWS.jpg"",""https://pbs.twimg.com/media/G_FDIRVWIAAGUke.jpg"",""https://pbs.twimg.com/media/G_FDIRUXUAA0lNi.jpg""]"
Cinematic Neon Rain Portrait Prompt,"A prompt for generating a hyper-realistic, cinematic portrait of a subject in an urban alleyway at night during heavy rain, using dramatic neon lighting (blue and red hues) to create intense reflections and a heavily blurred bokeh background.","Subject & Pose
Reference: [Use Uploaded Face Reference]
Action: Standing with one hand casually in a pocket.
Pose: Body slightly turned to the left, face looking slightly upward and to the right.
Features: Natural hair.

Apparel & Accessories
Eyewear: Round, dark-lensed sunglasses with thin metal frames.
Jewellery: Silver chain necklace.
Clothing: Oversized plain {argument name=""clothing color"" default=""Gray""} crew-neck sweatshirt, dark trousers.
Setting & Atmosphere

Location: Narrow, wet urban alleyway at night.
Weather: Heavy rain falling with visible streaks, individual raindrops catching the light.
Lighting: Dramatic, volumetric cinematic lighting. Primary sources are vibrant neon signs ({argument name=""neon colors"" default=""blue and red hues""}).
Reflections: Intense neon reflections on wet asphalt.

Photography & Tech Specs
Style: Hyper-realistic, 8K, Cinematic Portrait.
Camera: 35mm lens, vertical orientation.
Depth of Field: Heavily blurred bokeh background (distant urban lights, faint outlines of buildings/vehicles).
Details: Highly detailed textures on wet surfaces and fabric.
Aspect ratio 4:5.",https://x.com/ChillaiKalan__/status/2013606968666267944,2026-01-20T13:38:06.000Z,"{""name"":""K"",""link"":""https://x.com/ChillaiKalan__""}","[""https://pbs.twimg.com/media/G_HE2pmWcAAHsat.jpg""]"
Multi-Concept AI Evolution Prompt,"A complex, multi-part JSON prompt designed to generate three distinct images: a mythic 'ImagineArt Goddess' in cosmic armor, a futuristic 'ChatGPT Orb Library,' and 'Dual Cyborg Knowledge Entities' in space, showcasing different AI art concepts.","[
  {
    ""title"": ""ImagineArt Goddess"",
    ""subject"": ""Divine celestial female figure"",
    ""appearance"": {
      ""gender"": ""female"",
      ""skin"": ""pale"",
      ""hair"": ""long black, flowing"",
      ""face"": ""calm expression, eyes closed"",
      ""body"": ""slender, elegant posture""
    },
    ""clothing"": {
      ""style"": ""ornate royal robes"",
      ""color"": [""black"", ""gold""],
      ""details"": ""elaborate gold armor-like patterns on chest, shoulders, and waist""
    },
    ""accessories"": {
      ""headpiece"": ""large golden ornate crown with rays"",
      ""bracelets"": ""gold arm cuffs"",
      ""hand_effects"": ""glowing cosmic energy, colorful light streaks""
    },
    ""environment"": {
      ""type"": ""cosmic galaxy backdrop"",
      ""elements"": [
        ""nebula clouds"",
        ""stars"",
        ""colorful cosmic dust"",
        ""electric lightning-like streaks""
      ],
      ""color_palette"": [""purple"", ""blue"", ""pink"", ""green"", ""gold""]
    },
    ""foreground"": {
      ""text"": ""{argument name=""text overlay 1"" default=""ImagineArt""}"",
      ""style"": ""ornate golden script typography"",
      ""subtitle"": ""ImagineArt — Dreamline Generative Muse""
    },
    ""mood"": ""mythic, divine, majestic, surreal"",
    ""lighting"": ""dramatic glowing lighting"",
    ""camera"": {
      ""framing"": ""full body, centered"",
      ""angle"": ""straight on""
    }
  },
  {
    ""title"": ""ChatGPT Orb Library"",
    ""subject"": ""Glowing AI orb in futuristic library"",
    ""objects"": {
      ""main"": ""large floating white orb"",
      ""floating_docs"": ""papers and data sheets with code and text""
    },
    ""text"": {
      ""main_label"": ""{argument name=""text overlay 2"" default=""ChatGPT""}"",
      ""style"": ""bright neon teal glow""
    },
    ""environment"": {
      ""location"": ""circular modern library"",
      ""surroundings"": ""bookshelves, open books, papers suspended in mid-air""
    },
    ""color_palette"": [""white"", ""light teal"", ""mint"", ""gray""],
    ""lighting"": ""soft ambient, glowing highlights"",
    ""mood"": ""clean, futuristic, intelligent, serene"",
    ""camera"": {
      ""framing"": ""medium-wide"",
      ""angle"": ""slightly low angle""
    },
    ""style"": ""futuristic, minimal, high-tech""
  },
  {
    ""title"": ""Dual Cyborg Knowledge Entities"",
    ""subjects"": [
      {
        ""type"": ""futuristic cyborg"",
        ""color_scheme"": ""blue"",
        ""pose"": ""standing back to back""
      },
      {
        ""type"": ""futuristic cyborg"",
        ""color_scheme"": ""gold"",
        ""pose"": ""standing back to back""
      }
    ],
    ""appearance"": {
      ""build"": ""humanoid, detailed cybernetic body structure"",
      ""material"": ""metallic with glowing circuits""
    },
    ""environment"": {
      ""background"": ""outer space with stars and warm clouds"",
      ""floating_elements"": ""holographic data cards with symbols and equations""
    }",https://x.com/kelly00056/status/2013491756936110542,2026-01-20T06:00:18.000Z,"{""name"":""𝘬𝘦𝘭𝘭𝘺"",""link"":""https://x.com/kelly00056""}","[""https://pbs.twimg.com/media/G_FcDr9W8AAOGna.jpg"",""https://pbs.twimg.com/media/G_FcDtDWUAAD7eW.jpg"",""https://pbs.twimg.com/media/G_FcDuBXIAAOKmI.jpg"",""https://pbs.twimg.com/media/G_FcDvoXwAAoZo4.jpg""]"
Y2K Cyberpunk Studio Portrait Prompt,"A structured JSON prompt for generating a dreamy, high-contrast portrait in a Y2K Cyberpunk style, featuring a woman in a black vinyl crop top and neon pink parachute pants, sitting on a bed of white fluffy material against a pitch-black, star-scattered background.","{
  ""image_generation_prompt"": {
    ""subject"": {
      ""description"": ""Young woman with long, straight brunette hair featuring distinctive blonde face-framing highlights (money piece hair)."",
      ""makeup"": ""[Reference Image]."",
      ""expression"": ""Serious, confident, sultry gaze looking directly at the camera.""
    },
    ""fashion"": {
      ""top"": ""Black vinyl/patent leather crop top, strappy design with multiple silver buckles and cutouts, high-gloss texture."",
      ""bottom"": ""{argument name=""pants color"" default=""Neon hot pink""} baggy parachute pants (or cargo pants), shiny nylon fabric, oversized fit."",
      ""style_tags"": [""Y2K aesthetic"", ""Cyberpunk fashion"", ""Pop star"", ""Edgy""]
    },
    ""environment"": {
      ""foreground"": ""Sitting on a bed of white fluffy material resembling cotton wool clouds or dry ice fog."",
      ""background"": ""Pitch black void with scattered, simple white dots representing distant stars."",
      ""vibe"": ""Studio set, stylized space theme.""
    },
    ""lighting_and_camera"": {
      ""lighting"": ""Direct studio flash photography, high contrast, distinct specular highlights on the vinyl top and hair."",
      ""angle"": ""Eye-level, medium shot."",
      ""quality"": ""High resolution, sharp focus, vibrant colors.""
      ""aspect_ratio"":""5:6"",
    }
  }
}",https://x.com/Vishnudxe/status/2013471065725608133,2026-01-20T04:38:05.000Z,"{""name"":""Nano banana pro🍌"",""link"":""https://x.com/Vishnudxe""}","[""https://pbs.twimg.com/media/G_FJQurWEAAr9xJ.jpg"",""https://pbs.twimg.com/media/G_FJQt9XAAAeUGj.jpg"",""https://pbs.twimg.com/media/G_FJQ0kXcAEV3tM.jpg""]"
Upside Down Gym Mirror Selfie (Stranger Things),"A complex photorealistic prompt for generating a mirror selfie of two athletic young women posing confidently in a gym setting styled as the 'Upside Down' from Stranger Things, emphasizing the contrast between vibrant workout gear and the dark, creepy ambient lighting.","{
  ""prompt_type"": ""photorealistic gym shot"",
  ""main_composition"": ""mirror selfie of two athletic young women standing side by side with front to the camera in a creepy gym of upside down from stranger things, confidently posing with hands on hips and slight arch to emphasize curves, vibrant colorful workout outfits contrasting moody dark/purple ambient lighting, professional fitness studio with equipment blurred in background"",
  ""subject_1_left"": {
    ""description"": ""beautiful young woman in her early 20s, fit curvy athletic build with toned glutes and legs, long wavy brown or blonde pigtails hair styled in high ponytail with loose strands, fair tanned smooth skin with healthy glow"",
    ""clothing"": ""{argument name=""left top color"" default=""bright yellow""} long-sleeve crop top with thumb holes and subtle sheen, matching high-waisted seamless short scrunch-butt light green leggings with 'KEOR' logo on waistband, pink puma athletic shoes"",
    ""details"": ""confident pose with hand on hip and slight smile, hair naturally tousled, relaxed athletic stance""
  },
  ""subject_2_right"": {
    ""description"": ""beautiful young woman in her early 20s, fit curvy athletic build with toned glutes and legs, long wavy red hair in loose ponytail or braids, fair tanned smooth skin with healthy glow"",
    ""clothing"": ""light purple halter-style sports bra with thin straps, matching high-waisted seamless short scrunch-butt white leggings, white nike gym shoes"",
    ""details"": ""playful confident pose with hand on hip and subtle expression in mirror reflection, hair with natural volume""
  },
  ""environment"": {
    ""foreground"": ""dark rubberized gym floor with subtle texture ruined by glowing fungal growths"",
    ""midground"": ""creepy and dark gym interior in the style of upside down of stranger things"",
    ""background"": ""creepy gym with dim red/purple ambient lighting, blurred cardio machines and weight equipment, exposed ceiling ducts and pipes, clean spacious professional fitness center atmosphere but in upside down style with suspended particles on air, and an eerie, oppressive silence"",
  },
  ""lighting_and_atmosphere"": ""dim moody indoor gym lighting with cool red/purple neon accents and overhead spots, subtle highlights on skin, hair, and shiny leggings fabric creating vibrant color pops, energetic confident workout vibe with high contrast between bright outfits and dark surroundings, photorealistic detail"",
  ""technical_quality"": ""highly detailed, sharp focus on subjects with realistic seamless fabric textures (scrunch-butt shine, crop top stretch), skin glow, hair movement, and mirror reflections, 8k resolution, professional mirror selfie photography style with slight wide-angle lens effect and natural depth of field softly blurring background equipment"",
  ""negative_prompt_suggestions"": ""blurry, deformed, extra limbs, phone screen visible, mirror distortion or misalignmen",https://x.com/Vishnudxe/status/2013480749949952192,2026-01-20T05:16:34.000Z,"{""name"":""Nano banana pro🍌"",""link"":""https://x.com/Vishnudxe""}","[""https://pbs.twimg.com/media/G_FSEisXcAAU5Bt.jpg""]"
Retro-Futuristic Roller Disco Aesthetic Portrait,"A detailed prompt for generating a masterpiece-quality, ultra-detailed image of a confident young woman in a retro-futuristic, 80s roller disco aesthetic, featuring glossy leather attire, dramatic hair, and a low-angle shot.","{
  ""subject"": ""Beautiful young woman"",
  ""hair"": {
    ""color"": ""blonde"",
    ""style"": ""long wavy hair with dramatic flowing locks""
  },
  ""face"": {
    ""eyes"": ""big expressive eyes with heavy eyeliner and long lashes"",
    ""lips"": ""full lips"",
    ""skin_tone"": ""fair"",
    ""expression"": ""confident and seductive"",
    ""detail_level"": ""highly detailed face and eyes""
  },
  ""outfit"": {
    ""top"": ""shiny glossy brown leather shirt with deep V-neck collar unbuttoned"",
    ""bottom"": ""tight brown leather miniskirt"",
    ""belt"": ""wide black belt with large buckle"",
    ""accessories"": [
      ""black choker necklace"",
      ""black fingerless leather gloves with studs"",
      ""large hoop earrings""
    ]
  },
  ""footwear"": {
    ""type"": ""retro roller skates"",
    ""boots"": ""brown boots"",
    ""wheels"": ""brown wheels""
  },
  ""body"": {
    ""legs"": ""long athletic legs"",
    ""stance"": ""powerful confident stance"",
    ""pose"": ""full body pose skating forward""
  },
  ""camera"": {
    ""angle"": ""low shot"",
    ""perspective"": ""looking up"",
    ""focus"": ""sharp focus""
  },
  ""lighting"": {
    ""mood"": ""vibrant yet warm"",
    ""shadows"": ""soft shadows"",
    ""surface_effects"": ""glossy leather reflections, smooth skin texture""
  },
  ""style"": {
    ""vibe"": ""retro-futuristic mixed with 80s roller disco aesthetic""
  },
  ""quality"": {
    ""rating"": ""masterpiece"",
    ""detail"": ""ultra detailed"",
    ""render_quality"": ""best quality""
  },
  ""artist"": ""Buffhan""
}",https://x.com/Just_sharon7/status/2013648208497463652,2026-01-20T16:21:59.000Z,"{""name"":""Sharon Riley"",""link"":""https://x.com/Just_sharon7""}","[""https://pbs.twimg.com/media/G_HqX28XEAAMcoA.jpg""]"
Soft X-Ray Luminography Style Template,"A reusable prompt template for generating artistic black and white X-ray style images of various objects, emphasizing soft luminosity, fine film grain, and a minimalist composition against a light gray background.","{
  ""prompt"": ""A {argument name=""object"" default=""pomegranate""}, rendered in an artistic black and white X-ray photography style. Soft, ethereal translucent quality revealing internal structures and subtle details. Gentle luminosity with delicate tonal gradations from deep blacks to bright whites. Fine film grain texture throughout. Dreamlike and organic aesthetic with smooth gradients. Studio lighting creating soft highlights and dimensional depth. High contrast yet maintaining softness. Analog photography feel with subtle imperfections and grain. Minimalist composition always against a light soft gray background. Scientific meets artistic visualization."",
  
  ""negative_prompt"": ""color, harsh shadows, digital rendering, sharp edges, cluttered background, text, logos, overly saturated, neon, cartoonish, 3D render artifacts, noise, compression artifacts, busy composition"",
  
  ""style_parameters"": {
    ""mood"": ""ethereal, scientific, artistic"",
    ""lighting"": ""soft studio lighting, gentle luminosity"",
    ""texture"": ""fine film grain, analog photography"",
    ""contrast"": ""high but soft"",
    ""background"": ""light gray, minimalist, neutral""
  },
  
  ""usage_example"": ""Replace {object} with: 'pomegranate', 'seashell', 'flower petals', 'human hand', 'butterfly wings', etc.""
}",https://x.com/lloydcreates/status/2013615236125692009,2026-01-20T14:10:58.000Z,"{""name"":""Lloyd Creates"",""link"":""https://x.com/lloydcreates""}","[""https://pbs.twimg.com/media/G_HJ8QPWMAAAm4x.jpg""]"
Moody Cinematic Portrait with Neon Blue Top Prompt,"A text prompt for generating a moody cinematic portrait of a young woman with clear skin and minimal makeup. The prompt specifies loose dark brown hair, a calm expression, wearing a neon blue top, against a dark minimal background. It emphasizes gentle diffused lighting, soft shadows, subtle film grain, and an organic color grading for a high-end editorial feel.","Create Moody cinematic portrait of a young woman with clear fair skin and barely-there makeup, warm natural lips. Loose dark brown hair, softly textured. Calm, self-assured expression. She’s wearing a {argument name=""clothing color"" default=""neon blue""} top elegance. Dark minimal background fading into black. Gentle diffused front light, soft shadows, subtle film grain, organic color grading, shallow depth of field, high-end editorial feel.",https://x.com/Kashberg_0/status/2013464032779608311,2026-01-20T04:10:08.000Z,"{""name"":""Kashberg"",""link"":""https://x.com/Kashberg_0""}","[""https://pbs.twimg.com/media/G_FC3FVXQAAquCs.jpg"",""https://pbs.twimg.com/media/G_FC3FbXUAELI-W.jpg"",""https://pbs.twimg.com/media/G_FC3FVXQAEs9cd.jpg""]"
Neon City Night Portrait with Wide-Angle Distortion,"A highly detailed JSON prompt for a cinematic, ultra-realistic portrait set on a neon-lit city street at night after rain. The prompt specifies a wide-angle lens perspective with slight fisheye character, strong film grain, and mixed cyan/green neon lighting spill on the subject's face, aiming for a dreamy urban nightlife aesthetic.","{
  ""model"": ""gemini-nano-banana-pro"",
  ""mode"": ""image"",
  ""aspect_ratio"": ""4:5"",
  ""quality"": ""ultra"",
  ""style"": ""cinematic_realism"",
  ""scene"": {
    ""setting"": ""busy neon-lit city street at night, wet road after rain, glowing signboards and traffic behind subject"",
    ""weather"": ""light drizzle just ended, reflective pavement, humid atmosphere"",
    ""background"": ""soft bokeh city lights, moving cars, faint pedestrian motion blur, tall buildings with colorful signage"",
    ""time"": ""night""
  },
  ""subject"": {
    ""type"": ""young woman"",
    ""pose"": ""standing in the middle of a crosswalk, holding a smartphone close to camera"",
    ""expression"": ""natural warm smile, candid and joyful"",
    ""hair"": ""slightly messy hair blown across face by wind"",
    ""wardrobe"": ""dark coat or blazer, minimal accessories"",
    ""props"": [""smartphone""]
  },
  ""composition"": {
    ""framing"": ""close-up portrait with wide-angle distortion, subject centered, phone in foreground"",
    ""camera_distance"": ""very close, intimate street-photo feel"",
    ""perspective"": ""wide lens perspective, slight fisheye look, background stretching outward"",
    ""depth_of_field"": ""shallow to medium, subject readable but background lights creamy"",
    ""foreground_detail"": ""phone and hands slightly soft due to motion and lens character""
  },
  ""camera"": {
    ""lens"": ""24mm wide-angle (slight fisheye character)"",
    ""aperture"": ""f/1.8"",
    ""shutter_speed"": ""1/40"",
    ""iso"": ""1600"",
    ""focus"": ""face focus, slight falloff on phone""
  },
  ""lighting"": {
    ""key_light"": ""neon signage spill lighting face with mixed cyan/green and warm highlights"",
    ""fill"": ""streetlight bounce from wet ground"",
    ""mood"": ""dreamy urban nightlife, soft contrast, romantic realism""
  },
  ""color_grading"": {
    ""palette"": ""teal, cyan, green neon mixed with warm skin tones"",
    ""contrast"": ""soft contrast with lifted shadows"",
    ""highlights"": ""glowy bloom on neon signs"",
    ""film_emulation"": ""35mm film look""
  },
  ""texture_and_detail"": {
    ""film_grain"": ""strong visible grain, authentic"",
    ""bloom"": ""subtle halation on lights"",
    ""sharpness"": ""slightly imperfect, organic street photography"",
    ""skin_texture"": ""natural pores, no plastic smoothing""
  },
  ""motion"": {
    ""hair_movement"": ""wind-blown strands across face"",
    ""background_motion"": ""light streaking from cars and walking people"",
    ""camera_feel"": ""handheld candid shot""
  },
  ""negative_prompt"": [
    ""plastic skin"",
    ""overly sharp face"",
    ""clean studio lighting"",
    ""anime"",
    ""cartoon"",
    ""hyper-symmetrical face"",
    ""over-saturated neon"",
    ""HDR look"",
    ""fake depth blur edges"",
    ""extra fingers"",
    ""distorted hands"",
    ""text artifacts"",
    ""logo distortions"",
    ""AI glossy skin"",
    ""perfectly clean background""
  ]
}",https://x.com/Maercihh/status/2013478541753753795,2026-01-20T05:07:47.000Z,"{""name"":""Maercih"",""link"":""https://x.com/Maercihh""}","[""https://pbs.twimg.com/media/G_FQCqFWMAA7j-U.jpg""]"
